Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
29,1,68,2,0.0,0,0,0,0,5,2,1,8,15,8,8,9,14,1.0,0.25,10,6,0,10,0,0,0,0,0,40,0,0,0,0,5,0,0,5,15,0,0,0,0,0,0,5,0,5,0,0,0,6,0,1,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1
17,1,59,2,0.0,0,0,0,0,1,2,2,7,6,1,1,8,12,0.333333,0.186047,8,1,2,8,0,0,0,0,0,43,8,0,8,0,4,0,1,4,17,0,1,8,0,8,0,4,0,4,0,1,0,12,0,5,0,4,0,0,0,1,0,0,11,0,0,0,0,1,0,0,0,2
34,1,229,2,0.0,0,0,0,0,2,0,0,14,3,13,10,1,15,1.0,0.383838,38,2,0,71,0,0,0,0,0,95,9,6,9,6,14,0,0,14,22,0,0,18,6,18,6,25,0,25,0,0,0,45,0,25,0,0,0,2,0,12,0,0,38,0,0,7,6,5,0,0,0,1
27,1,195,2,0.189591,1,6,2,21,1,3,3,33,6,1,3,5,12,1.0,0.306748,43,3,0,50,0,0,0,0,0,169,6,1,6,1,7,0,1,7,71,0,1,6,1,6,1,7,0,7,0,1,0,22,0,6,0,4,11,0,2,1,0,1,8,0,0,0,0,1,0,0,0,1
42,1,484,2,0.0,0,0,0,0,2,3,3,65,15,11,15,25,51,1.0,0.46341499999999997,186,20,0,190,0,0,0,0,0,443,14,8,14,8,26,1,0,26,121,1,0,14,8,14,8,26,1,26,1,0,1,31,2,23,0,14,0,1,1,1,2,9,18,0,0,0,0,9,2,0,0,4
30,1,397,2,0.0,0,0,0,0,1,0,0,2,6,5,1,2,4,1.0,0.457143,32,2,0,151,0,0,0,0,0,70,15,0,15,0,2,0,0,2,16,0,0,45,0,45,0,22,3,22,3,0,0,31,0,68,0,26,0,1,0,15,0,2,16,0,0,10,15,14,0,0,0,1
20,1,39,2,0.0,0,0,0,0,0,0,0,1,4,3,1,1,2,0.5,0.307692,8,1,1,8,0,0,0,0,0,20,7,0,7,0,1,0,0,1,7,0,0,7,0,7,0,1,0,1,0,0,0,5,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,2,0,0,0,0
37,1,319,2,0.0,0,0,0,0,1,4,4,56,16,3,1,26,35,0.333333,0.09236950000000001,14,1,2,23,0,0,0,0,0,275,25,0,25,0,9,0,0,9,155,0,0,25,0,25,0,11,0,11,0,0,0,39,5,34,1,32,0,0,4,2,2,3,29,0,0,0,0,4,1,0,0,7
12,1,29,2,0.0,0,0,0,0,1,2,2,4,0,1,1,0,2,0.5,0.28571399999999997,5,1,1,6,0,0,0,0,0,18,1,0,1,0,2,0,0,2,6,0,0,1,0,1,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
12,1,58,2,0.0,0,0,0,0,1,1,1,11,1,10,21,0,8,0.14285699999999998,0.119048,5,1,6,5,0,0,0,0,0,47,1,0,1,0,8,0,0,8,15,0,0,1,0,1,0,8,0,8,0,0,0,19,0,7,0,0,0,0,0,0,0,1,19,0,0,6,0,0,0,0,0,0
14,1,98,2,0.0,0,0,0,0,0,2,2,16,1,1,1,2,7,1.0,0.392857,33,4,0,33,0,0,0,0,0,85,1,4,1,4,5,0,0,5,28,0,0,1,4,1,4,5,0,5,0,0,0,4,0,4,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3
13,1,51,2,0.0,0,0,0,0,2,1,1,7,1,9,0,4,8,0.25,0.08333330000000001,3,1,3,3,0,0,5,5,0,39,2,0,2,0,4,0,0,4,12,0,0,2,0,2,0,4,0,4,0,0,1,12,1,2,0,0,0,1,0,1,0,1,11,0,0,0,0,0,0,0,0,0
6,1,95,2,0.0,0,0,0,0,0,0,0,1,0,2,0,0,1,1.0,0.14893599999999999,3,1,0,14,0,0,0,0,0,86,1,0,1,0,1,1,0,1,0,1,0,3,0,3,0,1,3,1,3,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0
13,1,43,2,0.0,0,0,0,0,5,0,0,5,7,0,0,0,5,0.166667,0.1,3,1,5,3,1,1,0,0,1,31,2,0,0,0,5,0,0,9,14,0,0,2,0,0,0,5,0,9,0,0,0,14,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
18,1,78,2,0.0,0,0,0,0,1,0,0,1,5,2,0,2,3,0.5,0.130435,3,1,1,3,1,1,0,0,1,26,3,0,1,0,1,0,0,5,9,0,0,5,4,3,4,6,0,10,0,0,0,18,1,4,0,0,0,0,0,1,0,3,18,0,0,0,0,0,0,0,0,0
