McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
4,0,49,1,932,1,0,1
4,0,41,1,932,1,0,2
1,0,128,1,932,1,0,1
27,0,125,1,932,1,0,1
40,0,251,1,932,1,0,4
21,0,204,1,932,1,0,1
1,0,25,1,932,1,0,0
48,0,258,1,932,1,0,7
3,0,19,1,932,1,0,0
4,0,40,1,932,1,0,0
12,0,56,1,932,1,0,3
3,0,32,1,932,1,0,0
1,0,7,1,932,1,0,0
9,0,86,1,932,1,0,2
2,0,36,1,932,1,0,2
7,0,58,1,932,1,0,1
1,0,9,1,932,1,0,0
1,0,4,1,932,1,0,0
4,0,26,1,932,1,0,0
1,0,9,1,932,1,0,0
1,0,15,1,932,1,0,0
1,0,20,1,932,1,0,0
8,0,55,1,932,1,0,0
8,0,46,1,932,1,0,1
1,0,4,1,932,1,0,0
1,0,16,1,932,1,0,0
9,0,22,1,932,1,0,0
1,0,6,1,932,1,0,0
1,0,20,1,932,1,0,0
1,0,11,1,932,1,0,0
2,0,43,1,932,1,0,2
1,0,10,1,932,1,0,0
1,0,23,1,932,1,0,1
5,0,29,1,932,1,0,1
1,0,27,1,932,1,0,0
1,0,17,1,932,1,0,0
5,0,47,2,1,2,1,1
2,0,23,1,932,1,0,0
1,0,17,1,932,1,0,0
1,0,4,1,932,1,0,0
1,0,7,1,932,1,0,0
2,0,26,1,932,1,0,0
3,0,48,1,932,1,0,0
3,0,41,1,932,1,0,0
6,0,68,1,932,1,0,0
4,0,46,1,932,1,0,0
3,0,63,1,932,1,0,0
8,0,79,1,932,1,0,0
1,0,11,1,932,1,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,1,0,0
74,0,632,1,932,1,0,0
4,0,39,1,932,2,0,0
1,0,85,1,932,1,0,0
1,0,33,1,932,1,0,0
2,0,60,1,932,1,0,0
2,0,72,1,932,1,0,1
2,0,82,1,932,1,0,1
6,0,117,1,932,1,0,0
1,0,23,1,932,1,0,0
3,0,45,1,932,1,0,0
2,0,52,1,932,1,0,0
1,0,19,1,932,1,0,0
10,0,98,1,932,13,1,1
6,0,54,1,932,13,2,1
5,0,221,2,932,18,1,1
23,0,192,3,932,36,4,2
40,0,284,2,932,26,1,1
9,0,112,1,932,13,2,1
1,0,26,1,932,8,0,1
64,0,337,1,932,40,7,2
2,0,27,1,932,9,2,0
37,0,100,2,932,5,0,1
4,0,26,1,932,6,0,0
5,0,48,1,932,6,0,0
15,0,66,2,932,12,3,2
5,0,36,2,932,9,0,0
1,0,7,1,932,6,0,0
12,0,104,2,932,13,2,0
2,0,35,1,932,7,2,0
7,0,61,1,932,8,1,0
1,0,9,1,932,5,0,0
2,0,15,1,932,5,0,0
1,0,22,1,932,7,0,0
4,0,26,1,932,3,0,0
1,0,9,1,932,8,0,0
1,0,8,1,932,6,0,0
2,0,36,1,932,8,0,0
1,0,4,1,932,2,0,0
8,0,55,1,932,8,0,0
8,0,48,1,932,5,1,0
1,0,4,1,932,5,0,0
1,0,17,1,932,6,0,0
9,0,22,1,932,6,0,0
25,0,158,1,932,4,0,2
1,0,6,1,932,3,0,0
3,0,79,1,932,2,0,0
1,0,7,1,932,8,0,1
1,0,24,1,932,7,0,1
1,0,12,1,932,7,0,1
15,0,123,1,932,11,3,2
1,0,11,1,932,6,0,1
10,0,94,1,932,15,2,0
1,0,24,1,932,6,1,0
5,0,38,1,932,13,1,1
3,0,19,1,932,6,1,0
3,0,21,1,932,4,1,0
1,0,6,1,932,7,0,0
1,0,17,1,932,6,0,0
5,0,46,2,932,8,2,0
2,0,23,1,932,6,0,0
1,0,17,1,932,7,0,0
1,0,4,1,932,5,0,0
1,0,7,1,932,5,0,0
2,0,26,1,932,5,0,0
3,0,48,1,932,6,0,0
4,0,44,1,932,7,0,0
6,0,68,1,932,6,0,0
4,0,46,1,932,5,0,0
3,0,63,1,932,6,0,0
15,0,94,1,932,5,1,0
8,0,79,1,932,6,0,0
1,0,11,1,932,6,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,2,0,0
74,0,632,1,932,1,0,0
1,0,72,1,932,1,0,0
1,0,58,1,932,1,0,0
3,0,58,1,932,1,0,0
3,0,26,1,932,4,0,0
1,0,89,1,932,9,0,0
4,0,72,1,932,6,0,0
2,0,69,1,932,7,0,0
2,0,71,1,932,9,1,0
4,0,109,1,932,16,1,0
7,0,123,1,932,13,0,0
3,0,34,1,932,12,0,0
2,0,48,1,932,6,0,0
9,0,95,1,932,19,2,0
6,0,53,1,932,18,3,0
13,0,285,3,932,30,2,0
25,0,251,3,932,52,6,0
42,0,309,2,932,30,2,0
9,0,120,1,932,19,3,0
1,0,29,1,932,15,1,0
70,0,399,2,932,62,9,0
3,0,34,1,932,12,2,0
22,0,96,2,932,9,1,1
8,0,48,1,932,14,0,0
5,0,48,1,932,6,0,0
16,0,72,2,932,16,5,0
5,0,36,2,932,12,0,0
1,0,7,1,932,9,0,0
12,0,104,2,932,16,2,0
1,0,49,1,932,3,0,0
2,0,15,1,932,9,0,0
1,0,22,1,932,7,0,0
4,0,26,1,932,3,0,0
1,0,9,1,932,8,0,0
1,0,5,1,932,3,0,0
1,0,8,1,932,6,0,0
2,0,36,1,932,8,0,0
1,0,4,1,932,2,0,0
8,0,55,1,932,8,0,0
8,0,48,1,932,5,1,0
1,0,4,1,932,5,0,0
1,0,17,1,932,6,0,0
1,0,13,1,932,2,0,0
9,0,22,1,932,8,0,0
28,0,176,1,932,17,3,0
1,0,6,1,932,3,0,0
3,0,85,1,932,4,0,0
1,0,7,1,932,12,1,0
8,0,41,2,932,14,1,0
2,0,60,1,932,16,5,0
2,0,34,1,932,3,0,0
1,0,10,1,932,10,1,0
10,0,97,1,932,19,2,0
1,0,24,1,932,6,1,0
5,0,39,2,932,18,2,0
3,0,19,1,932,6,1,0
3,0,21,1,932,4,1,0
1,0,15,1,932,6,1,0
2,0,52,1,932,4,1,0
22,0,104,2,932,11,1,0
1,0,6,1,932,7,0,0
5,0,46,2,932,11,2,0
1,0,17,1,932,11,0,0
6,0,68,2,932,9,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,2,0,0
74,0,632,1,932,1,0,0
1,0,70,1,932,4,0,1
1,0,58,1,932,1,0,0
3,0,58,1,932,1,0,0
3,0,26,1,932,4,0,0
1,0,150,1,932,11,0,0
4,0,72,1,932,6,0,0
2,0,70,1,932,11,0,0
2,0,108,1,932,17,1,0
4,0,106,1,932,20,1,0
7,0,120,1,932,16,0,0
3,0,34,1,932,12,0,0
2,0,49,1,932,8,0,0
9,0,103,1,932,26,2,1
3,0,50,1,932,27,3,0
10,0,278,3,932,35,2,0
25,0,280,3,932,63,6,0
44,0,344,2,932,39,2,0
10,0,124,1,932,29,3,0
1,0,28,1,932,17,1,0
67,0,369,4,932,78,9,2
1,0,30,1,932,20,2,0
5,0,15,1,932,1,0,0
22,0,96,2,932,9,1,1
10,0,59,1,932,20,0,0
6,0,59,1,932,7,0,0
8,0,56,1,932,3,0,0
16,0,72,2,932,16,5,1
1,0,16,1,932,14,0,0
1,0,3,1,932,1,0,0
2,0,36,1,932,8,2,0
7,0,62,1,932,9,1,0
1,0,4,1,932,1,0,0
1,0,10,1,932,6,0,0
1,0,47,1,932,5,0,0
1,0,22,1,932,8,0,0
4,0,26,1,932,3,0,0
1,0,8,1,932,6,0,0
2,0,36,1,932,8,0,0
1,0,4,1,932,2,0,0
1,0,4,1,932,5,0,0
9,0,22,1,932,8,0,0
28,0,177,1,932,18,3,1
1,0,6,1,932,3,0,0
3,0,89,2,932,12,0,0
1,0,7,1,932,12,1,0
8,0,41,2,932,15,1,0
2,0,65,1,932,21,5,0
2,0,34,1,932,3,0,0
1,0,10,1,932,10,1,0
12,0,108,1,932,25,2,0
5,0,39,2,932,18,2,0
1,0,15,1,932,11,1,0
9,0,72,2,932,15,1,0
4,0,54,1,932,1,0,0
19,0,97,1,932,2,0,0
1,0,10,1,932,2,0,0
1,0,5,1,932,2,0,0
8,0,49,1,932,2,0,0
1,0,18,1,932,2,0,0
1,0,6,1,932,7,0,0
16,0,128,1,932,7,1,0
6,0,74,2,932,14,2,0
1,0,14,1,932,16,0,0
1,0,4,1,932,8,0,0
1,0,7,1,932,5,0,0
2,0,26,1,932,5,0,0
3,0,48,1,932,7,0,0
4,0,45,1,932,8,0,0
6,0,68,2,932,10,0,0
4,0,47,1,932,6,0,0
3,0,63,1,932,7,0,0
15,0,94,1,932,6,1,0
8,0,79,1,932,7,0,0
1,0,11,1,932,7,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,2,0,0
74,0,632,1,932,1,0,0
104,0,656,1,932,9,0,0
19,0,161,1,932,8,0,1
20,0,93,1,932,7,0,0
9,0,50,1,932,7,0,0
1,0,70,1,932,6,0,1
1,0,58,1,932,1,0,0
3,0,58,1,932,3,0,0
3,0,26,1,932,4,0,0
1,0,150,1,932,14,0,0
4,0,72,1,932,6,0,0
2,0,71,1,932,12,0,0
2,0,108,1,932,20,1,0
4,0,106,1,932,23,1,0
7,0,121,1,932,19,0,0
3,0,34,1,932,13,0,0
2,0,49,1,932,11,0,0
9,0,105,1,932,28,3,0
3,0,50,1,932,27,3,0
10,0,278,3,932,35,2,0
25,0,280,3,932,63,6,0
44,0,344,2,932,39,2,0
10,0,124,1,932,29,3,0
1,0,28,1,932,17,1,0
67,0,369,4,932,79,10,1
1,0,30,1,932,20,2,0
5,0,15,1,932,1,0,0
25,0,107,2,932,11,2,0
11,0,63,1,932,21,0,0
6,0,59,1,932,7,0,0
8,0,56,1,932,3,0,0
17,0,77,2,932,17,6,0
3,0,37,1,932,9,2,0
7,0,62,1,932,10,1,0
1,0,4,1,932,1,0,0
1,0,10,1,932,7,0,0
1,0,47,1,932,5,0,0
1,0,22,1,932,8,0,0
4,0,26,1,932,3,0,0
1,0,9,1,932,7,0,0
2,0,36,1,932,8,0,0
1,0,4,1,932,2,0,0
1,0,4,1,932,5,0,0
9,0,22,1,932,8,0,0
28,0,177,1,932,20,3,1
1,0,6,1,932,3,0,0
3,0,89,2,932,12,0,0
1,0,7,1,932,13,1,0
8,0,41,2,932,15,1,0
2,0,65,1,932,22,5,0
2,0,34,1,932,3,0,0
1,0,10,1,932,10,1,0
15,0,127,2,932,30,2,0
5,0,39,2,932,18,2,0
1,0,15,1,932,11,1,0
10,0,76,2,932,16,1,0
4,0,54,1,932,1,0,0
19,0,97,1,932,2,0,0
1,0,10,1,932,2,0,0
1,0,5,1,932,2,0,0
8,0,49,1,932,2,0,0
1,0,18,1,932,2,0,0
1,0,6,1,932,7,0,0
1,0,4,1,932,8,0,0
1,0,7,1,932,5,0,0
2,0,26,1,932,5,0,0
3,0,48,1,932,8,0,0
4,0,45,1,932,9,0,0
6,0,68,2,932,11,0,0
4,0,47,1,932,7,0,0
3,0,63,1,932,8,0,0
15,0,95,1,932,7,1,0
8,0,79,1,932,8,0,0
1,0,11,1,932,7,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,2,0,0
74,0,632,1,932,1,0,0
21,0,167,1,932,10,1,0
1,0,140,1,932,8,1,0
1,0,58,1,932,1,0,0
1,0,148,1,932,16,0,0
3,0,35,1,932,14,0,0
6,0,62,1,932,1,0,0
4,0,82,1,932,1,0,0
9,0,58,1,932,1,0,0
3,0,57,1,932,1,0,0
3,0,33,1,932,1,0,0
2,0,82,1,932,1,0,0
2,0,109,1,932,1,0,0
4,0,113,1,932,1,0,0
6,0,114,1,932,1,0,0
2,0,49,1,932,11,0,0
11,0,125,1,932,31,3,0
3,0,50,1,932,28,3,0
10,0,278,3,932,36,2,0
26,0,283,3,932,65,6,0
44,0,344,2,932,42,2,0
10,0,124,1,932,30,3,0
1,0,28,1,932,17,1,0
69,0,379,4,932,83,11,0
1,0,30,1,932,21,2,0
5,0,15,1,932,2,0,0
25,0,107,2,932,12,2,0
12,0,64,1,932,24,0,0
6,0,59,1,932,8,0,0
8,0,56,1,932,4,0,0
24,0,92,2,932,20,6,0
1,0,15,1,932,2,0,0
3,0,37,1,932,10,2,0
7,0,62,1,932,11,1,0
1,0,10,1,932,2,0,0
1,0,47,1,932,6,0,0
1,0,22,1,932,9,0,0
4,0,26,1,932,3,0,0
1,0,9,1,932,8,0,0
2,0,36,1,932,8,0,0
1,0,4,1,932,2,0,0
1,0,4,1,932,5,0,0
9,0,22,1,932,8,0,0
29,0,182,1,932,22,4,0
1,0,6,1,932,3,0,0
3,0,89,2,932,13,0,0
1,0,7,1,932,14,1,0
8,0,41,2,932,16,1,0
2,0,65,1,932,23,5,0
2,0,34,1,932,3,0,0
1,0,10,1,932,10,1,0
21,0,164,4,932,39,2,0
5,0,39,3,932,21,2,0
1,0,15,1,932,12,1,0
10,0,76,2,932,17,1,0
4,0,54,1,932,2,0,0
19,0,97,1,932,2,0,0
1,0,10,1,932,2,0,0
1,0,5,1,932,2,0,0
8,0,49,1,932,2,0,0
1,0,18,1,932,2,0,0
1,0,6,1,932,7,0,0
16,0,127,1,932,1,0,0
6,0,74,1,932,1,0,0
1,0,14,1,932,1,0,0
1,0,4,1,932,8,0,0
1,0,7,1,932,5,0,0
2,0,26,1,932,5,0,0
3,0,48,1,932,9,0,0
4,0,45,1,932,10,0,0
6,0,68,2,932,12,0,0
4,0,47,1,932,8,0,0
3,0,63,1,932,9,0,0
15,0,95,1,932,7,1,0
8,0,79,1,932,9,0,0
1,0,11,1,932,8,0,0
1,0,42,1,932,1,0,0
1,0,36,1,932,1,0,0
1,0,13,1,932,2,0,0
74,0,632,1,932,1,0,0
104,0,656,1,932,9,0,0
21,0,167,1,932,1,0,0
20,0,93,1,932,7,0,0
9,0,50,1,932,7,0,0
1,0,140,2,932,11,1,0
1,0,58,2,932,4,0,0
1,0,149,1,932,4,0,0
3,0,33,1,932,2,0,0
6,0,62,1,932,1,0,0
6,0,102,1,932,1,0,0
9,0,58,1,932,1,0,0
4,0,39,1,932,1,0,0
1,0,25,1,932,1,0,0
1,0,19,1,932,1,0,0
18,0,144,1,932,1,0,0
3,0,57,1,932,1,0,0
3,0,31,1,932,1,0,0
2,0,79,1,932,2,0,0
2,0,106,1,932,2,0,0
4,0,109,1,932,2,0,0
6,0,111,1,932,2,0,0
2,0,49,1,932,1,0,0
