Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
106,5,175,6,0.0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,10,7,14,11,0,0,0,0,0,70,0,0,0,0,21,0,0,21,20,0,0,0,0,0,0,21,0,21,0,0,0,34,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,2,0,0,0,0
52,5,121,6,0.0,0,0,0,0,20,0,0,21,1,2,2,0,21,0.333333,0.2,10,7,14,11,0,0,0,0,0,70,0,0,0,0,21,0,0,21,20,0,0,0,0,0,0,21,0,21,0,0,0,34,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,2,0,0,0,0
146,5,215,6,0.0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,10,7,14,11,0,0,0,0,0,70,0,0,0,0,21,0,0,21,20,0,0,0,0,0,0,21,0,21,0,0,0,34,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,2,0,0,0,0
146,5,215,6,0.0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,10,7,14,11,0,0,0,0,0,70,0,0,0,0,21,0,0,21,20,0,0,0,0,0,0,21,0,21,0,0,0,34,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,2,0,0,0,0
14,1,282,2,0.838471,10,29,17,164,3,1,1,25,2,0,0,0,17,0.9444440000000001,0.20784299999999997,53,17,1,53,1,1,0,0,1,269,5,4,4,4,17,0,4,17,93,1,4,5,4,4,4,17,0,17,1,4,0,120,0,9,0,0,85,1,0,0,0,6,31,0,0,3,0,3,0,0,0,0
15,1,110,2,0.843284,5,9,5,63,1,1,1,10,2,0,0,0,6,0.857143,0.215054,20,6,1,20,1,1,0,0,1,96,3,1,2,1,6,0,2,6,34,1,2,3,1,2,1,6,0,6,1,2,0,52,0,6,0,2,35,0,0,0,0,3,15,0,0,1,0,2,0,0,0,0
14,1,422,2,0.8591340000000001,7,55,30,260,5,1,1,40,1,0,0,0,25,0.9615379999999999,0.198966,77,25,1,77,1,1,0,0,1,409,7,5,6,5,25,0,5,25,143,1,5,7,5,6,5,25,0,25,1,5,0,179,0,15,0,0,127,1,0,0,0,10,45,0,0,5,0,6,0,0,0,0
14,1,422,2,0.8591340000000001,7,55,30,260,5,1,1,40,1,0,0,0,25,0.9615379999999999,0.198966,77,25,1,77,1,1,0,0,1,409,7,5,6,5,25,0,5,25,143,1,5,7,5,6,5,25,0,25,1,5,0,179,0,15,0,0,127,1,0,0,0,10,45,0,0,5,0,6,0,0,0,0
14,1,444,2,0.9143969999999999,5,66,36,312,6,1,1,43,1,0,0,0,25,0.9615379999999999,0.18826400000000001,77,25,1,77,1,1,0,0,1,431,8,6,7,6,25,0,6,25,157,1,6,8,6,7,6,25,0,25,1,6,0,214,0,18,0,0,152,1,0,0,0,12,53,0,0,6,0,8,0,0,0,0
14,1,164,2,0.8859319999999999,7,22,12,104,2,1,1,15,1,0,0,0,9,0.9,0.2,29,9,1,29,1,1,0,0,1,151,4,2,3,2,9,0,2,9,53,1,2,4,2,3,2,9,0,9,1,2,0,78,0,6,0,0,54,1,0,0,0,4,21,0,0,2,0,2,0,0,0,0
14,1,658,2,0.79864,15,65,38,365,7,1,1,60,3,0,0,0,41,0.97619,0.205931,125,41,1,125,1,1,0,0,1,645,9,9,8,9,41,0,9,41,223,1,9,9,9,8,9,41,0,41,1,9,0,259,0,21,0,0,182,1,0,0,0,14,65,0,0,7,0,11,0,0,0,0
15,1,77,2,0.755814,3,5,3,38,1,1,1,6,2,0,0,0,4,0.8,0.225806,14,4,1,14,1,1,0,0,1,63,3,1,2,1,4,0,1,4,20,1,1,3,1,2,1,4,0,4,1,1,0,36,0,3,0,0,23,0,0,0,0,2,11,0,0,1,0,2,0,0,0,0
14,1,306,2,0.799049,10,29,17,164,3,1,1,27,2,0,0,0,19,0.95,0.212996,59,19,1,59,1,1,0,0,1,293,5,4,4,4,19,0,4,19,99,1,4,5,4,4,4,19,0,19,1,4,0,120,0,9,0,0,85,1,0,0,0,6,31,0,0,3,0,3,0,0,0,0
15,1,110,2,0.843284,5,9,5,63,1,1,1,10,2,0,0,0,6,0.857143,0.215054,20,6,1,20,1,1,0,0,1,96,3,1,2,1,6,0,2,6,34,1,2,3,1,2,1,6,0,6,1,2,0,52,0,6,0,2,35,0,0,0,0,3,15,0,0,1,0,2,0,0,0,0
14,1,142,2,0.688525,5,7,5,60,1,1,1,11,2,0,0,0,9,0.9,0.23577199999999998,29,9,1,29,1,1,0,0,1,129,3,2,2,2,9,0,2,9,41,1,2,3,2,2,2,9,0,9,1,2,0,52,0,3,0,0,35,0,0,0,0,2,15,0,0,1,0,2,0,0,0,0
15,1,77,2,0.755814,3,5,3,38,1,1,1,6,2,0,0,0,4,0.8,0.225806,14,4,1,14,1,1,0,0,1,63,3,1,2,1,4,0,1,4,20,1,1,3,1,2,1,4,0,4,1,1,0,36,0,3,0,0,23,0,0,0,0,2,11,0,0,1,0,2,0,0,0,0
14,1,306,2,0.799049,10,29,17,164,3,1,1,27,2,0,0,0,19,0.95,0.212996,59,19,1,59,1,1,0,0,1,293,5,4,4,4,19,0,4,19,99,1,4,5,4,4,4,19,0,19,1,4,0,120,0,9,0,0,85,1,0,0,0,6,31,0,0,3,0,3,0,0,0,0
15,1,77,2,0.755814,3,5,3,38,1,1,1,6,2,0,0,0,4,0.8,0.225806,14,4,1,14,1,1,0,0,1,63,3,1,2,1,4,0,1,4,20,1,1,3,1,2,1,4,0,4,1,1,0,36,0,3,0,0,23,0,0,0,0,2,11,0,0,1,0,2,0,0,0,0
14,1,142,2,0.688525,5,7,5,60,1,1,1,11,2,0,0,0,9,0.9,0.23577199999999998,29,9,1,29,1,1,0,0,1,129,3,2,2,2,9,0,2,9,41,1,2,3,2,2,2,9,0,9,1,2,0,52,0,3,0,0,35,0,0,0,0,2,15,0,0,1,0,2,0,0,0,0
14,1,807,2,0.82504,16,93,51,468,9,1,1,72,7,0,0,3,48,0.978261,0.197122,137,45,1,152,1,1,0,0,1,752,11,9,10,9,45,0,9,45,259,1,9,43,9,13,9,51,0,57,30,9,0,337,0,28,0,0,224,1,0,0,0,18,92,0,0,10,0,20,0,0,0,0
