Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
14,1,43,2,0.0,0,0,0,0,1,0,0,1,3,1,1,9,10,0.5,0.407407,3,1,1,11,0,0,0,0,0,30,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13,1,32,2,0.0,0,0,0,0,1,0,0,1,2,1,1,2,3,0.5,0.6190479999999999,5,1,1,13,0,0,0,0,0,20,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,1,36,2,0.0,0,0,0,0,1,1,1,2,5,1,1,4,5,0.5,0.333333,3,1,1,7,0,0,0,0,0,25,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13,1,51,2,0.0,0,0,0,0,1,0,0,1,4,1,1,8,9,0.5,0.55,6,1,1,22,0,0,0,0,0,39,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14,1,123,2,0.274368,1,7,1,12,1,0,0,1,6,1,1,9,10,0.5,0.275862,3,1,1,27,0,0,0,0,0,65,0,0,0,0,1,0,0,1,16,0,0,10,2,2,2,7,0,7,8,0,0,35,2,14,0,8,14,1,0,4,0,2,17,0,0,0,0,3,0,0,0,0
17,1,44,2,0.0,0,0,0,0,1,1,1,2,5,1,1,3,4,0.5,0.478261,6,1,1,11,0,0,0,0,0,21,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,2,0,2,0,0,0,7,0,7,0,3,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
14,1,44,2,0.0,0,0,0,0,1,1,1,2,3,0,0,6,7,0.5,0.185185,3,1,1,5,0,0,0,0,0,31,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,1,0,1,0,0,0,5,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
12,1,38,2,0.0,0,0,0,0,1,2,2,3,2,0,0,5,6,0.5,0.166667,3,1,1,4,0,0,0,0,0,27,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,1,0,1,0,0,0,5,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
18,1,67,2,0.0,0,0,0,0,1,0,0,1,6,1,1,12,13,0.5,0.636364,8,1,1,28,0,0,0,0,0,50,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
13,1,44,2,0.0,0,0,0,0,1,0,0,1,6,1,1,9,10,0.5,0.44444399999999995,6,1,1,12,0,0,0,0,0,32,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,1,41,2,0.0,0,0,0,0,1,1,1,2,5,1,1,6,7,0.5,0.384615,5,1,1,10,0,0,0,0,0,30,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,1,43,2,0.0,0,0,0,0,1,0,0,1,6,1,1,4,5,0.5,0.416667,3,1,1,10,0,0,0,0,0,30,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,2,0,2,0,0,0,6,0,3,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
12,1,33,2,0.0,0,0,0,0,1,0,0,1,6,1,1,5,6,0.5,0.388889,4,1,1,7,0,0,0,0,0,19,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,2,0,2,0,0,0,7,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
15,1,41,2,0.0,0,0,0,0,1,0,0,1,4,1,1,5,6,0.5,0.576923,6,1,1,15,0,0,0,0,0,27,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,1,83,2,0.0,0,0,0,0,1,1,1,3,4,1,1,7,8,0.5,0.40625,5,1,1,26,0,0,0,0,0,72,0,0,0,0,1,0,0,1,31,0,0,0,0,0,0,1,0,1,0,0,0,1,1,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,1,32,2,0.0,0,0,0,0,1,0,0,1,5,1,1,8,9,0.5,0.294118,3,1,1,5,0,0,0,0,0,19,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,2,0,2,0,0,0,9,1,3,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,0,0
17,1,101,2,0.0,0,0,0,0,1,3,3,7,3,1,1,2,3,1.0,0.405063,18,2,0,32,0,0,0,0,0,85,0,0,0,0,1,0,0,1,25,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,1,93,2,0.0,0,0,0,0,1,3,3,5,2,0,0,8,9,0.5,0.43939399999999995,26,1,1,29,0,0,0,0,0,58,1,0,1,0,1,0,0,1,23,0,0,1,0,1,0,1,0,1,0,0,0,3,0,9,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0
33,1,286,2,0.0,0,0,0,0,1,4,4,36,9,4,1,19,30,0.2,0.122807,18,2,8,23,2,2,0,0,2,205,18,1,14,0,11,0,1,17,90,3,1,18,1,14,0,13,0,19,3,1,0,45,5,36,0,28,0,0,6,0,0,1,33,1,0,4,3,5,5,0,0,1
70,1,808,2,0.0,0,0,0,0,5,1,1,19,8,13,11,10,21,1.0,0.690909,152,11,0,378,0,0,0,0,0,200,0,5,0,5,11,0,0,11,36,0,0,13,16,13,16,61,0,61,0,0,0,44,0,56,0,40,0,1,0,0,0,13,37,0,0,3,0,6,0,0,0,0
14,1,191,2,0.0668842,2,2,2,16,5,2,2,13,7,11,11,5,12,0.14285699999999998,0.196429,5,1,6,26,0,0,0,0,0,69,0,0,0,0,7,0,0,7,15,0,0,0,0,0,0,20,0,20,0,0,0,105,1,16,1,13,41,2,0,0,0,2,62,0,0,1,0,0,0,0,0,0
