Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
89,1,859,2,0.0,0,0,0,0,2,6,6,142,32,43,35,47,84,0.235294,0.168693,60,8,26,114,0,0,1,1,0,731,32,5,32,5,37,27,0,37,329,27,0,39,5,39,5,41,30,41,30,0,2,108,3,173,0,37,0,1,8,7,3,93,79,0,0,17,17,17,2,0,0,3
47,1,124,2,0.751092,1,6,2,30,1,1,1,9,5,1,1,4,8,1.0,0.426667,32,5,0,32,1,1,0,0,1,78,3,0,3,0,4,0,0,4,22,0,0,3,0,3,0,4,0,4,0,0,0,17,0,14,0,0,17,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
77,1,505,2,0.0,0,0,0,0,1,2,2,46,5,1,0,5,15,0.333333,0.359133,95,2,4,121,0,0,0,0,0,387,16,6,16,6,10,0,0,10,109,0,0,48,12,16,7,13,0,50,27,0,0,38,3,15,0,0,0,0,2,1,0,9,26,0,0,0,0,10,1,1,0,0
42,1,86,2,0.0,0,0,0,0,1,2,2,7,1,1,2,1,5,0.2,0.08888889999999999,4,1,4,4,3,3,1,1,1,45,9,3,1,1,4,0,0,26,19,5,0,9,3,1,1,4,0,26,5,0,0,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0
47,1,246,2,0.0,0,0,0,0,3,3,3,37,3,12,59,0,22,0.304348,0.259459,25,7,16,48,2,2,1,2,1,200,8,2,6,2,22,3,0,22,62,5,0,8,2,6,2,22,3,22,5,0,0,41,1,18,0,4,0,1,0,0,0,10,33,0,0,3,1,7,0,0,0,0
63,1,96,2,0.0,0,0,0,0,3,1,1,5,7,3,0,4,7,1.0,0.637931,37,4,0,37,2,2,0,0,1,34,3,6,0,0,3,0,0,27,11,0,0,3,6,0,0,3,0,27,0,0,0,3,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
46,1,87,2,0.0,0,0,0,0,4,0,0,4,8,4,0,0,4,0.2,0.152174,7,1,4,7,1,1,4,5,1,42,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,16,0,4,0,0,0,1,0,0,0,4,11,0,0,0,0,4,0,0,0,0
53,1,479,2,0.0,0,0,0,0,3,3,3,94,9,11,57,9,46,0.344828,0.286082,98,10,19,111,2,2,1,2,1,427,6,14,4,14,37,0,1,37,176,2,1,6,14,4,14,37,0,37,2,1,1,66,2,54,0,33,0,1,0,0,0,17,57,0,0,5,0,8,1,0,1,1
38,1,297,2,0.0,0,0,0,0,1,1,1,31,8,19,11,16,39,0.166667,0.350649,80,4,20,81,2,2,12,12,1,260,16,10,10,10,23,0,8,23,62,6,8,16,10,10,10,23,0,23,6,8,0,51,1,3,0,2,0,0,0,0,1,1,39,1,0,0,0,10,0,0,0,0
40,1,111,2,0.0,0,0,0,0,2,2,1,7,6,1,1,7,11,0.6,0.628571,44,3,2,44,1,1,0,0,1,72,2,0,2,0,4,1,0,4,11,1,0,2,0,2,0,4,1,4,1,0,0,11,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,5,0,0,0,0
