Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
1,1,11,2,0.0,0,0,0,0,1,0,0,5,0,0,0,0,1,0.0,0.181818,0,0,1,2,0,0,0,0,0,11,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
6,1,54,2,0.0,0,0,0,0,2,2,2,8,1,1,1,0,3,0.5,0.326087,15,2,2,15,0,0,0,0,0,49,1,0,1,0,3,0,0,3,17,0,0,1,0,1,0,3,0,3,0,0,0,4,1,6,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0
1,1,14,2,0.0,0,0,0,0,1,1,1,14,0,0,0,0,1,0.0,0.22222199999999998,0,0,1,4,0,0,0,0,0,14,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,4,2,3,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
13,1,61,2,0.0,0,0,0,0,1,2,2,9,5,0,0,3,6,0.0,0.21739099999999997,0,0,4,10,0,0,0,0,0,49,0,2,0,2,3,0,0,3,23,0,0,0,2,0,2,3,0,3,0,0,1,7,3,5,0,2,0,0,0,0,0,2,7,0,0,2,0,0,0,0,3,0
9,1,26,2,0.727273,2,6,2,12,1,1,1,3,5,0,0,5,6,0.0,0.0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,1,0,1,0,0,0,16,1,5,0,2,11,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0
11,1,34,2,0.64557,1,3,1,11,1,1,1,3,6,0,0,3,4,0.0,0.26087,0,0,2,6,0,0,0,0,0,24,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,1,0,1,0,0,0,11,1,4,0,2,10,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3,1,11,2,0.0,0,0,0,0,1,1,1,2,4,0,0,4,5,0.0,0.0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,1,0,0,0,5,1,4,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0
16,1,146,2,0.0,0,0,0,0,1,7,4,25,10,0,0,5,9,0.75,0.22033899999999998,6,3,1,26,0,0,0,0,0,125,9,0,9,0,4,8,0,4,64,8,0,10,0,10,0,5,9,5,9,0,9,26,6,75,1,14,0,0,4,2,0,42,12,0,0,4,8,10,2,0,2,0
47,1,276,2,0.0,0,0,0,0,1,12,5,40,11,2,2,5,12,0.14285699999999998,0.252632,21,1,6,48,0,0,0,0,0,202,14,2,14,2,7,13,0,7,108,13,0,17,2,17,2,10,15,10,15,0,11,42,10,107,1,26,0,0,5,4,1,54,26,0,0,5,12,10,2,0,3,0
34,1,44,2,0.0,0,0,0,0,1,1,1,2,4,0,0,4,5,0.0,0.181818,0,0,2,2,0,0,0,0,0,11,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,1,0,0,0,5,1,4,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0
