AD,Android Rules,Basic Rules,Brace Rules,CBO,CBOI,CC,CCL,CCO,CD,CI,CLC,CLLC,CLOC,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Column,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,DIT,DLOC,Design Rules,Documentation Metric Rules,Empty Code Rules,EndColumn,EndLine,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,LCOM5,LDC,LLDC,LLOC,LOC,Line,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,NA,NG,NII,NL,NLA,NLE,NLG,NLM,NLPA,NLPM,NLS,NM,NOA,NOC,NOD,NOI,NOP,NOS,NPA,NPM,NS,Naming Rules,Number of bugs,Optimization Rules,PDA,PUA,RFC,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,TCD,TCLOC,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,WMC,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor
1.0,0,0,0,15,8,0.0,0,0,0.25,0,0.0,0.0,10,0,0,0,1,1,0,0,0,1,0,0,10,1,4,0,2,68,0,0,0,0,0,0,0,0,5,0,0,30,40,29,0,0,0,0,0,0,0,8,2,0,1,0,5,0,5,0,5,0,0,0,9,0,15,0,5,0,0,1,0,6,0,14,0,0,0,0,0.25,10,30,40,0,0,0,0,5,0,5,0,5,15,0,5,0,0,0,0,8,0,0,6,0,1
0.333333,0,0,4,6,1,0.0,0,0,0.186047,0,0.0,0.0,8,0,0,0,0,1,0,0,1,0,0,0,8,0,11,0,2,59,0,0,0,0,0,0,0,0,1,0,0,35,43,17,0,0,0,0,0,8,0,1,2,8,2,0,4,0,2,1,4,0,0,0,8,0,17,0,2,1,0,2,0,1,2,12,0,1,0,0,0.186047,8,35,43,8,0,8,0,4,0,2,1,4,17,0,2,1,0,0,0,7,0,0,12,0,5
1.0,0,0,0,3,13,0.0,0,0,0.383838,0,0.0,0.0,38,0,0,0,2,1,0,0,12,0,0,0,38,0,38,0,2,229,0,0,0,0,0,0,0,0,2,0,0,61,95,34,0,0,0,0,0,9,6,10,0,9,0,6,14,0,1,0,14,0,0,0,1,0,22,0,1,0,7,1,6,2,0,15,0,5,0,0,0.365979,71,123,196,18,6,18,6,25,0,12,0,25,51,0,12,0,0,0,0,14,0,0,45,0,25
1.0,0,0,4,6,1,0.189591,1,6,0.306748,2,0.12426,0.185841,50,0,11,0,0,1,0,2,1,0,0,0,43,1,8,0,2,195,0,0,0,0,0,0,0,0,1,21,21,113,169,27,0,0,0,0,0,6,1,3,3,6,3,1,7,0,2,1,7,0,0,0,5,0,71,0,2,1,0,1,0,3,0,12,0,1,0,0,0.306748,50,113,169,6,1,6,1,7,0,2,1,7,71,0,2,1,0,0,0,33,0,0,22,0,6
1.0,0,0,14,15,11,0.0,0,0,0.46341499999999997,0,0.0,0.0,190,0,0,0,1,1,0,1,1,2,0,0,186,9,18,0,2,484,0,0,0,0,0,0,0,0,2,0,0,220,443,42,0,0,0,0,0,14,8,15,3,14,3,8,26,1,19,0,26,0,0,0,25,0,121,1,19,0,0,4,0,20,0,51,0,9,2,0,0.46341499999999997,190,220,443,14,8,14,8,26,1,19,0,26,121,1,19,0,0,0,0,65,0,1,31,2,23
1.0,0,0,26,6,5,0.0,0,0,0.457143,0,0.0,0.0,32,0,0,0,1,1,0,0,15,0,0,0,32,2,16,0,2,397,0,0,0,0,0,0,0,0,1,0,0,38,70,30,0,0,0,0,0,15,0,1,0,15,0,0,2,0,1,0,2,0,0,0,2,0,16,0,1,0,10,1,15,2,0,4,0,14,0,0,0.44281499999999996,151,190,368,45,0,45,0,22,3,20,0,22,99,3,20,0,0,0,0,2,0,0,31,0,68
0.5,0,0,0,4,3,0.0,0,0,0.307692,0,0.0,0.0,8,0,0,0,0,1,0,0,7,0,0,0,8,0,3,0,2,39,0,0,0,0,0,0,0,0,0,0,0,18,20,20,0,0,0,0,0,7,0,1,0,7,0,0,1,0,1,0,1,0,0,0,1,0,7,0,1,0,0,0,0,1,1,2,0,2,0,0,0.307692,8,18,20,7,0,7,0,1,0,1,0,1,7,0,1,0,0,0,0,1,0,0,5,0,7
0.333333,0,1,32,16,3,0.0,0,0,0.09236950000000001,0,0.0,0.0,23,0,0,0,0,1,0,4,2,2,0,0,14,3,29,0,2,319,0,0,0,0,0,0,0,0,1,0,0,226,275,37,0,0,0,0,0,25,0,1,4,25,4,0,9,0,2,0,9,0,0,0,26,0,155,0,2,0,0,7,0,1,2,35,0,4,1,0,0.0894942,23,234,283,25,0,25,0,11,0,4,0,11,157,0,4,0,0,0,0,56,0,0,39,5,34
0.5,0,0,0,0,1,0.0,0,0,0.28571399999999997,0,0.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,5,0,5,0,2,29,0,0,0,0,0,0,0,0,1,0,0,15,18,12,0,0,0,0,0,1,0,1,2,1,2,0,2,0,1,0,2,0,0,0,0,0,6,0,1,0,0,0,0,1,1,2,0,0,0,0,0.28571399999999997,6,15,18,1,0,1,0,2,0,1,0,2,6,0,1,0,0,0,0,4,0,0,5,0,0
0.14285699999999998,0,0,0,1,10,0.0,0,0,0.119048,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,0,5,1,19,0,2,58,0,0,0,0,0,0,0,0,1,0,0,37,47,12,0,0,0,0,0,1,0,21,1,1,1,0,8,0,6,0,8,0,0,0,0,0,15,0,6,0,6,0,0,1,6,8,0,0,0,0,0.119048,5,37,47,1,0,1,0,8,0,6,0,8,15,0,6,0,0,0,0,11,0,0,19,0,7
1.0,0,1,0,1,1,0.0,0,0,0.392857,0,0.0,0.0,33,0,0,0,0,1,0,0,0,0,0,0,33,1,4,0,2,98,0,2,0,0,0,0,0,0,0,0,0,51,85,14,0,0,0,0,0,1,4,1,2,1,2,4,5,0,3,0,5,0,0,0,2,0,28,0,3,0,0,3,0,4,0,7,0,0,0,0,0.392857,33,51,85,1,4,1,4,5,0,3,0,5,28,0,3,0,0,0,0,16,0,0,4,0,4
0.25,2,0,0,1,9,0.0,0,0,0.08333330000000001,0,0.0,0.0,3,0,0,0,1,1,0,0,1,0,0,0,3,1,11,0,2,51,0,0,0,0,0,0,0,0,2,0,0,33,39,13,0,0,0,0,0,2,0,0,1,2,1,0,4,0,3,0,4,0,5,5,4,0,12,0,3,0,0,0,0,1,3,8,0,0,0,0,0.08333330000000001,3,33,39,2,0,2,0,4,0,3,0,4,12,0,3,0,0,0,0,7,0,1,12,1,2
