Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
7,1,11,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
11,1,21,2,0.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0.0,0.0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,7,0,4,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0
7,1,15,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,9,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
4,1,6,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
8,1,10,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3,1,5,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6,1,10,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10,1,20,2,0.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0.0,0.0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,7,0,4,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0
6,1,14,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,9,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
3,1,5,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
23,1,30,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,1,3,1,0,0,18,0,5,0,0,0,0,0,0,0,4,12,0,0,0,1,6,0,0,0,0
23,1,31,2,0.0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,4,1,4,1,0,0,20,0,6,0,0,0,0,0,0,0,5,14,0,0,0,1,6,0,0,0,0
5,1,26,2,0.0,0,0,0,0,3,0,0,3,0,0,0,0,3,0.0,0.0,0,0,4,0,0,0,0,0,0,22,1,0,1,0,3,1,0,3,0,1,0,1,0,1,0,3,1,3,1,0,0,14,1,4,0,0,0,1,0,0,0,3,9,0,0,1,0,4,0,1,0,0
22,1,24,2,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,4,0,0,0,0,0,1,0,2,5,0,0,1,0,0,0,0,0,0
23,1,46,2,0.0,0,0,0,0,7,0,0,7,0,0,0,0,7,0.0,0.0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0,7,0,7,0,0,0,18,1,8,5,0,0,1,0,2,0,0,17,0,0,0,0,0,0,0,1,0
3,1,5,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
25,5,29,6,0.0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0,0,3,0,0,0,0,0,0,5,1,0,1,0,2,1,0,2,0,1,0,1,0,1,0,2,1,2,1,0,0,11,0,4,0,0,0,0,0,0,0,3,7,0,0,0,1,4,0,0,0,0
26,5,30,6,0.0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0,0,3,0,0,0,0,0,0,5,1,0,1,0,2,1,0,2,0,1,0,1,0,1,0,2,1,2,1,0,0,11,0,4,0,0,0,0,0,0,0,3,7,0,0,0,1,4,0,0,0,0
34,1,287,2,0.0,0,0,0,0,5,3,2,21,3,7,7,3,16,0.0,0.214286,23,0,8,26,0,0,0,0,0,136,4,2,4,2,13,0,0,13,34,0,0,6,2,6,2,19,0,19,0,0,2,58,2,7,1,0,0,1,3,0,0,7,54,0,0,1,0,0,2,0,0,0
6,1,11,2,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
44,1,443,2,0.0,0,0,0,0,3,3,3,37,2,107,97,3,24,0.375,0.118902,37,6,10,41,1,1,0,0,1,365,164,12,13,12,21,5,0,21,197,156,0,164,12,13,12,24,5,24,156,0,1,66,9,17,0,2,0,1,0,1,0,12,50,0,0,0,2,15,2,1,2,3
