Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
27,1,116,2,0.0,0,0,0,0,1,4,4,14,2,0,0,2,4,0.0,0.038961,0,0,2,3,0,0,0,0,0,90,0,1,0,1,2,0,0,2,47,0,0,0,1,0,1,2,0,2,0,0,0,9,0,3,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0
6,1,10,2,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
45,1,325,2,0.0,0,0,0,0,3,2,2,29,6,27,34,4,24,0.25,0.17647100000000002,31,4,12,37,1,1,0,0,1,217,42,7,9,7,20,3,0,20,84,36,0,42,7,9,7,23,3,23,36,0,1,64,5,15,0,2,0,1,4,1,0,11,50,0,0,0,2,9,1,0,2,0
14,1,32,2,0.0,0,0,0,0,1,1,1,3,1,0,0,1,2,0.0,0.0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,1,34,2,0.0,0,0,0,0,4,0,0,5,0,3,0,0,5,0.0,0.043478300000000004,0,0,6,1,0,0,0,0,0,30,1,1,1,1,5,0,0,5,5,0,0,1,1,1,1,5,0,5,0,0,0,12,0,3,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
12,1,56,2,0.0,0,0,0,0,1,2,1,7,0,1,1,0,4,0.0,0.0,0,0,5,0,0,0,0,0,0,45,4,1,4,1,4,0,0,4,16,0,0,4,1,4,1,4,0,4,0,0,0,11,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
24,1,104,2,0.0,0,0,0,0,1,4,4,16,1,4,0,1,6,0.0,0.0,0,0,5,0,0,0,2,2,0,81,2,1,2,1,5,0,0,5,45,0,0,2,1,2,1,5,0,5,0,0,0,15,0,1,0,0,0,0,2,0,0,0,13,0,0,0,1,0,0,0,0,0
23,1,149,2,0.14285699999999998,1,4,1,14,2,2,2,35,0,1,1,0,14,0.07692310000000001,0.00892857,1,1,12,1,0,0,0,0,0,127,2,2,2,2,14,0,0,14,48,0,0,2,2,2,2,14,0,14,0,0,0,40,0,4,1,0,8,1,0,0,0,3,31,0,0,0,0,0,0,0,0,0
7,1,60,2,0.0,0,0,0,0,1,1,1,10,0,3,5,0,8,0.0,0.0,0,0,9,0,0,0,0,0,0,54,3,1,3,1,8,0,0,8,26,0,0,3,1,3,1,8,0,8,0,0,0,19,0,3,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0
8,1,47,2,0.0,0,0,0,0,1,1,1,10,0,4,10,0,6,0.0,0.0,0,0,6,0,0,0,0,0,0,40,2,1,2,1,6,0,0,6,11,0,0,2,1,2,1,6,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
