CLOC,LLOC,McCC,Number of bugs,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications
0,49,4,1,1,932,0,1
0,41,4,2,1,932,0,1
0,128,1,1,1,932,0,1
0,125,27,1,1,932,0,1
0,251,40,4,1,932,0,1
0,204,21,1,1,932,0,1
0,25,1,0,1,932,0,1
0,258,48,7,1,932,0,1
0,19,3,0,1,932,0,1
0,40,4,0,1,932,0,1
0,56,12,3,1,932,0,1
0,32,3,0,1,932,0,1
0,7,1,0,1,932,0,1
0,86,9,2,1,932,0,1
0,36,2,2,1,932,0,1
0,58,7,1,1,932,0,1
0,9,1,0,1,932,0,1
0,4,1,0,1,932,0,1
0,26,4,0,1,932,0,1
0,15,1,0,1,932,0,1
0,20,1,0,1,932,0,1
0,55,8,0,1,932,0,1
0,46,8,1,1,932,0,1
0,16,1,0,1,932,0,1
0,22,9,0,1,932,0,1
0,6,1,0,1,932,0,1
0,11,1,0,1,932,0,1
0,43,2,2,1,932,0,1
0,10,1,0,1,932,0,1
0,23,1,1,1,932,0,1
0,29,5,1,1,932,0,1
0,27,1,0,1,932,0,1
0,17,1,0,1,932,0,1
0,47,5,1,2,1,1,2
0,23,2,0,1,932,0,1
0,26,2,0,1,932,0,1
0,48,3,0,1,932,0,1
0,41,3,0,1,932,0,1
0,68,6,0,1,932,0,1
0,46,4,0,1,932,0,1
0,63,3,0,1,932,0,1
0,79,8,0,1,932,0,1
0,42,1,0,1,932,0,1
0,36,1,0,1,932,0,1
0,13,1,0,1,932,0,1
0,632,74,0,1,932,0,1
0,39,4,0,1,932,0,2
0,85,1,0,1,932,0,1
0,33,1,0,1,932,0,1
0,60,2,0,1,932,0,1
0,72,2,1,1,932,0,1
0,82,2,1,1,932,0,1
0,117,6,0,1,932,0,1
0,23,1,0,1,932,0,1
0,45,3,0,1,932,0,1
0,52,2,0,1,932,0,1
0,19,1,0,1,932,0,1
0,98,10,1,1,932,1,13
0,54,6,1,1,932,2,13
0,221,5,1,2,932,1,18
0,192,23,2,3,932,4,36
0,284,40,1,2,932,1,26
0,112,9,1,1,932,2,13
0,26,1,1,1,932,0,8
0,337,64,2,1,932,7,40
0,27,2,0,1,932,2,9
0,100,37,1,2,932,0,5
0,26,4,0,1,932,0,6
0,48,5,0,1,932,0,6
0,66,15,2,2,932,3,12
0,36,5,0,2,932,0,9
0,7,1,0,1,932,0,6
0,104,12,0,2,932,2,13
0,35,2,0,1,932,2,7
0,61,7,0,1,932,1,8
0,9,1,0,1,932,0,5
0,15,2,0,1,932,0,5
0,22,1,0,1,932,0,7
0,26,4,0,1,932,0,3
0,9,1,0,1,932,0,8
0,8,1,0,1,932,0,6
0,36,2,0,1,932,0,8
0,4,1,0,1,932,0,2
0,55,8,0,1,932,0,8
0,48,8,0,1,932,1,5
0,4,1,0,1,932,0,5
