Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
87,1,3314,2,0.310324,25,321,71,667,1,8,5,439,36,23,23,35,107,1.0,0.42276800000000003,883,54,0,977,0,0,0,0,0,2236,10,3,10,3,72,0,0,72,783,0,0,138,67,124,4,132,0,602,0,32,33,607,40,566,3,282,262,0,71,126,2,159,231,2,0,1,0,39,66,1,1,0
16,1,61,2,0.0,0,0,0,0,0,0,0,4,0,1,3,0,4,1.0,0.734694,36,3,0,36,0,0,0,0,0,46,1,0,1,0,4,0,0,4,3,0,0,1,0,1,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,1,6308,2,0.277096,26,309,79,1101,8,11,8,567,60,19,39,54,146,0.9714290000000001,0.476055,1453,68,2,1831,0,0,0,0,0,3261,40,2,40,2,92,0,1,92,1075,0,1,255,426,236,31,308,0,3004,0,167,72,1419,27,1228,18,507,514,8,100,296,6,408,573,4,0,12,0,214,61,4,1,0
382,1,750,2,0.405159,3,15,3,49,2,3,3,49,1,35,32,2,26,1.0,0.7903680000000001,558,18,0,558,1,1,1,32,1,360,19,12,5,5,24,0,2,80,76,0,5,19,12,5,5,25,0,81,0,5,1,46,8,39,1,13,34,1,0,8,0,22,6,0,0,0,0,5,3,0,1,0
29,1,198,2,0.0,0,0,0,0,3,3,3,25,3,0,0,5,18,1.0,0.508571,89,11,0,89,1,1,0,0,1,170,9,1,1,0,13,0,0,19,49,0,0,9,1,1,0,13,0,19,0,0,0,7,2,11,0,4,0,1,0,3,0,3,6,0,0,1,0,0,0,0,0,0
29,1,193,2,0.0,0,0,0,0,2,4,4,30,3,0,0,5,18,1.0,0.494118,84,11,0,84,1,1,0,0,1,165,10,1,2,0,13,0,0,19,53,0,0,10,1,2,0,13,0,19,0,0,0,7,2,12,0,6,0,1,2,2,0,3,4,0,0,1,0,0,0,0,0,0
133,1,3344,2,0.346593,33,184,35,574,3,10,10,500,12,8,31,30,102,1.0,0.49887299999999996,1222,35,0,1606,0,0,0,0,0,2717,80,13,80,13,72,1,0,72,899,1,0,139,21,125,14,101,1,157,1,4,10,374,15,602,4,242,217,1,59,109,2,245,68,0,0,7,0,27,17,0,2,0
183,1,1554,2,0.453454,16,91,16,311,10,9,8,209,8,45,87,21,80,0.941176,0.5409229999999999,715,32,2,757,0,0,9,48,0,1283,14,8,14,8,59,0,4,59,382,0,4,28,40,28,12,81,0,305,0,20,7,240,16,202,3,116,122,5,16,27,1,57,73,0,0,3,0,23,16,0,1,0
24,1,123,2,0.514563,1,4,1,18,1,3,3,9,2,5,1,3,9,1.0,0.663636,69,4,0,73,0,0,0,0,0,100,2,2,2,2,6,0,0,6,15,0,0,2,2,2,2,6,0,6,0,0,0,14,2,4,0,2,12,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0
38,1,199,2,0.0,0,0,0,0,3,3,3,27,3,6,23,5,20,1.0,0.526012,91,13,0,91,1,1,0,0,1,162,9,1,1,0,15,0,0,21,50,0,0,9,1,1,0,15,0,21,0,0,0,5,2,11,0,4,0,1,0,3,0,3,4,0,0,1,0,0,0,0,0,0
