Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
25,1,102,2,0.0,0,0,0,0,4,5,2,21,3,1,1,3,12,0.0,0.0,0,0,8,0,0,0,0,0,0,78,3,1,3,1,9,0,1,9,35,0,1,3,1,3,1,9,0,9,0,1,0,22,0,6,0,0,0,1,0,1,0,4,21,0,0,0,1,0,0,0,0,0
24,1,97,2,0.0,0,0,0,0,1,0,0,16,7,1,1,6,22,0.0,0.0,0,0,16,0,2,2,0,0,1,74,2,5,2,5,16,0,1,16,22,0,1,2,5,2,5,16,0,16,0,1,1,35,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0
20,1,30,2,0.0,0,0,0,0,0,0,0,2,1,1,1,1,3,0.0,0.0,0,0,3,0,1,1,0,0,1,11,2,0,1,0,2,0,0,6,2,0,0,2,0,1,0,2,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
28,1,112,2,0.0,0,0,0,0,3,2,1,19,3,29,22,3,13,0.0,0.0597015,0,0,10,4,0,0,2,2,0,85,8,4,8,4,10,0,1,10,24,0,1,8,4,8,4,10,0,10,0,1,0,23,2,11,0,0,0,1,0,4,0,2,21,0,0,1,4,1,2,0,0,0
23,1,98,2,0.0,0,0,0,0,1,0,0,14,3,1,1,11,25,0.0,0.0,0,0,15,0,1,1,0,0,1,76,3,10,3,10,14,0,1,14,28,0,1,3,10,3,10,14,0,14,0,1,0,33,0,11,0,0,0,0,0,0,0,0,31,0,0,0,0,2,0,11,0,0
24,1,117,2,0.0,0,0,0,0,1,1,1,14,1,7,17,2,12,0.0,0.0,0,0,11,0,0,0,0,0,0,62,1,5,1,5,10,0,3,10,23,0,3,8,7,8,7,14,5,14,5,3,0,33,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,2,0,0,0,0
20,1,54,2,0.0,0,0,0,0,1,2,2,8,0,11,5,0,4,0.0,0.0,0,0,3,0,0,0,4,6,0,35,2,0,2,0,4,0,0,4,12,0,0,2,0,2,0,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
25,1,50,2,0.0,0,0,0,0,0,0,0,1,3,1,0,2,3,0.0,0.0,0,0,2,0,1,1,0,0,1,7,6,0,0,0,1,0,0,10,1,0,0,6,1,0,0,3,0,19,0,0,2,13,0,2,0,0,0,1,0,0,0,4,12,0,0,0,0,0,0,0,0,0
26,1,80,2,0.0,0,0,0,0,3,3,3,12,5,3,6,3,10,0.0,0.0,0,0,8,0,0,0,0,0,0,55,5,1,5,1,7,0,0,7,21,0,0,5,1,5,1,7,0,7,0,0,1,18,0,5,1,0,0,1,0,3,0,0,17,0,0,2,0,0,0,0,0,0
20,1,38,2,0.0,0,0,0,0,0,0,0,4,0,5,6,0,4,0.0,0.0,0,0,5,0,0,0,2,2,0,19,1,0,1,0,4,0,0,4,4,0,0,1,0,1,0,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
30,1,109,2,0.190332,1,3,1,14,1,3,3,17,15,1,4,16,27,0.0,0.0,0,0,11,0,1,1,0,0,1,80,2,4,2,4,11,0,0,11,37,0,0,2,4,2,4,11,0,11,0,0,0,37,0,1,0,0,11,0,0,1,1,0,25,0,0,0,0,0,0,0,0,0
30,1,111,2,0.14457799999999998,1,1,1,15,1,0,0,11,8,3,4,14,25,0.0,0.0,0,0,11,0,0,0,2,2,0,66,2,1,2,1,11,0,0,11,22,0,0,4,1,4,1,14,0,14,0,0,1,64,0,1,1,0,30,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0
35,1,119,2,0.0,0,0,0,0,1,2,2,12,4,22,21,3,13,0.181818,0.23456799999999997,13,2,9,19,0,0,0,0,0,85,8,6,8,6,10,0,0,10,26,0,0,8,6,8,6,10,0,10,0,0,0,23,1,5,0,0,0,0,0,2,0,1,21,0,0,0,2,2,1,0,0,0
40,1,282,2,0.0,0,0,0,0,2,5,5,54,13,18,27,15,37,0.0,0.0,0,0,13,0,1,1,8,8,1,237,10,4,10,4,22,0,1,22,113,0,1,10,4,10,4,24,0,24,0,1,0,66,4,15,0,0,0,1,4,5,1,1,57,0,0,0,1,3,4,0,0,0
34,1,82,2,0.0,0,0,0,0,1,1,1,8,15,1,1,19,24,0.0,0.0,0,0,3,0,1,1,0,0,1,49,2,0,2,0,5,0,0,5,24,0,0,2,0,2,0,5,0,5,0,0,0,15,1,7,0,0,0,0,0,3,2,1,13,0,0,0,0,0,1,0,0,0
