Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
14,1,70,2,0.0,0,0,0,0,2,2,2,10,4,2,2,6,14,0.125,0.152174,6,1,7,9,2,2,0,0,1,47,3,2,1,0,8,0,0,34,14,0,1,3,2,1,0,9,0,35,0,1,0,25,0,2,0,0,0,1,0,1,0,1,24,0,0,0,0,0,0,0,0,0
10,1,38,2,0.0,0,0,0,0,2,2,2,7,3,2,7,5,9,0.2,0.137931,4,1,4,4,2,3,0,0,1,29,2,1,1,0,4,0,0,49,12,0,0,2,1,1,0,4,0,49,0,0,0,13,0,5,0,4,0,1,0,0,0,1,11,0,0,0,0,1,0,0,0,0
13,1,43,2,0.0,0,0,0,0,1,0,0,6,3,5,8,3,9,0.28571399999999997,0.290323,9,2,5,9,1,2,2,5,2,31,1,1,1,1,6,0,0,45,6,0,0,1,1,1,1,6,0,45,0,0,0,12,0,1,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0
12,1,42,2,0.0,0,0,0,0,2,0,0,4,4,4,6,2,6,0.333333,0.44444399999999995,12,1,2,12,2,3,2,3,1,26,1,1,0,0,4,0,1,49,3,0,1,1,1,0,0,5,0,50,0,1,0,12,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,1,0,0,1,0
7,1,296,2,0.0,0,0,0,0,2,1,1,60,2,37,191,3,42,0.897436,0.479167,138,35,4,138,0,0,2,83,0,290,0,0,0,0,39,0,0,39,69,0,0,0,0,0,0,39,0,39,0,0,0,15,0,41,0,28,0,1,0,0,0,5,9,1,0,0,0,4,0,0,0,0
6,1,16,2,0.0,0,0,0,0,0,0,0,2,0,16,7,0,2,0.333333,0.272727,3,1,2,3,0,0,1,1,0,11,1,0,1,0,2,0,0,2,1,0,0,1,0,1,0,2,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
3,1,72,2,0.146875,1,2,1,10,1,2,2,20,1,2,20,1,9,0.0,0.0,0,0,3,0,0,0,0,0,0,70,8,0,8,0,8,0,0,8,34,0,0,8,0,8,0,8,0,8,0,0,0,28,1,14,0,10,8,0,0,0,0,4,19,0,0,0,1,1,0,0,0,0
8,1,52,2,0.0,0,0,0,0,0,0,0,4,2,3,3,3,7,1.0,0.543478,25,5,0,25,1,1,0,0,1,45,5,3,4,3,4,0,0,6,6,0,0,5,3,4,3,4,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
16,1,85,2,0.0,0,0,0,0,1,2,2,15,13,19,34,15,27,0.181818,0.035714300000000004,2,2,9,2,1,4,0,0,4,70,3,3,3,3,12,0,0,12,22,0,0,3,3,3,3,12,0,12,0,0,0,25,0,6,0,4,0,0,0,0,1,2,23,1,0,0,0,0,0,0,0,0
16,1,81,2,0.0,0,0,0,0,1,2,2,11,8,2,6,8,13,0.0,0.0,0,0,5,0,0,0,0,0,0,50,2,2,2,2,5,0,0,5,21,0,0,2,2,2,2,8,0,15,0,0,0,23,3,11,0,6,0,1,0,1,0,3,22,0,0,1,0,0,0,0,3,0
9,1,33,2,0.0,0,0,0,0,3,0,0,5,4,1,1,1,6,0.0,0.0,0,0,5,0,1,2,0,0,2,25,1,1,1,1,5,0,0,5,5,0,0,1,1,1,1,5,0,5,0,0,0,15,1,0,0,0,0,1,0,0,0,0,13,1,0,0,0,0,1,0,0,0
76,1,212,2,0.0,0,0,0,0,3,3,3,21,3,82,19,5,18,1.0,0.62439,123,10,0,128,1,2,71,76,2,137,1,1,1,1,13,0,2,52,35,0,2,1,1,1,1,13,0,52,0,2,0,7,5,4,0,4,0,1,0,0,0,3,2,3,0,0,0,1,2,0,0,0
12,1,58,2,0.0,0,0,0,0,1,0,0,7,2,5,8,0,7,0.625,0.34,17,5,3,17,0,0,0,0,0,47,2,0,2,0,7,0,0,7,14,0,0,2,0,2,0,7,0,7,0,0,0,7,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0
17,1,169,2,0.0,0,0,0,0,1,1,1,26,6,32,58,7,25,0.941176,0.406452,62,16,1,63,0,0,0,0,0,150,5,0,5,0,18,0,0,18,40,0,0,5,0,5,0,19,0,19,0,0,0,12,1,4,0,4,0,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0
45,1,307,2,0.0,0,0,0,0,1,3,3,50,3,27,50,4,30,0.9523809999999999,0.396947,101,20,1,104,1,1,1,1,1,259,2,2,2,2,26,0,1,26,80,0,1,3,3,2,2,27,0,79,0,3,0,23,2,28,0,16,0,0,0,0,0,11,20,0,0,0,1,3,0,0,1,0
27,1,318,2,0.0,0,0,0,0,7,5,3,60,5,5,6,1,30,0.526316,0.184906,44,10,9,49,1,1,2,2,1,292,5,7,5,7,29,1,3,29,118,1,3,5,7,5,7,29,1,29,1,3,8,49,5,44,2,19,0,1,0,4,0,27,41,0,0,0,0,7,3,1,0,0
6,1,18,2,0.0,0,0,0,0,1,0,0,3,0,2,3,0,3,0.333333,0.28571399999999997,3,1,2,4,0,0,0,0,0,13,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,3,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,1
15,1,139,2,0.0,0,0,0,0,2,1,1,23,6,10,10,9,26,0.5,0.219048,20,4,4,23,1,1,2,6,1,125,2,1,2,1,17,0,0,17,40,0,0,2,1,2,1,17,0,17,0,0,0,22,0,9,0,3,0,1,0,4,0,1,21,0,0,0,1,0,0,0,0,0
30,1,203,2,0.0,0,0,0,0,4,5,2,30,7,13,20,13,31,0.533333,0.301205,50,8,7,50,2,2,0,0,1,174,9,7,4,0,18,3,1,43,64,4,4,9,7,4,0,18,3,43,4,4,11,28,8,20,1,11,0,1,0,0,0,13,23,0,0,0,0,4,5,0,2,0
10,1,22,2,0.0,0,0,0,0,1,0,0,2,6,0,0,6,8,0.333333,0.25,4,1,2,4,0,0,0,0,0,13,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
14,1,63,2,0.0,0,0,0,0,2,1,1,10,5,1,1,4,12,0.125,0.07692310000000001,4,1,7,4,2,3,0,0,1,50,3,1,2,0,8,0,1,60,27,0,3,3,1,2,0,8,0,60,0,3,0,21,0,17,0,1,0,1,0,0,0,1,19,0,13,0,0,1,0,0,0,0
11,1,66,2,0.0,0,0,0,0,4,0,0,6,5,0,0,8,14,0.166667,0.45614,4,1,5,26,2,3,0,0,1,56,3,1,2,0,6,0,1,58,14,0,3,3,1,2,0,6,0,58,0,3,0,13,1,9,0,0,0,1,0,0,0,1,11,0,7,0,0,1,0,0,0,1
10,1,23,2,0.0,0,0,0,0,1,0,0,2,6,2,2,6,8,0.333333,0.25,4,1,2,4,0,0,0,0,0,14,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
9,1,15,2,0.0,0,0,0,0,1,0,0,1,1,2,0,0,1,1.0,0.363636,4,1,0,4,2,3,0,0,1,7,2,1,1,0,1,1,0,53,1,1,2,2,1,1,0,1,1,53,1,2,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0
24,1,783,2,0.0,0,0,0,0,5,2,1,70,5,143,440,3,53,1.0,0.69931,507,43,0,507,0,0,0,0,0,760,0,0,0,0,50,0,0,50,87,0,0,0,0,0,0,50,0,50,0,0,0,17,0,40,0,23,0,1,0,1,0,16,12,0,0,0,0,4,0,0,0,1
33,1,94,2,0.0,0,0,0,0,1,1,1,5,2,19,32,2,6,1.0,0.814815,66,5,0,66,0,0,0,0,0,62,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,138,2,0.125668,1,2,1,10,0,0,0,4,1,2,2,2,6,1.0,0.596154,31,5,0,41,0,0,0,0,0,50,4,3,4,3,4,0,0,4,6,0,0,12,3,12,3,12,0,12,0,0,0,29,1,16,0,10,10,0,0,0,0,6,17,0,0,0,1,2,0,0,0,0
7,1,78,2,0.0,0,0,0,0,4,2,2,20,2,4,53,6,20,0.2,0.14666700000000002,10,3,12,11,1,1,0,0,1,72,2,0,2,0,14,0,0,14,27,0,0,2,0,2,0,14,0,14,0,0,0,26,0,14,1,8,0,1,0,0,0,5,25,0,0,0,0,0,0,0,0,0
17,1,124,2,0.0,0,0,0,0,2,3,3,36,2,4,33,11,28,0.07692310000000001,0.09482760000000001,11,1,12,11,1,1,0,0,1,108,1,0,1,0,17,0,0,17,65,0,0,1,0,1,0,17,0,17,0,0,0,38,1,36,1,27,0,1,0,2,0,7,37,0,0,0,0,0,0,0,0,0
5,1,143,2,0.0937951,1,1,1,10,3,0,0,24,6,1,0,20,44,0.0,0.10370399999999999,0,0,24,14,2,3,0,0,1,139,7,1,6,0,24,0,1,76,64,0,3,7,1,6,0,24,0,76,0,3,3,64,4,48,0,0,7,1,0,0,0,5,51,0,48,0,0,5,0,2,0,0
13,1,64,2,0.0,0,0,0,0,1,1,1,6,8,1,0,9,14,0.2,0.0697674,3,1,4,3,2,3,0,0,1,47,1,1,0,0,5,0,0,57,30,0,2,1,2,0,0,6,0,110,0,4,0,22,0,19,0,1,0,0,0,1,0,1,18,0,16,0,0,4,0,0,0,0
10,1,23,2,0.0,0,0,0,0,1,0,0,2,6,1,1,3,5,0.333333,0.294118,4,1,2,5,0,0,0,0,0,14,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
14,1,98,2,0.31440999999999997,1,2,2,26,2,0,0,4,7,1,0,10,14,0.2,0.08888889999999999,4,1,4,4,2,3,0,0,1,54,1,1,0,0,4,0,0,56,26,0,2,3,7,1,0,11,0,368,0,13,0,90,1,17,0,0,37,1,0,1,0,1,43,0,14,0,1,9,1,0,0,0
13,1,63,2,0.0,0,0,0,0,1,1,1,6,7,1,0,11,16,0.166667,0.07142860000000001,3,1,5,3,2,3,0,0,1,45,2,1,1,0,5,0,0,57,24,0,2,2,2,1,0,6,0,110,0,4,0,22,0,12,0,0,0,0,0,0,0,2,18,0,10,0,0,4,0,0,0,0
10,1,31,2,0.0,0,0,0,0,1,0,0,2,13,1,1,5,7,0.333333,0.208333,4,1,2,5,0,0,0,0,0,22,0,0,0,0,2,0,0,2,13,0,0,0,0,0,0,2,0,2,0,0,0,8,0,1,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0
7,1,171,2,0.0,0,0,0,0,1,1,1,30,4,1,0,12,28,0.0588235,0.11258299999999999,9,1,16,17,2,3,0,0,1,165,1,1,0,0,16,0,0,68,72,0,2,1,1,0,0,16,0,68,0,2,1,36,2,37,1,0,0,0,0,0,0,0,33,0,30,0,0,3,2,0,0,0
6,1,102,2,0.0,0,0,0,0,2,0,0,19,3,1,0,4,23,0.0,0.0,0,0,20,0,2,3,0,0,1,97,1,1,0,0,19,0,0,71,38,0,2,1,1,0,0,19,0,71,0,2,0,45,1,19,0,0,0,1,0,0,0,0,41,0,19,0,0,3,0,1,0,0
6,1,47,2,0.0,0,0,0,0,1,2,2,9,3,1,0,6,10,0.4,0.0526316,2,2,3,2,2,3,0,0,1,42,1,1,0,0,4,0,0,56,18,0,2,1,1,0,0,4,0,56,0,2,0,12,0,3,0,0,0,0,0,0,0,0,11,0,3,0,0,1,0,0,0,0
6,1,55,2,0.0,0,0,0,0,1,1,1,11,3,2,0,2,9,0.125,0.07142860000000001,3,1,7,3,2,3,0,0,1,50,1,1,0,0,7,0,0,59,15,0,2,1,1,0,0,7,0,59,0,2,4,16,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0
9,1,14,2,0.0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.5,0.4,4,1,1,4,2,3,0,0,1,6,1,1,0,0,1,0,0,53,1,0,2,1,1,0,0,1,0,53,0,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
6,1,63,2,0.0,0,0,0,0,1,1,1,13,3,1,0,3,11,0.11111099999999999,0.0612245,3,1,8,3,2,3,0,0,1,58,1,1,0,0,8,0,0,60,18,0,2,1,1,0,0,8,0,60,0,2,5,18,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0
6,1,9,2,0.0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.5,0.428571,3,1,1,3,3,4,0,0,1,4,1,1,0,0,1,0,0,56,0,0,2,1,1,0,0,1,0,56,0,2,0,4,1,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0
6,1,9,2,0.0,0,0,0,0,1,0,0,1,1,2,0,0,1,0.0,0.2,0,0,2,1,2,3,0,0,1,4,1,1,0,0,1,0,0,53,0,0,2,1,1,0,0,1,0,53,0,2,0,4,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0
7,1,10,2,0.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.5,0.428571,3,1,1,3,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
8,1,11,2,0.0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.0,0.0,0,0,2,0,2,3,0,0,1,4,1,1,0,0,1,0,0,53,0,0,2,1,1,0,0,1,0,53,0,2,0,6,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0
8,1,13,2,0.0,0,0,0,0,2,0,0,2,1,1,0,0,2,0.0,0.0,0,0,2,0,2,3,0,0,1,6,1,1,0,0,2,0,0,54,0,0,2,1,1,0,0,2,0,54,0,2,0,9,1,2,0,0,0,1,0,0,0,2,7,0,1,0,0,1,0,0,0,0
8,1,14,2,0.0,0,0,0,0,2,0,0,2,1,1,0,0,2,0.0,0.0,0,0,3,0,2,3,0,0,1,7,1,1,0,0,2,0,0,54,1,0,2,1,1,0,0,2,0,54,0,2,0,9,1,1,0,0,0,1,0,0,0,1,7,0,1,0,0,1,0,0,0,0
8,1,15,2,0.0,0,0,0,0,3,0,0,3,1,3,0,0,3,0.0,0.0,0,0,4,0,2,3,2,2,1,8,1,1,0,0,3,0,0,55,0,0,2,1,1,0,0,3,0,55,0,2,0,11,2,3,0,0,0,1,0,0,0,3,9,0,2,0,0,1,0,0,0,0
6,1,10,2,0.0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.5,0.375,3,1,1,3,3,4,0,0,1,5,1,1,0,0,1,0,0,56,0,0,2,1,1,0,0,1,0,56,0,2,0,4,1,2,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0
9,1,17,2,0.0,0,0,0,0,2,0,0,2,1,0,0,0,2,0.333333,0.363636,4,1,2,4,2,3,0,0,1,9,1,1,0,0,2,0,0,54,0,0,2,1,1,0,0,2,0,54,0,2,0,7,1,2,0,0,0,1,0,0,0,2,5,0,1,0,0,1,0,0,0,0
14,1,105,2,0.0,0,0,0,0,3,0,0,14,14,1,1,22,36,0.07142860000000001,0.0927835,4,1,13,9,2,3,0,0,1,92,2,1,1,0,14,0,1,66,56,0,3,2,1,1,0,14,0,66,0,3,0,35,0,39,0,0,0,1,0,0,1,0,31,0,39,0,0,2,0,0,0,0
14,1,190,2,0.102467,1,2,2,24,2,1,1,18,9,1,0,15,32,0.0666667,0.0900901,4,1,14,10,2,3,0,0,1,115,1,1,0,0,17,0,0,69,54,0,2,2,12,1,0,32,0,662,0,26,0,162,16,44,0,0,44,5,0,4,0,4,97,0,39,0,1,16,11,0,1,0
11,1,54,2,0.0,0,0,0,0,1,0,0,2,4,1,0,9,11,0.333333,0.166667,3,1,2,3,2,3,0,0,1,18,2,1,1,0,2,0,0,54,7,0,2,3,2,2,0,7,0,111,0,4,0,31,0,8,0,0,0,1,0,0,0,4,26,0,4,0,0,4,0,0,0,0
12,1,72,2,0.0,0,0,0,0,1,0,0,8,6,1,0,4,12,0.0,0.0,0,0,8,0,2,4,0,0,2,50,6,1,5,0,8,0,1,60,21,0,3,6,4,5,0,11,0,219,0,9,0,41,1,10,0,0,0,0,0,0,0,1,34,1,9,0,0,6,1,0,0,1
8,1,15,2,0.0,0,0,0,0,3,0,0,3,1,1,0,0,3,0.0,0.0,0,0,4,0,2,3,0,0,1,8,1,1,0,0,3,0,0,55,0,0,2,1,1,0,0,3,0,55,0,2,0,11,3,3,0,0,0,1,0,0,0,3,9,0,3,0,0,1,0,0,0,0
10,1,30,2,0.0,0,0,0,0,2,0,0,3,8,1,1,3,6,0.333333,0.21739099999999997,4,1,2,5,0,0,0,0,0,21,0,0,0,0,3,0,0,3,10,0,0,0,0,0,0,3,0,3,0,0,0,10,0,2,0,0,0,1,0,1,0,1,9,0,0,0,0,0,0,0,0,0
9,1,53,2,0.0,0,0,0,0,2,0,0,2,5,1,0,2,4,0.0,0.08333330000000001,0,0,3,1,2,3,0,0,1,15,1,1,0,0,2,0,0,54,5,0,2,7,8,1,0,8,0,85,1,5,1,34,4,5,0,0,0,2,0,0,0,3,28,0,6,0,1,4,0,0,0,0
9,1,46,2,0.0,0,0,0,0,1,0,0,2,3,1,0,2,4,0.0,0.0,0,0,2,0,2,3,0,0,1,38,3,1,2,0,2,0,1,54,26,0,3,3,1,2,0,2,0,54,0,3,0,8,0,3,0,0,0,0,0,2,0,0,7,0,1,0,0,1,0,0,0,0
15,1,109,2,0.2,1,1,1,13,2,1,1,9,6,1,0,8,16,0.0,0.0,0,0,8,2,2,3,0,0,1,75,3,1,2,0,8,0,1,60,38,0,3,5,9,2,0,17,0,384,0,13,0,98,3,13,0,1,30,1,0,2,0,5,59,0,5,0,0,8,1,1,1,0
13,1,39,2,0.0,0,0,0,0,1,0,0,1,4,2,0,5,6,0.5,0.1875,3,1,1,3,2,3,0,0,1,17,2,1,1,0,1,0,0,53,6,0,2,2,2,1,0,3,0,107,0,4,0,17,2,5,0,0,0,1,0,1,0,3,12,0,2,0,0,4,0,0,1,0
13,1,61,2,0.0,0,0,0,0,1,1,1,7,5,1,0,5,10,0.0,0.05,0,0,5,2,2,3,0,0,1,46,1,1,0,0,5,0,0,57,20,0,2,1,1,0,0,6,0,58,0,2,0,19,7,10,0,1,0,0,0,1,0,1,18,0,10,0,0,1,0,0,4,0
59,2,137,3,0.146875,1,2,1,10,1,2,2,20,1,1,1,1,9,0.5,0.144928,10,1,1,10,0,0,0,0,0,79,8,0,8,0,8,0,0,8,34,0,0,8,0,8,0,8,0,8,0,0,0,26,1,14,0,10,8,0,0,0,0,4,17,0,0,0,1,1,0,0,0,0
17,1,78,2,0.0,0,0,0,0,1,1,1,9,6,2,2,3,9,0.0,0.0,0,0,5,0,1,1,0,0,1,40,2,4,2,2,6,0,0,9,11,0,0,4,4,4,2,9,0,12,0,0,0,27,3,2,0,1,0,0,0,0,0,1,27,0,0,0,0,0,1,0,1,0
12,1,59,2,0.0,0,0,0,0,1,1,1,6,0,3,1,0,4,0.6,0.304348,14,3,2,14,0,0,0,0,0,48,4,1,4,1,4,0,0,4,16,0,0,4,1,4,1,4,0,4,0,0,0,5,0,4,0,2,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0
8,1,40,2,0.0,0,0,0,0,1,1,1,6,0,15,7,0,4,0.0,0.0,0,0,5,0,0,0,0,0,0,33,3,1,3,1,4,0,0,4,11,0,0,3,1,3,1,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
11,1,76,2,0.0,0,0,0,0,1,3,3,15,2,3,3,3,7,1.0,0.3125,20,2,0,20,0,0,2,2,0,66,0,0,0,0,4,0,0,4,27,0,0,0,0,0,0,4,0,4,0,0,0,6,0,9,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,1,10,2,0.0,0,0,0,0,1,0,0,1,2,1,0,1,2,0.0,0.0,0,0,1,0,1,1,0,0,1,6,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,1,19,2,0.0,0,0,0,0,1,1,1,3,2,1,2,1,3,0.0,0.0,0,0,2,0,1,1,0,0,1,15,1,0,1,0,2,1,0,5,4,1,0,1,0,1,0,2,1,5,1,0,0,11,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,1
5,1,15,2,0.0,0,0,0,0,2,0,0,2,1,2,0,0,2,0.0,0.0,0,0,3,0,1,1,0,0,1,11,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,1,8,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
12,1,98,2,0.0,0,0,0,0,1,1,1,17,5,3,3,8,20,0.0,0.0972222,7,0,7,7,1,1,0,0,1,87,1,1,1,1,12,0,0,19,31,0,0,1,1,1,1,12,0,19,0,0,0,23,1,5,0,4,0,0,0,0,0,1,23,0,0,0,1,0,0,0,0,0
13,1,83,2,0.0,0,0,0,0,8,0,0,8,4,14,22,5,13,1.0,0.6176470000000001,42,9,0,42,0,0,0,0,0,71,0,0,0,0,8,0,0,8,8,0,0,0,0,0,0,8,0,8,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
