Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
18,1,77,2,0.0,0,0,0,0,0,0,0,1,2,1,1,2,3,0.0,0.0,0,0,2,0,0,0,0,0,0,54,0,0,0,0,1,0,0,1,42,0,0,0,0,0,0,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
14,1,58,2,0.0,0,0,0,0,1,1,1,8,1,2,2,0,4,0.0,0.0,0,0,5,0,0,0,0,0,0,45,3,0,3,0,4,0,0,4,21,0,0,3,0,3,0,4,0,4,0,0,2,11,2,5,2,2,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,0
9,1,88,2,0.0,0,0,0,0,1,1,1,15,0,2,4,0,11,0.0,0.0,0,0,10,0,0,0,0,0,0,80,4,1,4,1,11,4,1,11,38,4,1,4,1,4,1,11,4,11,4,1,0,29,0,10,0,4,0,0,0,0,0,2,25,0,0,0,4,4,0,0,0,0
52,2,571,2,0.25798000000000004,5,12,7,102,2,2,2,55,10,7,6,23,55,0.153846,0.0558252,16,2,11,23,2,2,0,0,1,470,25,9,20,1,32,0,2,60,220,1,5,25,9,20,1,42,0,70,1,5,4,177,7,24,1,12,46,1,0,2,0,8,117,0,0,0,2,13,2,1,2,0
13,1,66,2,0.0,0,0,0,0,2,2,2,10,3,2,2,6,14,0.125,0.159091,6,1,7,9,2,2,0,0,1,45,3,2,1,0,8,0,0,32,14,0,1,3,2,1,0,9,0,33,0,1,0,25,0,2,0,0,0,1,0,1,0,1,24,0,0,0,0,0,0,0,0,0
23,1,46,2,0.0,0,0,0,0,1,2,2,4,2,4,3,3,5,0.5,0.5365850000000001,22,1,1,22,2,3,3,3,1,24,2,1,1,0,2,0,0,54,8,0,2,2,1,1,0,2,0,54,0,2,0,4,1,2,0,1,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0
10,1,32,2,0.0,0,0,0,0,2,2,2,7,3,2,7,5,9,0.2,0.153846,4,1,4,4,2,3,0,0,1,23,2,1,1,0,4,0,0,49,12,0,0,2,1,1,0,4,0,49,0,0,0,13,0,5,0,4,0,1,0,0,0,1,11,0,0,0,0,1,0,0,0,0
14,1,40,2,0.0,0,0,0,0,1,0,0,6,3,4,7,3,9,0.28571399999999997,0.322581,10,2,5,10,1,2,2,5,2,27,1,1,1,1,6,0,0,45,6,0,0,1,1,1,1,6,0,45,0,0,0,12,0,1,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0
12,1,39,2,0.0,0,0,0,0,2,0,0,4,4,4,6,2,6,0.333333,0.48148100000000005,13,1,2,13,2,3,2,3,1,23,1,1,0,0,4,0,1,49,3,0,1,1,1,0,0,5,0,50,0,1,0,11,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0
7,1,289,2,0.0,0,0,0,0,2,2,2,58,2,36,145,2,41,0.921053,0.48042700000000005,133,35,3,135,0,0,4,73,0,283,0,0,0,0,39,0,0,39,66,0,0,0,0,0,0,39,0,39,0,0,0,15,0,43,0,28,0,1,0,1,0,6,9,1,0,0,0,4,0,0,0,0
6,1,15,2,0.0,0,0,0,0,0,0,0,2,0,14,4,0,2,0.333333,0.272727,3,1,2,3,0,0,1,1,0,10,1,0,1,0,2,0,0,2,1,0,0,1,0,1,0,2,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
3,1,72,2,0.0,0,0,0,0,1,2,2,20,1,2,20,1,9,0.0,0.0,0,0,3,0,0,0,0,0,0,70,8,0,8,0,8,0,0,8,34,0,0,8,0,8,0,8,0,8,0,0,0,20,1,14,0,10,0,0,0,0,0,4,19,0,0,0,1,1,0,0,0,0
8,1,51,2,0.0,0,0,0,0,0,0,0,4,2,3,3,3,7,1.0,0.555556,25,5,0,25,1,1,0,0,1,44,5,3,4,3,4,0,0,6,6,0,0,5,3,4,3,4,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72,1,207,2,0.0,0,0,0,0,3,3,3,21,3,64,25,5,18,1.0,0.6180899999999999,118,10,0,123,1,2,56,64,2,136,1,1,1,1,13,0,2,52,35,0,2,1,1,1,1,13,0,52,0,2,0,7,5,4,0,4,0,1,0,0,0,3,2,3,0,0,0,1,2,0,0,0
12,1,57,2,0.0,0,0,0,0,1,0,0,7,2,9,10,0,7,0.625,0.346939,17,5,3,17,0,0,0,0,0,46,2,0,2,0,7,0,0,7,14,0,0,2,0,2,0,7,0,7,0,0,0,7,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0
15,1,166,2,0.0,0,0,0,0,1,1,1,26,6,31,60,7,25,0.941176,0.40127399999999996,62,16,1,63,0,0,0,0,0,149,5,0,5,0,18,0,0,18,42,0,0,5,0,5,0,19,0,19,0,0,0,12,5,7,0,0,0,0,0,0,0,0,11,0,0,0,3,1,1,0,4,0
38,1,293,2,0.0,0,0,0,0,1,3,3,47,3,21,43,4,28,0.9523809999999999,0.388889,96,20,1,98,1,1,1,1,1,253,2,2,2,2,24,0,1,24,89,0,1,3,3,2,2,25,0,77,0,3,0,21,4,28,0,13,0,0,0,0,0,11,18,0,0,0,2,3,0,0,3,0
27,1,343,2,0.0,0,0,0,0,7,5,3,66,8,15,26,2,34,0.5,0.185315,47,11,11,53,1,1,4,4,1,317,5,8,5,8,32,1,3,32,126,1,3,5,8,5,8,32,1,32,1,3,8,53,6,48,2,21,0,1,0,4,0,29,45,0,0,0,0,7,4,1,0,0
17,1,83,2,0.0,0,0,0,0,1,2,2,17,1,3,4,0,8,0.25,0.136364,8,1,3,9,1,1,2,2,1,67,1,0,1,0,8,0,0,8,34,0,0,1,0,1,0,8,0,8,0,0,0,19,3,23,0,5,0,0,0,5,0,3,19,0,0,0,1,0,0,0,3,0
14,1,70,2,0.0,0,0,0,0,1,2,2,17,5,0,0,6,12,0.5,0.107143,6,1,1,6,2,2,0,0,1,57,2,0,1,0,6,0,0,14,23,0,0,2,0,1,0,6,0,14,0,0,2,15,1,16,2,6,0,0,0,5,0,5,15,0,0,0,0,0,1,0,0,0
6,1,19,2,0.0,0,0,0,0,1,0,0,3,2,1,0,2,5,0.333333,0.214286,3,1,2,3,1,1,0,0,1,14,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
9,1,20,2,0.0,0,0,0,0,1,0,0,4,1,2,2,1,3,0.5,0.375,6,1,1,6,2,2,0,0,1,12,1,0,0,0,2,0,0,10,1,0,0,1,0,0,0,2,0,10,0,0,0,5,0,2,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
