Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
57,1,376,2,0.0,0,0,0,0,3,3,3,47,41,91,80,51,76,0.10526300000000001,0.139098,16,2,17,37,0,0,0,0,0,320,24,7,24,7,25,13,2,25,118,13,2,24,7,24,7,25,13,25,13,2,2,65,6,40,1,0,0,1,0,0,5,30,49,0,0,12,0,10,4,0,0,2
9,1,83,2,0.0,0,0,0,0,9,2,2,19,3,0,0,2,19,0.0,0.0,0,0,17,0,0,0,0,0,0,75,0,0,0,0,17,0,7,17,20,0,7,0,0,0,0,17,0,17,0,7,0,40,0,1,0,0,0,1,0,0,0,1,37,0,0,0,0,2,0,0,0,0
13,1,154,2,0.0,0,0,0,0,11,0,0,14,7,0,0,8,22,0.923077,0.65625,84,12,1,84,0,0,0,0,0,142,0,1,0,1,14,0,0,14,15,0,0,0,1,0,1,14,0,14,0,0,0,6,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
16,1,584,2,0.0,0,0,0,0,3,2,2,45,9,0,0,24,60,0.96875,0.697446,355,31,1,355,0,0,0,0,0,569,0,17,0,17,36,0,4,36,74,0,4,0,17,0,17,36,0,36,0,4,0,19,0,11,0,2,0,1,0,0,0,1,11,0,0,8,0,7,0,0,0,0
15,1,178,2,0.0,0,0,0,0,4,1,1,16,4,0,0,11,24,0.923077,0.641892,95,12,1,95,0,0,0,0,0,164,0,7,0,7,13,0,1,13,22,0,1,0,7,0,7,13,0,13,0,1,0,5,1,2,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,1,0
9,1,29,2,0.0,0,0,0,0,2,0,0,3,3,0,0,3,6,0.666667,0.526316,10,2,1,10,0,0,0,0,0,21,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,3,0,3,0,0,0,4,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
10,1,53,2,0.489583,4,21,4,22,1,1,1,7,1,1,0,0,2,0.5,0.216216,8,1,1,8,0,0,0,0,0,44,5,0,5,0,2,5,0,2,12,5,0,5,0,5,0,2,5,2,5,0,0,21,0,5,0,0,12,0,0,0,0,0,5,0,0,5,0,4,0,0,0,0
8,1,22,2,0.0,0,0,0,0,1,0,0,3,3,1,1,5,8,0.0,0.0,0,0,2,0,1,1,0,0,1,15,5,0,0,0,3,0,0,8,3,0,0,5,0,0,0,3,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
9,1,51,2,0.0,0,0,0,0,2,1,1,9,2,8,7,5,12,0.0,0.0,0,0,5,0,0,0,2,2,0,43,5,0,5,0,7,0,0,7,12,0,0,5,0,5,0,7,0,7,0,0,0,18,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
7,1,29,2,0.0,0,0,0,0,0,2,2,5,4,3,5,2,3,0.0,0.0,0,0,2,0,0,0,0,0,0,23,2,1,2,1,1,0,0,1,8,0,0,2,1,2,1,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,2,0
10,1,34,2,0.0,0,0,0,0,1,1,1,5,4,4,4,7,11,0.0,0.0,0,0,3,0,1,1,0,0,1,25,6,0,1,0,4,0,1,9,6,0,1,6,0,1,0,4,0,9,0,1,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1
19,1,66,2,0.287425,1,3,1,10,2,2,2,9,5,1,0,8,10,0.0,0.0,0,0,3,0,0,0,0,0,0,48,0,0,0,0,2,0,0,2,19,0,0,0,0,0,0,2,0,2,0,0,0,19,0,5,0,0,11,1,0,0,0,5,7,0,0,0,0,0,0,0,0,1
8,1,29,2,0.0,0,0,0,0,3,0,0,5,4,1,0,5,9,0.0,0.05,0,0,1,1,1,1,0,0,1,22,2,0,0,0,4,0,0,6,5,0,0,2,0,0,0,4,0,6,0,0,0,12,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
8,1,29,2,0.0,0,0,0,0,3,0,0,5,4,1,0,5,9,0.0,0.05,0,0,1,1,1,1,0,0,1,22,2,0,0,0,4,0,0,6,5,0,0,2,0,0,0,4,0,6,0,0,0,12,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
16,1,113,2,0.22813699999999998,1,8,2,22,1,3,3,22,6,1,0,17,20,0.0,0.0,0,0,2,0,0,0,0,0,0,98,0,0,0,0,3,0,0,3,48,0,0,0,0,0,0,3,0,3,0,0,3,22,0,3,0,0,12,0,1,0,0,6,9,0,0,0,0,0,0,0,0,0
16,1,36,2,0.0,0,0,0,0,2,1,1,4,3,1,0,4,6,0.0,0.0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,8,0,4,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0
