Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
39,1,420,2,0.0,0,0,0,0,3,14,7,118,17,2,2,45,51,0.0,0.157303,0,0,7,56,0,0,0,0,0,382,0,1,0,1,6,0,0,6,191,0,0,0,1,0,1,6,0,6,0,0,0,32,0,89,3,60,0,1,10,2,3,16,13,0,0,8,0,5,0,0,0,3
29,1,211,2,0.34326599999999996,2,11,5,71,1,4,4,20,2,4,6,0,6,0.571429,0.034682099999999993,5,4,3,6,0,0,0,0,0,183,2,1,2,1,6,0,0,6,86,0,0,2,1,2,1,6,0,6,0,0,11,44,14,39,0,0,26,0,3,0,0,31,15,0,0,7,0,0,0,5,8,1
31,1,104,2,0.133178,1,1,1,12,1,5,5,21,6,1,1,9,11,0.0,0.0649351,0,0,3,5,0,0,0,0,0,74,0,0,0,0,2,0,0,2,41,0,0,0,0,0,0,2,0,2,0,0,0,19,0,11,1,0,9,0,3,0,0,8,7,0,0,2,0,0,0,0,0,0
33,1,279,2,0.307571,3,34,7,40,1,4,4,51,5,3,3,4,8,0.2,0.232975,3,1,4,65,0,0,0,0,0,247,2,0,2,0,4,0,0,4,148,0,0,2,0,2,0,4,0,4,0,0,1,24,9,52,0,7,12,0,3,1,0,19,7,0,0,17,0,2,5,6,1,0
35,1,521,2,0.402424,13,237,35,167,17,5,4,170,6,25,45,16,40,0.04,0.0509091,5,1,24,30,0,0,0,0,0,283,1,7,1,7,24,1,0,24,139,1,0,1,7,1,7,25,1,25,1,0,2,127,4,137,0,80,50,1,8,2,1,51,52,0,0,4,0,15,1,3,0,0
62,1,418,2,0.0907975,1,2,2,20,5,3,3,38,49,29,0,29,42,0.07692310000000001,0.219048,21,1,12,69,0,0,0,0,0,357,15,4,15,4,13,7,0,13,172,7,0,15,4,15,4,13,7,13,7,0,14,45,10,62,3,13,9,1,0,3,2,49,25,0,0,6,1,8,1,0,3,1
31,1,352,2,0.0,0,0,0,0,1,2,1,87,1,42,55,0,41,0.0,0.0,0,0,42,0,0,0,0,0,0,319,4,2,4,2,41,1,1,41,140,1,1,7,2,7,2,41,4,41,4,1,1,93,0,104,0,4,0,0,0,0,0,94,85,0,0,4,1,8,0,0,0,0
28,1,112,2,0.0,0,0,0,0,2,2,2,16,1,58,104,2,11,0.2,0.05333330000000001,3,2,8,4,0,0,0,0,0,85,7,3,7,3,9,1,0,9,26,1,0,7,3,7,3,9,1,9,1,0,2,25,3,22,1,3,0,1,0,3,0,15,19,0,0,2,0,5,0,0,2,0
24,1,617,3,0.173299,10,25,25,119,1,2,2,15,1,49,2,0,9,0.0,0.018903599999999996,0,0,3,10,0,0,0,0,0,594,213,0,213,0,9,211,0,9,446,211,0,213,0,213,0,9,211,9,211,0,0,61,4,278,0,1,20,0,0,2,0,217,21,0,0,55,1,20,2,0,0,0
27,1,90,2,0.534884,1,4,2,38,2,1,1,5,1,10,5,0,3,0.0,0.24074099999999998,1,0,4,13,0,0,0,0,0,64,12,0,12,0,3,9,0,3,13,9,0,12,0,12,0,3,9,3,9,0,0,31,5,6,0,0,19,1,0,2,0,0,5,0,0,1,3,6,0,0,5,0
