Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
33,1,183,2,0.0,0,0,0,0,2,1,1,16,0,65,111,0,13,1.0,0.5158729999999999,65,14,0,65,0,0,5,8,0,151,7,5,7,5,13,0,6,13,23,0,6,7,5,7,5,13,0,13,0,6,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
30,1,55,2,0.0,0,0,0,0,0,0,0,2,0,1,1,0,2,1.0,0.56,14,3,0,14,0,0,0,0,0,26,2,1,2,1,2,0,0,2,3,0,0,2,1,2,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,76,2,0.0,0,0,0,0,1,0,0,5,0,6,7,0,5,0.5,0.333333,12,3,3,12,0,0,0,0,0,43,2,1,2,1,5,0,0,5,7,0,0,2,1,2,1,5,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0
28,1,522,2,0.07278839999999999,1,8,2,21,1,3,3,98,0,23,119,0,22,0.956522,0.30888899999999997,127,22,1,139,0,0,0,0,0,495,4,2,4,2,22,0,1,22,190,0,1,4,2,4,2,22,0,22,0,1,0,25,6,2,0,0,14,0,0,0,0,2,9,0,0,0,0,2,1,4,0,0
34,1,75,2,0.0,0,0,0,0,1,0,0,5,0,2,3,0,5,0.5,0.405405,15,3,3,15,0,0,0,0,0,42,2,1,2,1,5,0,0,5,5,0,0,2,1,2,1,5,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
29,1,60,2,0.0,0,0,0,0,1,2,2,4,2,3,1,2,3,0.5,0.117647,4,1,1,4,1,1,0,0,1,32,1,0,1,0,1,0,0,1,21,0,0,1,0,1,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
32,1,164,2,0.912127,6,37,9,116,1,3,2,18,2,1,1,2,3,0.5,0.0859375,4,1,1,11,1,1,0,0,1,133,0,0,0,0,1,0,0,1,103,0,0,0,0,0,0,1,0,1,0,0,0,23,0,0,0,0,13,0,1,0,0,0,5,0,0,0,0,4,0,0,0,0
33,1,84,2,0.23577199999999998,2,4,2,13,1,3,3,8,2,2,1,2,3,1.0,0.14,5,2,0,7,1,1,0,0,1,52,0,0,0,0,1,0,0,1,38,0,0,0,0,0,0,1,0,1,0,0,0,15,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
53,1,465,2,0.0,0,0,0,0,1,4,4,77,1,1,0,1,14,0.333333,0.174927,23,3,6,60,0,0,0,0,0,413,8,4,8,4,13,2,0,13,195,2,0,8,4,8,4,13,2,13,2,0,2,40,5,65,1,10,0,0,5,3,0,51,25,0,0,5,0,10,0,0,0,0
32,1,52,2,0.0,0,0,0,0,0,0,0,2,0,1,0,0,2,1.0,0.761905,16,3,0,16,0,0,1,1,0,21,1,0,1,0,2,0,0,2,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
