Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
38,1,121,2,0.0,0,0,0,0,1,2,2,8,5,0,0,8,14,0.0,0.0,0,0,3,0,0,0,0,0,0,60,1,1,1,1,6,0,0,6,15,0,0,3,1,3,1,9,0,9,0,0,0,24,0,5,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0
29,1,87,2,0.0,0,0,0,0,1,2,2,10,1,1,1,0,5,0.0,0.0,0,0,4,0,1,1,0,0,1,59,4,1,2,0,5,0,0,10,18,0,1,4,1,2,0,5,0,10,0,1,0,13,2,1,0,0,0,0,0,0,0,1,13,0,0,0,0,0,2,0,0,0
34,1,119,2,0.0,0,0,0,0,1,2,2,5,6,0,0,6,8,0.0,0.0,0,0,3,0,1,1,0,0,1,39,1,0,1,0,2,0,0,2,14,0,0,4,1,4,1,5,0,5,0,0,0,16,1,1,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0
51,1,182,2,0.132678,1,4,1,16,4,2,2,22,9,40,35,11,21,0.125,0.0413223,5,1,7,5,0,0,23,27,0,128,3,1,3,1,10,0,2,10,43,0,2,6,1,6,1,10,3,11,3,2,0,36,2,8,0,0,9,1,0,0,0,7,23,1,0,0,1,2,0,0,2,0
35,1,271,2,0.0,0,0,0,0,1,2,2,39,7,37,114,10,31,0.23809499999999997,0.139535,30,5,16,30,0,0,0,0,0,237,6,6,6,6,21,1,1,21,83,1,1,6,6,6,6,21,1,21,1,1,1,43,4,9,0,0,0,0,0,6,0,3,35,0,0,0,1,8,2,0,2,0
56,1,278,2,0.0,0,0,0,0,1,2,2,12,19,1,0,14,20,0.8,0.196721,19,4,1,24,0,0,0,0,0,129,2,0,2,0,6,1,0,6,45,1,0,7,0,6,0,14,3,19,3,0,0,49,4,13,0,0,0,0,0,2,1,8,44,0,3,0,0,4,0,1,2,0
54,1,190,2,0.14315799999999998,1,2,2,24,1,1,1,6,20,0,0,37,43,0.0,0.14843800000000001,0,0,7,19,0,0,0,0,0,137,2,0,2,0,6,1,0,6,51,1,0,2,0,2,0,6,1,6,1,0,0,32,8,1,0,0,14,0,0,0,3,0,11,0,4,0,0,4,0,2,1,0
51,1,325,2,0.368996,4,5,5,89,3,1,1,9,20,0,0,31,39,0.0,0.268293,0,0,8,66,1,1,0,0,1,275,3,1,3,1,8,1,0,8,98,1,0,3,1,3,1,8,1,8,1,0,0,48,15,30,0,0,26,1,0,3,4,5,13,0,20,2,0,4,0,8,4,0
79,1,665,2,0.0,0,0,0,0,3,2,2,27,35,0,0,72,89,0.0625,0.25155900000000003,2,1,15,128,0,0,0,0,0,557,2,0,2,0,17,0,1,17,242,0,1,3,0,3,0,18,0,18,0,1,4,52,19,75,0,0,0,1,0,1,8,31,39,0,46,2,0,4,0,14,0,0
35,1,102,2,0.0,0,0,0,0,1,1,1,7,8,0,0,13,19,0.0,0.12069,0,0,7,7,0,0,0,0,0,68,2,0,2,0,6,0,1,6,20,0,1,2,0,2,0,6,0,6,0,1,0,15,2,10,0,0,0,0,0,0,0,8,15,0,3,0,0,0,0,1,0,0
40,1,62,2,0.0,0,0,0,0,1,1,1,1,11,0,0,13,14,0.5,0.25,5,1,1,7,0,0,0,0,0,23,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0
52,1,291,2,0.028720599999999995,1,1,1,10,3,3,3,27,13,2,1,18,33,0.0,0.0,0,0,11,0,0,0,0,0,0,193,6,0,6,0,15,0,1,15,79,0,1,14,0,9,0,20,0,24,4,1,0,71,6,43,0,2,7,1,0,4,1,34,55,0,6,0,0,7,0,3,0,0
60,1,838,2,0.341021,11,38,25,224,2,4,3,79,21,0,0,34,56,0.0,0.027941200000000003,0,0,18,19,1,1,0,0,1,770,3,0,3,0,22,1,2,22,470,1,2,9,0,9,0,22,7,23,7,2,0,124,7,91,0,0,62,1,2,0,2,5,47,0,85,1,0,10,0,4,1,0
50,1,136,2,0.0,0,0,0,0,2,1,1,8,13,1,3,14,20,0.0,0.053571400000000005,0,0,3,3,0,0,0,0,0,63,0,0,0,0,6,0,0,6,28,0,0,1,0,1,0,9,0,9,0,0,0,27,2,10,0,4,0,2,0,0,1,5,24,0,0,0,1,0,0,0,2,0
