Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
33,1,1039,2,0.11428599999999998,4,17,7,80,7,3,3,190,11,14,203,47,162,0.00917431,0.01854,8,1,108,16,3,3,2,12,1,1007,7,21,7,11,115,0,9,155,415,0,19,7,21,7,11,115,0,155,0,19,3,296,0,32,1,0,44,1,1,5,2,16,231,0,0,4,0,17,3,6,0,2
22,1,162,2,0.0,0,0,0,0,1,1,1,31,5,2,4,2,22,0.0625,0.138211,17,1,15,17,1,1,2,2,1,141,2,0,2,0,20,0,0,21,38,0,0,2,0,2,0,20,0,21,0,0,0,35,0,7,0,0,0,0,0,0,0,7,35,0,0,0,0,0,0,0,0,0
23,1,63,2,0.0,0,0,0,0,7,0,0,8,3,3,3,3,11,0.125,0.108108,4,1,7,4,4,4,3,3,1,41,7,21,0,0,8,0,0,156,8,0,19,7,21,0,0,8,0,156,0,19,0,26,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,6,0,0,0,0
26,1,243,2,0.0,0,0,0,0,7,3,3,45,3,3,27,2,23,0.0526316,0.0215054,4,1,18,4,3,3,2,2,1,218,2,0,2,0,21,0,0,21,96,0,0,2,0,2,0,21,0,21,0,0,0,48,0,11,3,0,0,1,0,0,0,4,45,0,0,2,0,2,0,2,0,1
20,1,112,2,0.886179,4,22,4,74,1,3,3,24,2,2,2,2,8,0.0,0.0,0,0,6,0,1,1,2,8,1,93,2,0,2,0,6,0,0,6,41,0,0,2,0,2,0,6,0,6,0,0,0,48,0,4,0,0,33,0,0,0,0,2,15,0,0,2,0,0,0,0,0,1
24,1,120,2,0.865079,4,22,4,74,1,3,3,25,3,4,9,3,10,0.166667,0.0344828,3,1,5,3,4,4,4,7,1,97,9,21,2,0,7,0,0,157,42,0,19,9,21,2,0,7,0,157,0,19,0,56,0,4,0,0,33,0,0,0,0,2,17,0,0,2,0,6,0,0,0,1
33,1,417,2,0.129555,1,8,2,30,13,3,3,77,4,15,46,16,38,1.0,0.178886,61,16,0,61,0,0,0,0,0,385,1,0,1,0,22,0,0,22,191,0,0,1,0,1,0,22,0,22,0,0,1,41,0,17,0,0,14,1,1,2,0,15,24,0,0,1,0,1,0,0,0,0
40,1,253,2,0.0657194,1,2,1,11,3,2,2,42,1,3,4,11,37,0.153846,0.16751300000000002,33,4,22,33,0,0,0,0,0,214,4,0,4,0,26,0,0,26,67,0,0,4,0,4,0,26,0,26,0,0,1,61,0,7,0,0,8,1,0,0,0,6,49,0,0,0,0,3,1,1,0,0
36,1,146,2,0.0,0,0,0,0,2,1,1,22,1,5,5,7,24,0.22222199999999998,0.209524,22,4,14,22,0,0,0,0,0,111,3,0,3,0,17,0,0,17,30,0,0,3,0,3,0,17,0,17,0,0,1,33,0,1,0,0,0,1,0,0,0,0,31,0,0,1,0,1,1,0,0,0
22,1,81,2,0.0,0,0,0,0,1,1,1,13,5,31,48,9,18,0.1,0.0740741,4,1,9,4,2,2,5,11,1,60,1,0,1,0,9,0,0,9,17,0,0,1,0,1,0,9,0,9,0,0,1,21,0,1,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,0,1
