Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
50,1,514,2,0.0,0,0,0,0,2,3,3,39,6,48,96,5,21,1.0,0.39514299999999997,168,14,0,179,1,1,3,3,1,465,5,6,5,6,16,0,6,16,75,0,6,5,6,5,6,16,0,16,0,6,7,3,1,3,0,0,0,1,0,1,0,2,0,0,0,0,0,2,8,0,0,0
113,1,229,2,0.530303,2,7,2,25,1,1,1,10,8,25,33,13,18,1.0,0.793651,147,6,0,150,2,2,0,0,1,117,5,6,0,0,5,0,0,21,21,0,6,5,6,0,0,5,0,21,0,6,2,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
122,1,308,2,0.45593900000000004,2,10,3,40,1,1,1,16,9,3,4,20,27,1.0,0.741313,186,8,0,192,2,2,0,0,1,187,5,6,0,0,7,0,0,23,40,0,6,5,6,0,0,7,0,23,0,6,3,19,2,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
163,1,370,2,0.0,0,0,0,0,1,2,2,16,10,24,27,15,22,1.0,0.7258060000000001,178,8,0,183,2,2,0,0,1,147,6,7,1,1,7,0,2,23,36,0,8,10,7,4,1,11,0,41,0,8,3,13,2,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,2,0,2,0
47,1,177,2,0.493827,3,7,5,53,5,2,2,14,11,2,0,19,29,0.1,0.0803571,7,1,9,9,0,0,2,2,0,131,1,0,1,0,10,0,0,10,52,0,0,1,0,1,0,10,0,10,0,0,0,51,3,10,1,0,24,1,0,0,3,5,23,0,5,0,0,0,0,0,2,0
54,1,226,2,0.107607,1,1,1,11,4,3,3,16,15,2,0,26,34,0.125,0.11363599999999999,7,1,7,15,0,0,2,2,0,151,2,0,2,0,8,0,0,8,46,0,0,5,0,4,0,11,0,25,0,0,0,38,7,14,0,0,7,1,0,2,2,5,28,0,4,0,0,0,2,1,5,0
36,1,121,2,0.0,0,0,0,0,5,0,0,5,4,0,0,2,7,0.166667,0.225806,7,1,5,8,0,0,0,0,0,33,0,0,0,0,5,0,0,5,5,0,0,3,0,3,0,13,0,13,0,0,0,39,0,5,0,0,0,1,0,0,0,0,38,0,5,0,0,0,0,0,0,0
43,1,264,2,0.0,0,0,0,0,23,1,1,25,7,0,0,20,43,0.041666699999999994,0.046391800000000004,7,1,23,9,0,0,0,0,0,222,0,0,0,0,23,0,0,23,109,0,0,0,0,0,0,23,0,23,0,0,0,52,0,41,0,0,0,1,0,0,0,0,49,0,41,0,0,2,0,0,0,0
30,1,37,2,0.0,0,0,0,0,1,0,0,1,3,0,0,1,2,1.0,0.5,7,1,0,7,1,1,0,0,1,8,1,0,0,0,1,0,0,10,1,0,0,1,0,0,0,1,0,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
30,1,37,2,0.0,0,0,0,0,1,0,0,1,3,0,0,1,2,1.0,0.5,7,1,0,7,1,1,0,0,1,8,2,0,0,0,1,0,0,8,1,0,0,2,0,0,0,1,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
30,1,37,2,0.0,0,0,0,0,1,0,0,1,3,0,0,1,2,1.0,0.5,7,1,0,7,1,1,0,0,1,8,1,0,0,0,1,0,0,10,1,0,0,1,0,0,0,1,0,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
30,1,37,2,0.0,0,0,0,0,1,0,0,1,3,0,0,1,2,1.0,0.5,7,1,0,7,1,1,0,0,1,8,2,0,0,0,1,0,0,8,1,0,0,2,0,0,0,1,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
35,1,688,2,0.0,0,0,0,0,4,3,2,132,4,11,33,40,133,0.0107527,0.0229682,13,1,92,13,1,1,8,11,1,654,4,20,4,10,93,0,8,124,235,0,18,4,20,4,10,93,0,124,0,18,0,203,0,12,0,0,0,1,1,4,1,6,187,0,0,2,0,13,0,0,0,0
28,1,66,2,0.0,0,0,0,0,0,1,1,6,2,2,3,2,7,0.25,0.414634,17,1,3,17,1,1,2,2,1,39,1,6,1,3,5,0,0,8,7,0,0,1,6,1,3,5,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
31,1,145,2,0.47445299999999996,3,4,3,32,3,1,1,18,5,2,4,6,21,0.2,0.18348599999999998,20,3,12,20,3,3,0,0,1,115,5,20,0,4,15,0,4,130,32,0,18,5,20,0,4,15,0,130,0,18,0,58,0,0,0,0,22,1,0,0,0,0,29,0,0,0,0,6,0,0,0,0
38,1,369,2,0.151877,2,9,3,38,1,4,4,64,6,2,4,11,44,0.0606061,0.047138,14,2,31,14,2,2,0,0,1,332,7,20,3,10,33,0,10,126,133,0,18,7,20,3,10,33,0,126,0,18,1,104,3,14,0,0,21,0,2,4,0,11,67,0,0,2,0,14,1,0,0,0
43,1,249,2,0.0,0,0,0,0,3,2,2,39,1,4,4,11,37,0.153846,0.186529,36,4,22,36,0,0,0,0,0,207,4,0,4,0,26,0,0,26,64,0,0,4,0,4,0,26,0,26,0,0,1,53,0,6,0,0,0,1,0,0,0,5,49,0,0,0,0,3,1,1,0,0
42,1,152,2,0.0,0,0,0,0,2,1,1,22,1,5,5,7,24,0.22222199999999998,0.252252,28,4,14,28,0,0,0,0,0,111,3,0,3,0,17,0,0,17,30,0,0,3,0,3,0,17,0,17,0,0,1,31,0,1,0,0,0,1,0,0,0,0,29,0,0,1,0,1,1,0,0,0
93,1,1152,2,0.10204099999999999,2,18,4,58,10,5,5,184,12,79,146,31,90,0.980392,0.344149,345,50,1,350,0,0,0,0,0,1060,4,0,4,0,59,3,0,59,393,3,0,4,0,4,0,59,3,59,3,0,12,82,4,41,0,0,26,1,5,3,2,41,37,0,0,1,0,11,11,1,0,0
42,1,707,2,0.44964399999999993,7,50,19,232,5,3,3,112,5,1,2,41,81,0.054054099999999994,0.0723906,18,2,35,43,2,2,0,0,1,666,8,20,4,10,40,0,11,133,358,0,19,8,20,4,10,40,0,133,0,19,0,197,0,39,0,0,103,1,0,4,2,34,77,0,0,1,0,14,0,0,0,0
37,1,204,2,0.425781,2,10,3,47,1,3,1,30,4,1,1,8,19,0.5,0.2,33,5,5,33,2,2,0,0,1,168,10,8,9,5,11,0,0,16,73,0,0,10,8,9,5,11,0,16,0,0,3,44,0,13,0,0,25,0,0,0,0,11,17,0,0,0,2,2,3,0,0,0
38,1,218,2,0.0,0,0,0,0,1,1,1,35,4,2,3,35,69,0.0294118,0.07006369999999999,11,1,33,11,2,3,0,0,2,181,5,20,1,10,34,0,10,127,38,0,18,5,20,1,10,34,0,127,0,18,1,86,0,4,0,0,0,0,0,4,0,0,71,1,0,0,0,14,1,0,0,0
38,1,327,2,0.0,0,0,0,0,3,2,2,55,8,3,9,47,93,0.0212766,0.043650800000000003,11,1,46,11,2,2,1,1,1,290,7,20,3,10,46,0,10,139,85,0,18,7,20,3,10,46,0,139,0,18,3,111,0,8,0,0,0,1,0,6,1,2,95,0,0,1,0,14,2,0,0,0
34,1,231,2,0.057613199999999996,1,3,1,10,4,3,3,37,5,2,6,8,30,0.136364,0.155556,28,3,19,28,2,2,2,2,1,198,5,20,1,6,22,0,6,127,63,0,18,5,20,1,6,22,0,127,0,18,1,60,3,10,0,0,8,1,0,4,0,6,41,0,0,1,0,10,1,0,0,0
31,1,94,2,0.260274,1,4,1,11,0,3,1,11,4,8,11,6,13,0.375,0.296875,19,3,5,19,2,2,0,0,1,64,3,8,2,5,7,0,0,12,19,0,0,3,8,2,5,7,0,12,0,0,1,22,0,2,0,0,11,0,0,0,0,2,11,0,0,0,0,0,1,0,0,0
31,1,145,2,0.47445299999999996,3,4,3,32,3,1,1,18,5,2,4,6,21,0.2,0.18348599999999998,20,3,12,20,3,3,0,0,1,115,5,20,0,4,15,0,4,130,32,0,18,5,20,0,4,15,0,130,0,18,0,58,0,0,0,0,22,1,0,0,0,0,29,0,0,0,0,6,0,0,0,0
38,1,232,2,0.0,0,0,0,0,5,1,1,38,4,2,2,23,59,0.027777800000000002,0.0650888,11,1,35,11,2,3,0,0,2,195,5,20,1,10,36,0,10,127,45,0,18,5,20,1,10,36,0,127,0,18,1,91,0,4,0,0,0,1,0,4,0,0,75,1,0,0,0,14,1,0,0,0
39,1,270,2,0.0,0,0,0,0,1,1,1,44,5,4,4,33,68,0.0294118,0.0582524,12,1,33,12,2,3,0,0,2,232,7,20,3,10,35,0,10,128,75,0,18,7,20,3,10,35,0,128,0,18,0,88,0,5,0,0,0,0,0,4,0,1,73,1,0,0,0,14,0,0,0,0
39,1,261,2,0.0,0,0,0,0,1,1,1,41,5,4,4,34,69,0.0294118,0.0606061,12,1,33,12,2,3,0,0,2,223,6,20,2,10,35,0,10,128,70,0,18,6,20,2,10,35,0,128,0,18,0,88,0,5,0,0,0,0,0,4,0,1,73,1,0,0,0,14,0,0,0,0
41,1,1638,2,0.272251,12,62,26,396,1,2,2,219,3,10,0,94,190,0.0212766,0.0236899,11,2,92,33,0,0,10,12,0,1598,5,18,5,18,96,0,3,96,1145,0,3,5,18,5,18,96,0,96,0,3,2,361,9,365,0,0,148,0,1,0,5,1,193,0,369,0,0,14,2,0,4,0
35,1,343,2,0.209416,3,5,5,54,2,1,1,11,3,2,2,25,34,0.166667,0.139785,9,1,5,39,1,1,2,2,1,309,8,18,3,0,9,0,0,103,163,0,3,8,18,3,0,9,0,103,0,3,1,43,12,55,0,0,17,1,0,3,1,3,19,0,61,0,0,5,1,0,0,0
26,1,30,2,0.0,0,0,0,0,0,0,0,1,2,0,0,1,2,0.5,0.583333,7,1,1,7,2,2,0,0,1,5,8,18,0,0,1,0,0,104,1,0,3,8,18,0,0,1,0,104,0,3,0,8,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0
