Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
13,1,55,2,0.0,0,0,0,0,1,4,3,6,1,0,0,0,1,0.5,0.0952381,4,1,1,4,1,1,0,0,1,43,2,0,2,0,1,0,0,1,15,0,0,2,0,2,0,1,0,1,0,0,0,5,0,7,0,5,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0
12,1,23,2,0.0,0,0,0,0,1,0,0,2,1,0,0,0,2,0.333333,0.28571399999999997,4,1,2,4,1,1,0,0,1,12,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
42,1,102,2,0.22754499999999997,2,10,2,13,1,3,3,12,2,0,0,4,6,1.0,0.262295,16,2,0,16,0,0,0,0,0,61,0,0,0,0,2,0,0,2,25,0,0,0,0,0,0,2,0,2,0,0,1,13,0,2,0,2,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
9,1,24,2,0.0,0,0,0,0,1,0,0,1,1,1,1,0,1,0.5,0.235294,4,1,1,4,0,0,0,0,0,16,2,0,2,0,1,1,0,1,1,1,0,2,0,2,0,1,1,1,1,0,0,9,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0
27,1,122,2,0.0,0,0,0,0,5,0,0,17,3,1,0,2,19,0.055555600000000004,0.05,4,1,17,4,1,1,0,0,1,96,3,5,2,5,17,1,5,17,21,2,5,3,5,2,5,17,1,17,2,5,0,43,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,5,0,0,0,0
34,1,201,2,0.12903199999999998,1,2,2,25,10,0,0,10,5,0,0,15,25,0.0909091,0.0347826,4,1,10,4,0,0,0,0,0,168,0,0,0,0,10,0,0,10,88,0,0,0,0,0,0,10,0,10,0,0,0,37,0,1,0,0,13,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0
18,1,44,2,0.0,0,0,0,0,0,1,1,4,0,11,7,0,2,0.0,0.0,0,0,3,0,0,0,0,0,0,27,2,2,2,2,2,2,0,2,12,2,0,2,2,2,2,2,2,2,2,0,0,11,0,3,0,2,0,0,0,0,0,1,7,0,0,0,0,4,0,0,0,0
55,1,477,2,0.0,0,0,0,0,4,4,4,73,25,119,211,34,68,0.0909091,0.108824,20,3,30,37,1,1,0,0,1,423,21,17,19,15,34,2,4,43,175,2,4,21,17,19,15,34,2,43,2,4,4,87,1,54,2,42,0,1,4,0,3,10,65,0,0,2,2,14,1,0,0,0
18,1,37,2,0.0,0,0,0,0,2,1,1,4,1,1,2,2,5,0.333333,0.166667,3,1,2,3,0,0,0,0,0,20,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,3,0,3,0,0,1,8,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
28,1,92,2,0.0,0,0,0,0,2,1,1,15,8,11,8,2,10,0.11111099999999999,0.053571400000000005,3,1,8,3,0,0,0,0,0,65,7,3,7,3,8,7,0,8,22,7,0,7,3,7,3,8,7,8,7,0,0,23,0,11,0,8,0,1,0,0,0,3,17,0,0,0,0,5,0,0,0,0
