Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
42,1,102,2,0.173653,1,4,1,10,1,3,3,12,2,0,0,4,6,1.0,0.262295,16,2,0,16,0,0,0,0,0,61,0,0,0,0,2,0,0,2,25,0,0,0,0,0,0,2,0,2,0,0,1,13,0,2,0,2,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
18,1,44,2,0.0,0,0,0,0,0,1,1,4,0,10,6,0,2,0.0,0.0,0,0,3,0,0,0,0,0,0,27,2,2,2,2,2,2,0,2,12,2,0,2,2,2,2,2,2,2,2,0,0,11,0,3,0,2,0,0,0,0,0,1,7,0,0,0,0,4,0,0,0,0
52,1,450,2,0.0,0,0,0,0,4,4,4,71,22,105,185,26,58,0.0322581,0.06853580000000001,7,1,30,22,1,1,0,0,1,399,21,16,20,16,32,3,2,36,174,3,2,21,16,20,16,32,3,36,3,2,3,86,2,57,2,49,0,1,5,0,2,3,65,0,0,5,1,13,1,0,1,0
18,1,37,2,0.0,0,0,0,0,2,1,1,4,1,1,1,2,5,0.333333,0.166667,3,1,2,3,0,0,0,0,0,20,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,3,0,3,0,0,1,8,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
28,1,92,2,0.0,0,0,0,0,2,1,1,15,8,11,7,2,10,0.11111099999999999,0.053571400000000005,3,1,8,3,0,0,0,0,0,65,7,3,7,3,8,7,0,8,22,7,0,7,3,7,3,8,7,8,7,0,0,23,0,11,0,8,0,1,0,0,0,3,17,0,0,0,0,5,0,0,0,0
42,1,300,2,0.0,0,0,0,0,2,5,5,25,19,7,11,30,40,0.454545,0.208333,32,5,6,40,1,1,0,0,1,234,5,3,4,3,10,0,0,14,90,0,0,5,4,4,4,12,0,16,0,0,1,34,2,21,1,12,0,1,5,0,3,5,25,0,0,2,2,0,1,0,1,0
73,1,662,2,0.0,0,0,0,0,2,6,6,128,44,34,46,71,112,0.0294118,0.0907127,12,1,33,42,0,0,0,0,0,580,17,16,17,16,41,0,1,41,247,0,1,17,17,17,17,42,0,42,0,1,11,115,10,154,5,78,0,1,10,0,6,84,88,0,0,0,0,10,5,1,0,0
18,1,34,2,0.0,0,0,0,0,1,0,0,3,1,19,34,3,6,0.0,0.0,0,0,4,0,0,0,0,0,0,17,1,0,1,0,3,0,0,3,5,0,0,1,0,1,0,3,0,3,0,0,0,9,2,5,0,0,0,0,0,0,0,4,9,0,0,1,0,0,0,0,2,0
20,1,41,2,0.0,0,0,0,0,2,1,1,5,3,1,2,4,7,0.333333,0.15,3,1,2,3,0,0,0,0,0,22,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,3,0,3,0,0,1,8,0,2,1,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
41,1,141,2,0.0,0,0,0,0,1,5,5,23,15,0,0,16,20,0.25,0.11828,6,1,3,11,0,0,0,0,0,101,7,0,7,0,4,3,0,4,49,3,0,7,0,7,0,4,3,4,3,0,4,20,2,23,1,6,0,0,3,0,1,16,11,0,0,0,0,5,2,0,0,0
94,1,2015,2,0.06110549999999999,4,16,8,126,4,6,6,326,80,3,6,182,299,0.125,0.0265716,19,13,91,41,2,4,1,1,3,1909,21,10,8,6,117,0,1,141,907,0,2,21,10,8,6,120,0,144,0,2,20,328,43,143,8,111,53,1,12,0,6,45,238,1,0,1,0,17,16,23,0,0
6,1,45,2,0.0,0,0,0,0,10,0,0,13,3,1,1,1,12,0.0,0.0,0,0,12,0,1,1,0,0,1,40,1,0,1,0,11,0,0,11,3,0,0,1,0,1,0,11,0,11,0,0,2,26,0,10,0,0,0,1,0,1,0,11,25,0,0,0,0,0,0,0,0,0
20,1,61,2,0.0,0,0,0,0,5,1,1,10,1,1,6,2,9,0.0,0.0,0,0,3,0,1,1,1,2,1,42,13,4,0,0,7,0,0,24,13,0,1,13,4,0,0,7,0,24,0,1,0,18,1,8,1,4,0,1,0,0,0,4,17,0,0,0,0,0,0,0,0,0
24,1,139,2,0.0,0,0,0,0,1,2,2,32,3,6,13,10,20,0.2,0.1,3,1,4,10,1,1,6,6,1,116,5,0,5,0,10,0,0,10,56,0,0,5,0,5,0,10,0,10,0,0,0,23,0,30,0,20,0,0,0,10,0,0,23,0,0,0,0,0,0,0,0,0
