Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
27,1,138,2,0.0,0,0,0,0,3,1,1,16,0,10,11,0,9,1.0,0.330189,35,7,0,35,0,0,0,0,0,112,2,0,2,0,9,0,0,9,25,0,0,2,0,2,0,9,0,9,0,0,0,7,3,3,0,0,0,1,0,0,0,4,6,0,0,0,0,0,0,2,0,0
27,1,66,2,0.0,0,0,0,0,3,0,0,4,0,11,16,0,4,1.0,0.55,22,4,0,22,0,0,0,0,0,40,0,0,0,0,4,0,0,4,8,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
36,1,163,2,0.0,0,0,0,0,1,3,3,18,0,3,7,0,7,1.0,0.368,39,7,0,46,0,0,0,0,0,128,8,0,8,0,7,0,0,7,39,0,0,8,0,8,0,7,0,7,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
28,1,45,2,0.0,0,0,0,0,2,0,0,2,2,0,0,3,5,0.333333,0.25,5,1,2,5,1,1,0,0,1,18,3,2,0,0,2,0,0,18,4,0,2,3,2,0,0,2,0,18,0,2,0,6,0,2,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0
25,1,56,2,0.0,0,0,0,0,6,0,0,6,2,0,0,4,10,0.14285699999999998,0.16129000000000002,5,1,6,5,1,1,0,0,1,32,3,2,0,0,6,0,0,22,6,0,2,3,2,0,0,6,0,22,0,2,0,16,0,2,0,0,0,1,0,0,0,0,15,0,2,0,0,0,0,0,0,0
39,1,166,2,0.0,0,0,0,0,8,2,2,22,4,73,176,6,22,0.428571,0.336283,36,3,4,38,0,0,63,73,0,128,3,2,3,2,16,0,2,16,31,0,2,3,2,3,2,16,0,16,0,2,0,22,0,6,0,0,0,1,0,0,0,6,19,2,0,0,0,0,0,0,0,0
29,1,65,2,0.0,0,0,0,0,2,0,0,2,2,0,0,5,7,0.333333,0.172414,5,1,2,5,1,1,0,0,1,27,3,2,0,0,2,0,0,18,14,0,2,5,2,2,0,4,0,20,0,2,0,18,2,10,0,0,0,1,0,0,0,0,17,0,10,0,0,0,0,0,2,0
63,1,280,2,0.0,0,0,0,0,1,3,3,34,17,5,6,16,26,0.14285699999999998,0.0706522,7,1,6,13,0,0,0,0,0,214,12,1,12,1,10,0,0,10,89,0,0,12,1,12,1,11,0,11,0,0,0,32,1,16,0,0,0,0,1,0,1,12,28,0,0,2,0,2,1,0,0,1
29,1,74,2,0.0,0,0,0,0,1,0,0,8,1,4,3,0,7,0.333333,0.190476,8,2,4,8,0,0,0,0,0,46,4,3,4,3,7,0,0,7,10,0,0,4,3,4,3,7,0,7,0,0,0,15,1,1,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0
84,1,358,2,0.23964499999999997,5,13,5,67,1,3,3,37,16,1,1,19,34,0.4,0.0905172,17,2,3,21,0,0,0,0,0,271,6,1,6,1,15,0,0,15,138,0,0,6,1,6,1,16,0,16,0,0,0,84,1,4,0,0,46,0,0,1,1,2,36,0,0,1,0,1,0,0,1,1
101,1,378,2,0.23187,5,13,5,67,1,3,3,35,15,1,1,19,33,0.5,0.171875,35,3,3,44,0,0,0,0,0,274,7,0,7,0,14,0,0,14,136,0,0,7,0,7,0,15,0,15,0,0,0,81,1,3,0,0,46,0,0,0,2,2,32,0,0,1,0,1,0,0,1,2
