Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
8,1,29,2,0.0,0,0,0,0,0,0,0,4,4,7,9,4,8,0.0,0.0,0,0,5,0,1,1,0,0,1,22,0,11,0,4,4,0,0,14,4,0,0,0,11,0,4,4,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
25,1,183,2,0.10271300000000001,1,2,1,10,5,2,2,26,3,0,0,0,19,0.13333299999999998,0.09917360000000001,12,2,13,12,0,0,0,0,0,150,4,14,4,14,19,2,0,19,55,2,0,6,14,6,14,20,2,20,2,0,0,56,18,2,0,0,7,1,0,0,0,2,42,0,0,1,0,6,0,1,0,0
15,1,105,2,0.197674,1,2,1,15,3,1,1,14,1,1,0,0,8,0.0,0.0,0,0,7,0,0,0,0,0,0,85,3,4,3,4,8,0,0,8,35,0,0,4,4,4,4,9,0,9,0,0,0,36,12,2,0,0,11,1,0,0,0,2,24,0,0,1,0,0,0,0,0,0
23,1,272,2,0.296825,2,9,2,50,6,2,2,21,3,0,0,0,11,0.25,0.281609,42,2,6,53,0,0,0,0,0,220,7,5,7,5,11,1,0,11,69,1,0,9,5,9,5,14,1,14,1,0,0,54,31,9,0,0,24,1,0,0,0,7,23,0,0,4,1,6,0,0,0,0
12,1,187,2,0.462871,2,9,2,50,5,2,2,20,0,1,0,0,9,0.666667,0.268908,28,2,1,36,0,0,1,1,0,146,2,1,2,1,9,0,0,9,49,0,0,4,1,4,1,12,0,12,0,0,0,51,18,4,0,0,24,1,0,0,0,6,26,0,0,2,0,0,0,0,0,0
17,1,75,2,0.0,0,0,0,0,2,1,1,16,9,2,4,7,17,0.0909091,0.0425532,1,1,10,2,0,0,1,1,0,59,0,7,0,7,10,0,0,10,25,0,0,0,7,0,7,10,0,10,0,0,0,25,1,10,0,8,0,1,0,0,0,2,23,0,0,0,1,1,0,0,0,0
21,1,135,2,0.0,0,0,0,0,4,1,1,8,0,0,0,0,4,0.333333,0.132075,4,1,2,8,0,0,0,0,0,70,0,0,0,0,4,0,0,4,42,0,0,4,0,4,0,9,0,9,0,0,1,34,26,6,0,3,0,1,0,0,0,1,33,0,0,1,1,0,1,0,2,0
19,1,236,2,0.0,0,0,0,0,3,3,3,20,0,0,0,0,3,0.5,0.038961,3,1,1,4,0,0,0,0,0,86,6,0,6,0,3,0,0,3,69,0,0,16,11,16,9,26,0,32,0,1,0,89,37,18,0,7,0,1,0,4,0,5,85,0,0,2,0,3,0,0,0,0
59,1,701,2,0.0650591,2,8,3,31,2,3,3,67,43,8,16,40,68,0.391304,0.17234000000000002,55,9,14,83,1,1,0,0,1,560,44,21,44,21,28,16,0,28,192,16,0,44,21,44,21,36,16,36,16,0,8,126,2,14,0,6,18,3,0,0,3,17,87,0,0,1,0,15,0,0,0,3
10,1,39,2,0.0,0,0,0,0,0,0,0,3,0,157,4,0,3,1.0,0.612903,19,4,0,19,0,0,2,4,0,30,1,0,1,0,3,0,0,3,3,0,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
