Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,LDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,DLOC,PDA,PUA,TCLOC,DIT,NOA,NOC,NOD,NOP,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLS,NM,NOS,NPA,NS,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNM,TNPA,TNS,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Inheritance Metric Rules,JUnit Rules,Naming Rules,Optimization Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Number of bugs
15,1,119,2,0.0,0,0,0,0,1,1,1,19,3,44,49,1,16,0.0625,0.0229885,1,1,15,2,0,0,0,0,0,105,1,14,1,14,15,1,0,15,46,1,0,1,14,1,14,15,1,15,1,0,0,39,1,8,1,6,0,0,0,0,0,1,33,0,0,1,0,6,0,0,0,0
15,1,79,2,0.0,0,0,0,0,3,1,1,7,2,0,0,2,5,0.333333,0.10638299999999999,4,1,2,5,0,0,0,0,0,58,0,0,0,0,3,0,0,3,39,0,0,0,0,0,0,4,0,4,0,0,0,15,3,10,0,2,0,1,0,0,0,1,14,0,0,0,0,0,0,0,2,0
21,1,105,2,0.0,0,0,0,0,1,6,6,8,6,0,0,14,15,0.5,0.04,3,1,1,3,0,0,0,0,0,85,0,0,0,0,1,0,0,1,65,0,0,0,0,0,0,1,0,1,0,0,0,11,4,13,0,6,0,0,4,0,1,1,5,0,0,0,0,1,0,2,0,0
14,1,37,2,0.0,0,0,0,0,1,0,0,1,2,0,0,2,3,0.5,0.294118,3,1,1,5,0,0,0,0,0,24,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
11,1,39,2,0.0,0,0,0,0,1,0,0,3,2,10,11,1,4,0.75,0.5625,18,3,1,18,1,1,0,0,1,29,2,1,1,1,3,0,0,8,4,0,0,2,1,1,1,3,0,8,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
9,1,39,2,0.0,0,0,0,0,0,0,0,3,1,3,5,2,5,1.0,0.625,20,4,0,20,1,1,0,0,1,31,2,0,1,0,3,0,0,8,3,0,0,2,0,1,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,40,2,0.0,0,0,0,0,0,0,0,3,1,1,1,2,5,1.0,0.625,20,4,0,20,1,1,0,0,1,31,2,0,1,0,3,0,0,8,3,0,0,2,0,1,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,58,2,0.0,0,0,0,0,2,0,0,5,1,14,20,1,6,0.833333,0.590909,26,5,1,26,0,0,3,3,0,46,1,0,1,0,5,0,0,5,5,0,0,1,0,1,0,5,0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,1,63,2,0.0,0,0,0,0,3,0,0,3,4,10,10,3,6,1.0,0.729167,35,4,0,35,0,0,0,0,0,47,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,72,2,0.0,0,0,0,0,1,0,0,5,1,32,12,1,6,1.0,0.741379,43,5,0,43,0,0,1,1,0,48,2,3,2,3,5,1,0,5,4,1,0,2,3,2,3,5,1,5,1,0,0,6,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,4,0,0,0,0
13,1,75,2,0.32948,1,7,1,12,1,2,2,16,0,21,37,0,5,0.5,0.290323,18,3,3,18,0,0,0,0,0,63,2,2,2,2,5,0,0,5,28,0,0,2,2,2,2,5,0,5,0,0,0,18,0,15,0,14,11,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
10,1,42,2,0.0,0,0,0,0,0,0,0,3,2,6,7,2,5,1.0,0.625,20,4,0,20,2,3,0,0,2,33,3,0,1,0,3,0,0,9,3,0,0,3,0,1,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,1,43,2,0.0,0,0,0,0,0,0,0,3,1,14,35,2,5,1.0,0.636364,21,4,0,21,1,1,1,1,1,33,2,0,1,0,3,0,0,6,3,0,0,2,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,46,2,0.0,0,0,0,0,0,0,0,3,0,87,4,0,3,1.0,0.647059,22,4,0,22,0,0,2,4,0,36,1,0,1,0,3,0,0,3,3,0,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,43,2,0.0,0,0,0,0,0,0,0,3,2,1,2,2,5,1.0,0.636364,21,4,0,21,2,3,0,0,2,33,3,0,1,0,3,0,0,9,3,0,0,3,0,1,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1,46,2,0.0,0,0,0,0,0,0,0,3,1,12,27,2,5,1.0,0.666667,24,4,0,24,1,1,1,1,1,33,2,0,1,0,3,0,0,6,3,0,0,2,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,27,2,0.0,0,0,0,0,1,2,1,6,0,1,4,0,3,0.0,0.0,0,0,4,0,0,0,0,0,0,23,2,0,2,0,3,2,0,3,9,2,0,2,0,2,0,3,2,3,2,0,0,13,0,4,0,3,0,0,0,0,0,1,9,0,0,0,0,4,0,0,0,0
21,1,460,2,0.039916,1,1,1,10,2,3,3,59,16,8,0,31,63,0.030302999999999997,0.100529,24,1,32,38,0,0,8,8,0,440,7,3,7,3,32,3,1,32,248,3,1,7,3,7,3,32,3,32,3,1,0,82,21,54,0,6,8,1,0,2,1,5,63,0,47,0,0,9,0,4,8,0
11,1,61,2,0.0,0,0,0,0,1,1,1,9,6,1,8,3,9,0.0,0.0,0,0,7,0,0,0,0,0,0,51,0,0,0,0,6,0,0,6,27,0,0,0,0,0,0,6,0,6,0,0,0,15,2,3,0,2,0,0,0,0,0,1,15,0,0,0,0,0,2,0,0,0
20,1,230,2,0.0882695,1,1,1,10,2,2,2,35,10,1,0,24,45,0.0,0.00558659,0,0,22,1,0,0,1,1,0,211,6,0,6,0,21,0,1,21,119,0,1,6,0,6,0,21,0,21,0,1,0,55,10,26,0,6,8,1,0,0,0,7,43,0,18,0,0,3,0,2,0,0
17,1,78,2,0.0,0,0,0,0,4,2,2,15,6,2,16,8,17,0.0,0.0,0,0,10,0,0,0,0,0,0,62,3,4,3,4,9,2,0,9,33,2,0,3,4,3,4,9,2,9,2,0,0,26,0,6,0,1,0,1,0,0,0,2,21,0,0,3,0,4,0,0,0,0
15,1,278,2,0.0,0,0,0,0,1,2,2,29,11,6,0,11,30,0.0,0.153488,0,0,17,33,0,0,6,6,0,264,16,0,16,0,19,8,1,19,105,8,1,16,0,16,0,19,8,19,8,1,0,46,10,17,0,2,0,0,0,0,1,5,37,0,19,1,0,8,0,0,0,0
26,1,361,2,0.0,0,0,0,0,2,6,6,52,8,6,0,15,27,0.07692310000000001,0.090535,20,1,12,22,0,0,6,6,0,336,8,0,8,0,12,3,1,12,168,3,1,8,0,8,0,12,3,12,3,1,0,37,0,25,0,8,0,1,6,3,0,2,25,0,11,0,0,5,0,0,0,0
19,1,280,2,0.0,0,0,0,0,1,3,3,13,9,7,7,17,22,0.333333,0.216216,21,2,4,37,1,1,7,7,1,139,11,0,8,0,5,0,1,22,60,3,2,26,0,23,0,14,0,33,3,2,0,43,9,7,0,4,0,0,0,0,0,2,37,0,1,1,0,6,4,0,4,0
26,1,343,2,0.160673,1,6,2,32,2,2,2,24,12,7,5,19,29,0.0,0.0252101,0,0,7,6,1,1,4,4,1,152,10,1,7,1,10,0,0,27,83,3,1,15,1,12,1,23,0,46,3,1,0,97,8,36,0,12,27,3,0,3,2,8,61,0,3,3,2,4,0,1,5,0
24,1,729,2,0.0986948,1,4,2,20,3,3,2,58,19,7,7,100,115,0.25,0.029752099999999997,6,4,12,18,1,1,7,7,1,706,4,0,1,0,15,0,0,32,540,3,1,4,0,1,0,15,0,32,3,1,16,62,24,260,16,8,9,1,0,1,10,4,31,0,185,0,0,11,0,11,0,0
11,1,123,2,0.0,0,0,0,0,2,1,1,24,10,6,22,23,40,0.0,0.0,0,0,18,0,0,0,3,21,0,113,3,0,3,0,17,3,1,17,38,3,1,3,0,3,0,17,3,17,3,1,0,43,1,9,0,6,0,1,0,0,0,4,37,0,0,0,0,5,0,0,0,0
15,1,43,2,0.0,0,0,0,0,3,0,0,4,7,0,0,6,10,0.2,0.12,3,1,4,3,1,1,0,0,1,29,1,0,1,0,4,1,0,20,6,1,0,1,0,1,0,4,1,20,1,0,0,16,0,4,0,0,0,1,0,0,0,3,11,0,1,0,0,4,0,0,0,0
14,1,41,2,0.0,0,0,0,0,4,0,0,4,6,0,0,4,8,0.2,0.208333,3,1,4,5,1,1,0,0,1,28,0,0,0,0,4,0,0,20,4,0,0,0,0,0,0,4,0,20,0,0,0,8,0,3,0,0,0,1,0,0,0,1,7,0,1,0,0,0,0,0,0,0
21,1,129,2,0.0,0,0,0,0,1,3,3,16,3,0,0,3,14,0.25,0.184783,17,3,9,17,0,0,0,0,0,109,1,0,1,0,11,0,0,11,43,0,0,1,0,1,0,11,0,11,0,0,0,21,21,6,0,2,0,0,0,0,0,1,21,0,8,0,1,0,2,0,10,0
