"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L112","R.java","library/test-gen/com/nostra13/universalimageloader/R.java","L111","1","0","19","1","932","1","0","0"
"L924","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L923","10","0","98","1","932","13","1","1"
"L925","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L923","6","0","54","1","932","13","2","1"
"L926","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L923","5","0","221","2","932","18","1","1"
"L927","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L923","23","0","192","3","932","36","4","2"
"L928","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L923","40","0","284","2","932","26","1","1"
"L929","ImageLoaderEngine.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java","L923","9","0","112","1","932","13","2","1"
"L930","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L923","1","0","26","1","932","8","0","1"
"L931","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L923","64","0","337","1","932","40","7","2"
"L932","ProcessAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java","L923","2","0","27","1","932","9","2","0"
"L3741","ImageSizeUtils.java","library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java","L3740","37","0","100","2","932","5","0","1"
"L3742","IoUtils.java","library/src/com/nostra13/universalimageloader/utils/IoUtils.java","L3740","4","0","26","1","932","6","0","0"
"L3743","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L3740","5","0","48","1","932","6","0","0"
"L3744","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L3740","15","0","66","2","932","12","3","2"
"L121","BaseDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java","L120","5","0","36","2","932","9","0","0"
"L122","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L120","1","0","7","1","932","6","0","0"
"L123","LimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java","L120","12","0","104","2","932","13","2","0"
"L456","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L455","2","0","35","1","932","7","2","0"
"L457","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L455","7","0","61","1","932","8","1","0"
"L458","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L455","1","0","9","1","932","5","0","0"
"L935","DiscCacheUtil.java","library/src/com/nostra13/universalimageloader/core/assist/DiscCacheUtil.java","L934","2","0","15","1","932","5","0","0"
"L936","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L934","1","0","22","1","932","7","0","0"
"L937","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L934","4","0","26","1","932","3","0","0"
"L938","ImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingListener.java","L934","1","0","9","1","932","8","0","0"
"L939","ImageScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java","L934","1","0","8","1","932","6","0","0"
"L940","ImageSize.java","library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java","L934","2","0","36","1","932","8","0","0"
"L941","LoadedFrom.java","library/src/com/nostra13/universalimageloader/core/assist/LoadedFrom.java","L934","1","0","4","1","932","2","0","0"
"L942","MemoryCacheUtil.java","library/src/com/nostra13/universalimageloader/core/assist/MemoryCacheUtil.java","L934","8","0","55","1","932","8","0","0"
"L943","PauseOnScrollListener.java","library/src/com/nostra13/universalimageloader/core/assist/PauseOnScrollListener.java","L934","8","0","48","1","932","5","1","0"
"L944","QueueProcessingType.java","library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java","L934","1","0","4","1","932","5","0","0"
"L945","SimpleImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/SimpleImageLoadingListener.java","L934","1","0","17","1","932","6","0","0"
"L946","ViewScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java","L934","9","0","22","1","932","6","0","0"
"L1987","BaseImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/BaseImageDecoder.java","L1986","25","0","158","1","932","4","0","2"
"L1988","ImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/ImageDecoder.java","L1986","1","0","6","1","932","3","0","0"
