"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L112","R.java","library/test-gen/com/nostra13/universalimageloader/R.java","L111","1","0","19","1","932","1","0","0"
"L926","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L925","9","0","95","1","932","19","2","0"
"L927","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L925","6","0","53","1","932","18","3","0"
"L928","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L925","13","0","285","3","932","30","2","0"
"L929","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L925","25","0","251","3","932","52","6","0"
"L930","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L925","42","0","309","2","932","30","2","0"
"L931","ImageLoaderEngine.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java","L925","9","0","120","1","932","19","3","0"
"L932","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L925","1","0","29","1","932","15","1","0"
"L933","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L925","70","0","399","2","932","62","9","0"
"L934","ProcessAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java","L925","3","0","34","1","932","12","2","0"
"L4183","ImageSizeUtils.java","library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java","L4182","22","0","96","2","932","9","1","1"
"L4184","IoUtils.java","library/src/com/nostra13/universalimageloader/utils/IoUtils.java","L4182","8","0","48","1","932","14","0","0"
"L4185","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L4182","5","0","48","1","932","6","0","0"
"L4186","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L4182","16","0","72","2","932","16","5","0"
"L121","BaseDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java","L120","5","0","36","2","932","12","0","0"
"L122","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L120","1","0","7","1","932","9","0","0"
"L123","LimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java","L120","12","0","104","2","932","16","2","0"
"L456","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L455","2","0","35","1","932","7","2","0"
"L457","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L455","7","0","61","1","932","8","1","0"
"L458","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L455","1","0","9","1","932","5","0","0"
"L937","ContentLengthInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/ContentLengthInputStream.java","L936","1","0","49","1","932","3","0","0"
"L938","DiscCacheUtil.java","library/src/com/nostra13/universalimageloader/core/assist/DiscCacheUtil.java","L936","2","0","15","1","932","9","0","0"
"L939","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L936","1","0","22","1","932","7","0","0"
"L940","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L936","4","0","26","1","932","3","0","0"
"L941","ImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingListener.java","L936","1","0","9","1","932","8","0","0"
"L942","ImageLoadingProgressListener.java","library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingProgressListener.java","L936","1","0","5","1","932","3","0","0"
"L943","ImageScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java","L936","1","0","8","1","932","6","0","0"
"L944","ImageSize.java","library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java","L936","2","0","36","1","932","8","0","0"
"L945","LoadedFrom.java","library/src/com/nostra13/universalimageloader/core/assist/LoadedFrom.java","L936","1","0","4","1","932","2","0","0"
"L946","MemoryCacheUtil.java","library/src/com/nostra13/universalimageloader/core/assist/MemoryCacheUtil.java","L936","8","0","55","1","932","8","0","0"
"L947","PauseOnScrollListener.java","library/src/com/nostra13/universalimageloader/core/assist/PauseOnScrollListener.java","L936","8","0","48","1","932","5","1","0"
"L948","QueueProcessingType.java","library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java","L936","1","0","4","1","932","5","0","0"
"L949","SimpleImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/SimpleImageLoadingListener.java","L936","1","0","17","1","932","6","0","0"
"L950","SyncImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/SyncImageLoadingListener.java","L936","1","0","13","1","932","2","0","0"
"L951","ViewScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java","L936","9","0","22","1","932","8","0","0"
"L2060","BaseImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/BaseImageDecoder.java","L2059","28","0","176","1","932","17","3","0"
"L2061","ImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/ImageDecoder.java","L2059","1","0","6","1","932","3","0","0"
"L2062","ImageDecodingInfo.java","library/src/com/nostra13/universalimageloader/core/decode/ImageDecodingInfo.java","L2059","3","0","85","1","932","4","0","0"
"L2492","BitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java","L2491","1","0","7","1","932","12","1","0"
"L2493","FadeInBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/FadeInBitmapDisplayer.java","L2491","8","0","41","2","932","14","1","0"
"L2494","RoundedBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java","L2491","2","0","60","1","932","16","5","0"
"L2495","RoundedVignetteBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/RoundedVignetteBitmapDisplayer.java","L2491","2","0","34","1","932","3","0","0"
"L2496","SimpleBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/SimpleBitmapDisplayer.java","L2491","1","0","10","1","932","10","1","0"
"L2968","BaseImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java","L2967","10","0","97","1","932","19","2","0"
"L2969","HttpClientImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java","L2967","1","0","24","1","932","6","1","0"
"L2970","ImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java","L2967","5","0","39","2","932","18","2","0"
"L2971","NetworkDeniedImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/NetworkDeniedImageDownloader.java","L2967","3","0","19","1","932","6","1","0"
"L2972","SlowNetworkImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/SlowNetworkImageDownloader.java","L2967","3","0","21","1","932","4","1","0"
"L3222","ImageAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ImageAware.java","L3221","1","0","15","1","932","6","1","0"
"L3223","ImageNonViewAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ImageNonViewAware.java","L3221","2","0","52","1","932","4","1","0"
"L3224","ImageViewAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ImageViewAware.java","L3221","22","0","104","2","932","11","1","0"
"L4162","BitmapProcessor.java","library/src/com/nostra13/universalimageloader/core/process/BitmapProcessor.java","L4161","1","0","6","1","932","7","0","0"
"L195","FileCountLimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/FileCountLimitedDiscCache.java","L194","1","0","17","1","932","6","0","0"
"L196","LimitedAgeDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/LimitedAgeDiscCache.java","L194","5","0","46","2","932","11","2","0"
"L197","TotalSizeLimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/TotalSizeLimitedDiscCache.java","L194","2","0","23","1","932","6","0","0"
"L198","UnlimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/UnlimitedDiscCache.java","L194","1","0","17","1","932","11","0","0"
