"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L112","R.java","library/test-gen/com/nostra13/universalimageloader/R.java","L111","1","0","19","1","932","1","0","0"
"L1586","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L1585","9","0","105","1","932","28","3","0"
"L1587","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L1585","3","0","50","1","932","27","3","0"
"L1588","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L1585","10","0","278","3","932","35","2","0"
"L1589","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L1585","25","0","280","3","932","63","6","0"
"L1590","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L1585","44","0","344","2","932","39","2","0"
"L1591","ImageLoaderEngine.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java","L1585","10","0","124","1","932","29","3","0"
"L1592","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L1585","1","0","28","1","932","17","1","0"
"L1593","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L1585","67","0","369","4","932","79","10","1"
"L1594","ProcessAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java","L1585","1","0","30","1","932","20","2","0"
"L4764","DiskCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/DiskCacheUtils.java","L4763","5","0","15","1","932","1","0","0"
"L4765","ImageSizeUtils.java","library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java","L4763","25","0","107","2","932","11","2","0"
"L4766","IoUtils.java","library/src/com/nostra13/universalimageloader/utils/IoUtils.java","L4763","11","0","63","1","932","21","0","0"
"L4767","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L4763","6","0","59","1","932","7","0","0"
"L4768","MemoryCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/MemoryCacheUtils.java","L4763","8","0","56","1","932","3","0","0"
"L4769","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L4763","17","0","77","2","932","17","6","0"
"L121","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L120","1","0","16","1","932","14","0","0"
"L122","DiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/DiskCache.java","L120","1","0","3","1","932","1","0","0"
"L1170","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L1169","3","0","37","1","932","9","2","0"
"L1171","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L1169","7","0","62","1","932","10","1","0"
"L1172","MemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCache.java","L1169","1","0","4","1","932","1","0","0"
"L1173","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L1169","1","0","10","1","932","7","0","0"
"L1597","ContentLengthInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/ContentLengthInputStream.java","L1596","1","0","47","1","932","5","0","0"
"L1598","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L1596","1","0","22","1","932","8","0","0"
"L1599","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L1596","4","0","26","1","932","3","0","0"
