@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L42462","2","0","180","0","1","1","2597","false"
"L140","5","0","107","0","1","1","2597","false"
"L8189","1","0","126","0","1","1","2597","false"
"L8190","1","0","115","0","1","1","2597","false"
"L8191","9","0","567","0","1","1","2597","false"
"L19266","5","0","79","0","1","1","2597","false"
"L20705","1","0","26","0","1","1","2597","false"
"L20707","1","0","22","0","1","1","2597","false"
"L128","1","0","6","0","1","1","2597","false"
"L129","1","0","21","0","1","1","2597","false"
"L130","1","0","13","0","1","1","2597","false"
"L131","2","0","60","0","1","1","2597","false"
"L132","1","0","10","0","1","1","2597","false"
"L133","2","0","51","0","1","1","2597","false"
"L134","1","0","14","0","1","1","2597","false"
"L135","2","0","74","0","1","1","2597","false"
"L136","1","0","11","0","1","1","2597","false"
"L137","2","0","44","0","1","1","2597","false"
"L595","1","0","19","0","1","1","2597","false"
"L596","27","0","131","0","1","1","2597","false"
"L597","1","0","47","0","1","1","2597","false"
"L598","36","0","339","0","1","1","2597","false"
"L599","1","0","10","0","1","1","2597","false"
"L600","4","0","64","0","1","1","2597","false"
"L601","4","0","61","0","1","1","2597","false"
"L602","1","0","65","0","1","1","2597","false"
"L603","1","0","13","0","1","1","2597","false"
"L604","1","0","65","0","1","1","2597","false"
"L605","1","0","67","0","1","1","2597","false"
"L606","1","0","14","0","1","1","2597","false"
"L607","18","0","106","0","1","1","2597","false"
"L608","1","0","71","0","1","1","2597","false"
"L609","33","0","357","0","1","1","2597","false"
"L610","1","0","26","0","1","1","2597","false"
"L611","1","0","13","0","1","1","2597","false"
"L612","1","0","42","0","1","1","2597","false"
"L613","1","0","14","0","1","1","2597","false"
"L614","18","0","107","0","1","1","2597","false"
"L615","32","0","254","0","1","1","2597","false"
"L616","1","0","65","0","1","1","2597","false"
"L2032","1","0","25","0","1","1","2597","false"
"L2033","2","0","82","0","1","1","2597","false"
"L2945","1","0","11","0","1","1","2597","false"
"L2946","10","0","59","0","1","1","2597","false"
"L3704","1","0","18","0","1","1","2597","false"
"L3705","8","0","105","0","1","1","2597","false"
"L3706","1","0","9","0","1","1","2597","false"
"L3707","5","0","54","0","1","1","2597","false"
"L3925","1","0","60","0","1","2","2597","false"
"L3926","1","0","9","0","1","1","2597","false"
"L3927","1","0","56","0","1","1","2597","false"
"L3928","1","0","285","0","1","2","2597","false"
