"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L118","CustomerCareMessages.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/CustomerCareMessages.java","L117","1","0","44","0","1","1","2597","0"
"L119","CustomerCareModule.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/CustomerCareModule.java","L117","1","0","59","0","1","1","2597","0"
"L120","MerchandisingMessages.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/MerchandisingMessages.java","L117","1","0","46","0","1","1","2597","0"
"L121","MerchandisingModule.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/MerchandisingModule.java","L117","1","0","72","0","1","1","2597","0"
"L122","PromotionMessages.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/PromotionMessages.java","L117","1","0","57","0","1","1","2597","0"
"L223","CeilingEntities.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/datasource/CeilingEntities.java","L222","1","0","22","0","1","1","2597","0"
"L224","EntityImplementations.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/datasource/EntityImplementations.java","L222","1","0","23","0","1","1","2597","0"
"L1459","CategorySelectionChangedEvent.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEvent.java","L1458","1","0","27","0","1","1","2597","0"
"L1460","CategorySelectionChangedEventHandler.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEventHandler.java","L1458","1","0","5","0","1","1","2597","0"
"L1461","ProductSelectionChangedEvent.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEvent.java","L1458","1","0","27","0","1","1","2597","0"
