@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","1","0","44","0","1","1","2597","false"
"L119","1","0","59","0","1","1","2597","false"
"L120","1","0","46","0","1","1","2597","false"
"L121","1","0","72","0","1","1","2597","false"
"L122","1","0","57","0","1","1","2597","false"
"L223","1","0","22","0","1","1","2597","false"
"L224","1","0","23","0","1","1","2597","false"
"L1459","1","0","27","0","1","1","2597","false"
"L1460","1","0","5","0","1","1","2597","false"
"L1461","1","0","27","0","1","1","2597","false"
"L1462","1","0","5","0","1","1","2597","false"
"L1027","3","0","31","0","1","1","2597","false"
"L1028","3","0","35","0","1","1","2597","false"
"L1070","3","0","55","0","1","1","2597","false"
"L1071","3","0","35","0","1","1","2597","false"
"L1072","3","0","32","0","1","1","2597","false"
"L1073","3","0","45","0","1","1","2597","false"
"L1074","3","0","41","0","1","1","2597","false"
"L1075","3","0","37","0","1","1","2597","false"
"L1076","3","0","45","0","1","1","2597","false"
"L1077","3","0","45","0","1","1","2597","false"
"L1078","3","0","55","0","1","1","2597","false"
"L1079","3","0","33","0","1","1","2597","false"
"L1080","3","0","43","0","1","1","2597","false"
"L1081","3","0","41","0","1","1","2597","false"
"L1082","3","0","35","0","1","1","2597","false"
"L1278","3","0","33","0","1","1","2597","false"
"L1279","3","0","34","0","1","1","2597","false"
"L1280","3","0","41","0","1","1","2597","false"
"L1281","1","0","34","0","1","1","2597","false"
"L1282","3","0","36","0","1","1","2597","false"
"L1283","3","0","53","0","1","1","2597","false"
"L1284","3","0","50","0","1","1","2597","false"
"L2071","3","0","114","0","1","1","2597","false"
"L2139","7","0","121","0","1","1","2597","false"
"L2140","7","0","241","0","1","1","2597","false"
"L2418","20","0","496","0","1","1","2597","false"
"L2419","45","0","246","0","1","1","2597","false"
"L2420","69","0","404","0","1","1","2597","false"
"L3581","1","0","10","0","1","1","2597","false"
"L3582","1","0","61","0","1","1","2597","false"
"L3606","1","0","20","0","1","1","2597","false"
"L3607","1","0","10","0","1","1","2597","false"
"L3608","3","0","153","0","1","1","2597","false"
"L3609","1","0","127","0","1","1","2597","false"
"L3704","1","0","25","0","1","1","2597","false"
"L3705","9","0","166","0","1","1","2597","false"
"L3706","1","0","87","0","1","1","2597","false"
"L3707","3","0","782","0","1","1","2597","false"
"L3708","1","0","27","0","1","1","2597","false"
