@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L117","1","0","66","0","2","4","2597","false"
"L118","1","0","41","0","1","1","592","false"
"L119","1","0","51","0","1","1","592","false"
"L120","1","0","55","0","1","1","592","false"
"L121","1","0","59","0","1","1","592","false"
"L233","1","0","24","0","2","4","2597","false"
"L234","1","0","26","0","2","3","592","false"
"L1517","1","0","27","0","1","1","592","false"
"L1518","1","0","5","0","1","1","592","false"
"L1519","1","0","27","0","1","1","592","false"
"L1520","1","0","5","0","1","1","592","false"
"L237","3","0","32","0","1","1","592","false"
"L1036","3","0","31","0","1","1","592","false"
"L1037","3","0","35","0","2","2","592","false"
"L1038","3","0","34","0","2","3","592","false"
"L1039","3","0","31","0","1","1","592","false"
"L1113","3","0","35","0","1","1","592","false"
"L1114","3","0","35","0","1","1","592","false"
"L1115","3","0","31","0","1","1","592","false"
"L1116","3","0","35","0","1","1","592","false"
"L1117","3","0","35","0","1","1","592","false"
"L1118","3","0","35","0","1","1","592","false"
"L1119","3","0","35","0","1","1","592","false"
"L1120","3","0","35","0","1","1","592","false"
"L1121","3","0","35","0","1","1","592","false"
"L1122","3","0","31","0","1","1","592","false"
"L1123","3","0","43","0","1","1","592","false"
"L1124","3","0","35","0","1","1","592","false"
"L1125","3","0","33","0","1","1","2597","false"
"L1126","3","0","31","0","1","1","2597","false"
"L1127","3","0","35","0","1","1","592","false"
"L1339","3","0","32","0","1","1","592","false"
"L1340","3","0","33","0","1","1","592","false"
"L1341","3","0","35","0","1","1","592","false"
"L1342","1","0","34","0","1","1","592","false"
"L1343","3","0","31","0","1","1","592","false"
"L1344","3","0","33","0","1","1","592","false"
"L1345","3","0","32","0","1","1","592","false"
"L2186","4","0","158","0","3","10","1464","false"
"L2289","16","0","153","0","2","4","2597","false"
"L2290","7","0","271","0","2","5","2597","false"
"L2291","1","0","15","0","1","1","2597","false"
"L2623","1","0","7","0","1","1","592","false"
"L2624","20","0","510","0","2","2","2597","false"
"L2625","48","0","265","0","2","3","2597","false"
"L2626","69","0","420","0","1","1","592","false"
"L3420","1","0","8","0","2","5","592","false"
