@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","1","0","5","0","2","5","219","false"
"L120","18","0","137","0","5","8","219","false"
"L1310","3","0","24","0","3","3","2597","true"
"L302","6","0","66","1","7","31","219","false"
"L303","6","0","52","0","7","24","219","false"
"L304","4","0","49","0","7","26","219","true"
"L305","4","0","39","0","7","20","219","false"
"L306","14","0","101","2","7","31","219","true"
"L307","48","0","401","4","8","102","592","true"
"L308","17","0","145","4","4","12","1464","true"
"L1313","3","0","42","0","4","8","219","false"
"L1388","2","0","49","1","4","7","1283","false"
"L1389","3","0","62","1","5","15","219","false"
"L1390","7","0","41","0","3","6","219","false"
"L1391","17","0","200","2","6","39","56","false"
"L1693","1","0","48","0","5","6","219","false"
"L1694","1","0","76","0","5","9","219","false"
"L1695","1","0","153","0","5","9","219","false"
"L1696","1","0","34","0","5","10","219","false"
"L1697","1","0","69","0","5","9","219","false"
"L1698","1","0","209","0","5","11","219","false"
"L1699","1","0","118","0","4","9","219","false"
"L1700","1","0","41","0","4","9","219","false"
"L1701","1","0","111","0","5","11","219","false"
"L1702","1","0","62","0","4","9","219","false"
"L1268","2","0","25","1","4","5","219","false"
"L1102","9","0","47","0","3","3","219","false"
"L1103","6","0","45","0","3","10","219","false"
"L1104","15","0","97","1","4","12","219","false"
"L1770","1","0","18","0","4","5","219","false"
"L1771","1","0","18","0","5","8","592","false"
"L1772","1","0","25","0","4","5","219","false"
"L1688","1","0","126","0","3","6","219","false"
"L1689","1","0","209","0","3","7","219","false"
"L2938","8","0","66","0","4","11","219","false"
"L2939","1","0","16","0","3","3","219","false"
"L6833","2","0","18","0","4","9","219","false"
"L6834","66","0","385","0","6","20","219","true"
"L6835","1","0","14","0","4","10","219","false"
"L6836","7","0","48","0","6","25","592","false"
"L6837","6","0","68","0","5","26","219","false"
"L6838","1","0","16","0","5","14","219","false"
"L6839","1","0","9","0","4","12","219","false"
