"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L119","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java","L118","1","0","5","0","2","5","219","0"
"L120","AdminCatalogServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java","L118","17","0","137","0","5","12","1464","0"
"L1896","AdminProductTranslationExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionHandler.java","L1895","4","0","37","1","5","9","1464","0"
"L320","AdminCatalogServiceExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionHandler.java","L319","1","0","11","0","2","4","1464","0"
"L321","AdminCatalogServiceExtensionManager.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionManager.java","L319","1","0","9","0","2","4","1464","0"
"L322","CategoryCustomPersistenceHandlerExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/CategoryCustomPersistenceHandlerExtensionHandler.java","L319","1","0","10","0","1","1","2597","0"
"L323","CategoryCustomPersistenceHandlerExtensionManager.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/CategoryCustomPersistenceHandlerExtensionManager.java","L319","1","0","9","0","1","1","2597","0"
"L324","DefaultAdminCatalogExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/DefaultAdminCatalogExtensionHandler.java","L319","5","0","48","0","3","8","1464","0"
"L325","ProductCustomPersistenceHandlerExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/ProductCustomPersistenceHandlerExtensionHandler.java","L319","1","0","10","0","1","1","2597","0"
"L326","ProductCustomPersistenceHandlerExtensionManager.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/ProductCustomPersistenceHandlerExtensionManager.java","L319","1","0","9","0","1","1","2597","0"
"L434","CategoryCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java","L433","26","0","163","1","8","38","2597","0"
"L435","ChildCategoriesCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java","L433","6","0","52","0","7","24","219","0"
