"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L11110","_HelloWorld.java","src/test/java/examples/_HelloWorld.java","L11109","1","0","22","1","1","1302","0","0"
"L11111","_TempMap.java","src/test/java/examples/_TempMap.java","L11109","1","0","12","1","1","1302","0","0"
"L11112","Bidi_Map.java","src/test/java/examples/Bidi_Map.java","L11109","2","0","19","4","2","3","0","0"
"L11113","Compression.java","src/test/java/examples/Compression.java","L11109","1","0","21","2","1","1302","0","0"
"L11114","Custom_Value.java","src/test/java/examples/Custom_Value.java","L11109","8","0","63","8","2","1302","0","0"
"L11115","Histogram.java","src/test/java/examples/Histogram.java","L11109","5","0","26","1","1","1302","0","0"
"L11116","Huge_Insert.java","src/test/java/examples/Huge_Insert.java","L11109","2","0","29","3","1","1302","0","0"
"L11117","Huge_Read.java","src/test/java/examples/Huge_Read.java","L11109","3","0","25","2","1","1302","0","0"
"L11118","Lazily_Loaded_Records.java","src/test/java/examples/Lazily_Loaded_Records.java","L11109","1","0","22","2","1","1302","0","0"
"L11119","Map_Size_Counter.java","src/test/java/examples/Map_Size_Counter.java","L11109","1","0","18","2","1","1302","0","0"
"L11120","MultiMap.java","src/test/java/examples/MultiMap.java","L11109","2","0","19","2","1","1302","0","0"
"L11121","Secondary_Key.java","src/test/java/examples/Secondary_Key.java","L11109","1","0","21","3","2","3","0","0"
"L11122","Secondary_Map.java","src/test/java/examples/Secondary_Map.java","L11109","1","0","18","2","1","1302","0","0"
"L11123","SQL_Auto_Incremental_Unique_Key.java","src/test/java/examples/SQL_Auto_Incremental_Unique_Key.java","L11109","1","0","16","1","1","1302","0","0"
"L11124","Transactions.java","src/test/java/examples/Transactions.java","L11109","3","0","41","1","1","1302","0","0"
"L11125","Transactions2.java","src/test/java/examples/Transactions2.java","L11109","1","0","19","1","1","1302","0","0"
"L11126","TreeMap_Composite_Key.java","src/test/java/examples/TreeMap_Composite_Key.java","L11109","7","0","53","1","1","1302","0","0"
"L11127","TreeMap_Performance_Tunning.java","src/test/java/examples/TreeMap_Performance_Tunning.java","L11109","5","0","43","4","1","1302","0","0"
"L111","AsyncWriteEngine.java","src/main/java/org/mapdb/AsyncWriteEngine.java","L110","41","0","197","36","5","1302","0","1"
"L112","Atomic.java","src/main/java/org/mapdb/Atomic.java","L110","44","0","329","3","1","1302","0","0"
"L113","Bind.java","src/main/java/org/mapdb/Bind.java","L110","24","0","143","6","2","3","0","0"
"L114","BTreeKeySerializer.java","src/main/java/org/mapdb/BTreeKeySerializer.java","L110","21","0","130","3","1","1302","0","0"
"L115","BTreeMap.java","src/main/java/org/mapdb/BTreeMap.java","L110","337","0","1641","35","3","1302","1","3"
"L116","CacheHardRef.java","src/main/java/org/mapdb/CacheHardRef.java","L110","6","0","44","13","2","1302","0","0"
"L117","CacheHashTable.java","src/main/java/org/mapdb/CacheHashTable.java","L110","12","0","113","19","1","1302","0","0"
"L118","CacheLRU.java","src/main/java/org/mapdb/CacheLRU.java","L110","7","0","91","10","1","1302","0","0"
"L119","CacheWeakSoftRef.java","src/main/java/org/mapdb/CacheWeakSoftRef.java","L110","15","0","151","17","3","1302","0","0"
"L120","CC.java","src/main/java/org/mapdb/CC.java","L110","1","0","7","10","1","1302","0","0"
"L121","CompressLZF.java","src/main/java/org/mapdb/CompressLZF.java","L110","31","0","171","6","1","1302","1","1"
