@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L16269","1","0","22","2","1","1302","0","false"
"L16270","1","0","12","1","1","1302","0","false"
"L16271","2","0","21","8","2","1302","0","false"
"L16272","3","0","36","6","1","1302","0","false"
"L16273","3","0","24","2","1","1302","0","false"
"L16274","3","0","32","3","1","1302","0","false"
"L16275","1","0","22","9","1","1302","0","false"
"L16276","8","0","67","13","2","1302","0","false"
"L16277","3","0","89","3","1","1302","0","false"
"L16278","5","0","26","1","1","1302","0","false"
"L16279","2","0","57","9","1","1302","0","false"
"L16280","1","0","21","6","1","1302","0","false"
"L16281","1","0","22","6","1","1302","0","false"
"L16282","2","0","25","8","1","1302","0","false"
"L16283","1","0","25","6","2","1302","0","false"
"L16284","1","0","21","3","1","1302","0","false"
"L16285","2","0","33","3","1","1302","0","false"
"L16286","1","0","16","2","1","1302","0","false"
"L16287","3","0","46","4","1","1302","0","false"
"L16288","1","0","19","1","1","1302","0","false"
"L16289","7","0","55","6","2","1302","0","false"
"L16290","6","0","48","7","1","1302","0","false"
"L111","54","0","264","73","5","1302","4","false"
"L112","36","0","287","10","1","1302","1","false"
"L113","68","0","262","21","2","1302","0","false"
"L114","171","0","806","27","1","1302","1","true"
"L115","455","0","2168","95","4","1302","8","false"
"L116","107","0","680","15","1","1302","0","false"
"L117","1","0","18","26","1","1302","1","false"
"L118","37","0","180","16","1","1302","3","false"
"L119","3","0","132","12","1","1302","1","false"
"L120","6","0","159","2","1","1302","0","false"
"L121","15","0","143","18","1","1302","1","false"
"L122","164","0","1141","83","3","1302","5","true"
"L123","55","0","506","108","2","1302","8","false"
"L124","10","0","166","11","1","1302","0","false"
"L125","1","0","29","30","2","1302","2","false"
"L126","25","0","435","40","3","1302","3","false"
"L127","162","0","752","29","1","1302","1","false"
"L128","1","0","76","3","1","1302","0","false"
"L129","243","0","1276","76","3","1302","2","true"
"L130","102","0","517","12","2","1302","0","false"
"L131","57","0","408","13","1","1302","1","false"
"L132","31","0","286","14","2","1302","0","false"
"L133","3","0","38","7","2","1302","0","false"
"L134","59","0","315","31","1","1302","3","false"
"L135","38","0","344","22","2","1302","1","false"
"L136","27","0","367","37","2","1302","0","false"
"L137","492","0","1746","70","1","1302","5","false"
"L138","73","0","495","45","2","1302","3","false"
"L139","38","0","276","38","2","1302","4","false"
"L140","85","0","580","52","1","1302","6","false"
"L141","181","0","890","93","4","1302","10","false"
"L142","34","0","268","23","1","1302","0","false"
"L143","187","0","946","83","2","1302","13","true"
"L144","1","0","4","2","1","1302","0","false"
"L145","61","0","524","25","1","1302","2","true"
"L146","13","0","57","30","1","1302","4","false"
"L147","1","0","4","3","1","1302","0","false"
"L148","106","0","964","76","4","1302","12","false"
"L153","8","0","98","27","1","1302","0","false"
"L154","2","0","61","9","1","1302","0","false"
"L155","6","0","119","8","1","1302","0","false"
"L156","6","0","131","9","1","1302","0","false"
"L157","12","0","157","6","1","1302","1","false"
"L158","11","0","108","12","1","1302","2","false"
"L159","25","0","246","11","1","1302","0","false"
"L160","1","0","38","9","2","1302","1","false"
"L161","811","0","6251","5","1","1302","0","false"
"L162","2","0","39","22","1","1302","1","false"
"L163","12","0","387","10","2","1302","0","false"
"L164","1","0","15","5","2","1302","0","false"
"L165","1","0","13","5","2","1302","0","false"
"L166","1","0","243","6","1","1302","0","false"
"L167","3","0","34","2","1","1302","0","false"
"L168","47","0","585","6","1","1302","0","false"
"L169","33","0","353","42","2","1302","3","false"
"L170","2","0","38","22","1","1302","1","false"
"L171","30","0","212","4","1","1302","0","false"
"L172","122","0","1390","10","1","1302","0","false"
"L173","47","0","982","6","1","1302","0","false"
"L174","111","0","927","7","1","1302","0","false"
"L175","98","0","685","9","1","1302","0","false"
"L176","51","0","783","3","1","1302","0","false"
"L177","1","0","13","13","2","1302","0","false"
"L178","5","0","43","7","1","1302","0","false"
