@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L17172","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","8","9","0.5","0.407407","11","3","1","1","0.407407","11","0","0","0","0","0","16","30","0","0","0","0","1","0","1","0","1","9","0","1","0","16","30","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17176","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","2","0.5","0.611111","11","5","1","1","0.611111","11","0","0","0","0","0","7","16","0","0","0","0","1","0","1","0","1","3","0","1","0","7","16","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17180","0","0","0","0","0","0","0","0","1","1","1","2","4","1","1","4","5","0.5","0.363636","8","3","1","1","0.363636","8","0","0","0","0","0","14","26","0","0","0","0","1","0","1","0","1","9","0","1","0","14","26","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17188","0","0","0","0","0","0","0","0","1","1","1","4","5","1","1","12","14","0.333333","0.333333","14","5","1","2","0.333333","14","0","0","0","0","0","28","49","0","0","0","0","2","0","2","0","2","16","0","2","0","28","49","0","0","0","0","2","0","2","0","2","16","0","2","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","false"
"L17195","0.714286","1","3","1","0.390244","0.578947","16","11","1","2","2","3","3","0","0","8","9","0.5","0.441176","15","6","1","1","0.441176","15","0","0","0","0","0","19","41","0","0","0","0","1","0","1","0","1","14","0","1","0","19","41","0","0","0","0","1","0","1","0","1","14","0","1","0","0","0","13","0","1","0","0","0","0","12","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17205","0.542636","1","3","1","0.307692","0.37931","16","11","1","2","2","3","6","0","0","15","16","0.5","0.42","21","11","1","1","0.42","21","0","0","0","0","0","29","52","0","0","0","0","1","0","1","0","1","15","0","1","0","29","52","0","0","0","0","1","0","1","0","1","15","0","1","0","0","0","14","0","1","0","0","0","0","12","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17210","0","0","0","0","0","0","0","0","1","0","0","1","5","1","1","10","11","0.5","0.564103","22","6","1","1","0.564103","22","0","0","0","0","0","17","38","0","0","0","0","1","0","1","0","1","8","0","1","0","17","38","0","0","0","0","1","0","1","0","1","8","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17214","0","0","0","0","0","0","0","0","1","0","0","1","6","1","1","10","11","0.5","0.241379","7","3","1","1","0.298851","26","0","0","0","0","0","22","66","0","0","0","0","1","0","1","0","1","17","0","1","0","61","117","32","2","2","2","8","0","8","0","22","36","30","22","0","0","0","29","2","15","0","0","8","0","0","0","1","0","0","4","0","0","3","22","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","6","0","0","0","0","0","false"
"L17257","0","0","0","0","0","0","0","0","1","1","1","2","5","1","1","3","4","0.5","0.478261","11","6","1","1","0.366667","11","0","0","0","0","0","12","21","0","0","0","0","1","0","1","0","1","8","0","1","0","19","28","0","0","0","0","2","0","2","0","2","15","0","2","0","0","0","7","0","7","0","0","3","0","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L17280","0","0","0","0","0","0","0","0","2","1","1","3","7","2","2","10","12","0.333333","0.478261","33","6","1","2","0.402439","33","0","0","0","0","0","36","81","0","0","0","0","2","0","2","0","2","19","0","2","0","49","98","1","0","1","0","6","0","6","0","6","23","0","6","0","0","0","19","0","5","0","0","0","0","0","0","2","0","0","0","0","0","3","17","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","false"
"L17303","0","0","0","0","0","0","0","0","1","0","0","1","7","1","1","14","15","0.5","0.651163","28","8","1","1","0.651163","28","0","0","0","0","0","15","50","0","0","0","0","1","0","1","0","1","10","0","1","0","15","50","0","0","0","0","1","0","1","0","1","10","0","1","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","false"
