"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L17151","_HelloWorld.java","src/test/java/examples/_HelloWorld.java","L17150","1","0","22","2","1","1302","0","0"
"L17152","_TempMap.java","src/test/java/examples/_TempMap.java","L17150","1","0","11","2","1","1302","0","0"
"L17153","Bidi_Map.java","src/test/java/examples/Bidi_Map.java","L17150","2","0","21","9","2","1302","0","0"
"L17154","CacheEntryExpiry.java","src/test/java/examples/CacheEntryExpiry.java","L17150","3","0","35","7","1","1302","0","0"
"L17155","CacheOffHeap.java","src/test/java/examples/CacheOffHeap.java","L17150","3","0","24","2","1","1302","0","0"
"L17156","CacheOffHeapAdvanced.java","src/test/java/examples/CacheOffHeapAdvanced.java","L17150","3","0","32","3","1","1302","0","0"
"L17157","Compression.java","src/test/java/examples/Compression.java","L17150","1","0","22","10","1","1302","0","0"
"L17158","Custom_Value.java","src/test/java/examples/Custom_Value.java","L17150","8","0","67","14","2","1302","0","0"
"L17159","Histogram.java","src/test/java/examples/Histogram.java","L17150","5","0","26","1","1","1302","0","0"
"L17160","Huge_Insert.java","src/test/java/examples/Huge_Insert.java","L17150","2","0","57","11","1","1302","0","0"
"L17161","Lazily_Loaded_Records.java","src/test/java/examples/Lazily_Loaded_Records.java","L17150","1","0","21","6","1","1302","0","0"
"L17162","Map_Size_Counter.java","src/test/java/examples/Map_Size_Counter.java","L17150","1","0","22","7","1","1302","0","0"
"L17163","MultiMap.java","src/test/java/examples/MultiMap.java","L17150","2","0","25","9","1","1302","0","0"
"L17164","Secondary_Key.java","src/test/java/examples/Secondary_Key.java","L17150","1","0","25","7","2","1302","0","0"
"L17165","Secondary_Map.java","src/test/java/examples/Secondary_Map.java","L17150","1","0","21","3","1","1302","0","0"
"L17166","Secondary_Values.java","src/test/java/examples/Secondary_Values.java","L17150","2","0","36","4","1","1302","0","0"
"L17167","SQL_Auto_Incremental_Unique_Key.java","src/test/java/examples/SQL_Auto_Incremental_Unique_Key.java","L17150","1","0","16","2","1","1302","0","0"
"L17168","Transactions.java","src/test/java/examples/Transactions.java","L17150","3","0","46","4","1","1302","0","0"
"L17169","Transactions2.java","src/test/java/examples/Transactions2.java","L17150","1","0","19","1","1","1302","0","0"
"L17170","TreeMap_Composite_Key.java","src/test/java/examples/TreeMap_Composite_Key.java","L17150","1","0","13","8","2","1302","0","0"
"L17171","TreeMap_Performance_Tunning.java","src/test/java/examples/TreeMap_Performance_Tunning.java","L17150","6","0","48","8","1","1302","0","0"
