"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L18707","btreemap_byte_array.java","src/test/java/doc/btreemap_byte_array.java","L18706","1","0","10","1","1","1302","0","0"
"L18708","btreemap_compressed.java","src/test/java/doc/btreemap_compressed.java","L18706","1","0","11","1","1","1302","0","0"
"L18709","btreemap_counter.java","src/test/java/doc/btreemap_counter.java","L18706","1","0","12","1","1","1302","0","0"
"L18710","btreemap_nodesize.java","src/test/java/doc/btreemap_nodesize.java","L18706","1","0","13","1","1","1302","0","0"
"L18711","btreemap_object_array.java","src/test/java/doc/btreemap_object_array.java","L18706","1","0","14","1","1","1302","0","0"
"L18712","btreemap_serializer.java","src/test/java/doc/btreemap_serializer.java","L18706","1","0","11","1","1","1302","0","0"
"L18713","cache_hardref.java","src/test/java/doc/cache_hardref.java","L18706","1","0","12","1","1","1302","0","0"
"L18714","cache_hash_table.java","src/test/java/doc/cache_hash_table.java","L18706","1","0","13","1","1","1302","0","0"
"L18715","cache_lru.java","src/test/java/doc/cache_lru.java","L18706","1","0","13","1","1","1302","0","0"
"L18716","cache_right_and_wrong.java","src/test/java/doc/cache_right_and_wrong.java","L18706","1","0","43","1","1","1302","0","0"
"L18717","cache_size.java","src/test/java/doc/cache_size.java","L18706","1","0","15","1","1","1302","0","0"
"L18718","cache_weak_soft.java","src/test/java/doc/cache_weak_soft.java","L18706","1","0","13","1","1","1302","0","0"
"L18719","concurrency_consistency_lock.java","src/test/java/doc/concurrency_consistency_lock.java","L18706","1","0","25","1","1","1302","0","0"
"L18720","concurrency_executor_async_write.java","src/test/java/doc/concurrency_executor_async_write.java","L18706","1","0","10","1","1","1302","0","0"
"L18721","concurrency_executor_cache.java","src/test/java/doc/concurrency_executor_cache.java","L18706","1","0","17","1","1","1302","0","0"
"L18722","concurrency_executor_compaction.java","src/test/java/doc/concurrency_executor_compaction.java","L18706","1","0","17","1","1","1302","0","0"
