@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L116","1","0","23","0","9","2","1843","true"
"L117","39","0","268","1","45","2","1843","true"
"L472","108","0","626","1","158","2","1843","true"
"L7387","12","0","73","0","49","2","1843","false"
"L7388","14","0","82","0","20","2","1843","false"
"L7389","1","0","25","0","8","2","1843","false"
"L7390","53","0","301","0","22","2","1843","false"
"L7391","17","0","155","1","34","2","1300","false"
"L7839","1","0","49","0","18","2","1300","false"
"L7840","22","0","110","0","11","2","1843","false"
"L7841","25","0","99","0","16","2","1843","false"
"L7842","76","0","376","1","61","2","1300","false"
"L7843","3","0","22","0","7","2","1843","false"
"L7844","29","0","239","2","44","2","1300","false"
"L7845","63","0","527","0","79","2","1300","false"
"L7846","12","0","40","0","7","2","1300","false"
"L8377","30","0","262","0","51","2","1300","false"
"L8378","1","0","67","0","22","2","1843","false"
"L8379","17","0","209","0","78","2","1843","false"
"L8380","1","0","37","0","23","1","1843","false"
"L8381","10","0","61","0","43","2","1843","false"
"L8382","4","0","69","0","30","2","1300","false"
"L8383","28","0","114","1","10","2","1300","false"
"L8384","1","0","4","0","19","1","1843","false"
"L8385","42","0","362","1","71","2","1300","false"
"L8386","1","0","58","0","47","2","1843","false"
"L8387","18","0","97","0","24","2","1300","false"
"L8388","40","0","292","0","69","2","1300","false"
"L8389","25","0","226","1","71","2","1300","false"
"L8390","1","0","8","0","4","1","1843","false"
"L11105","23","0","90","0","10","1","1843","false"
"L11106","3","0","19","0","9","2","1843","false"
"L11107","10","0","56","0","8","2","1843","false"
"L11108","1","0","14","0","11","2","1843","false"
"L11109","1","0","23","0","4","1","1843","false"
"L11110","20","0","102","0","37","2","1300","false"
"L11367","1","0","10","0","15","2","1300","false"
"L11368","4","0","43","0","22","2","1843","false"
"L11369","1","0","3","0","5","1","1843","false"
"L11370","59","0","204","0","19","2","1300","false"
"L11371","8","0","81","0","21","2","1300","false"
"L11372","1","0","22","0","3","2","1300","false"
"L11373","4","0","43","0","15","2","1300","false"
"L11374","1","0","9","0","3","1","1843","false"
