@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L116","6","0","52","1","12","2","1300","false"
"L117","40","0","277","2","51","2","1300","false"
"L499","109","0","637","3","167","2","1300","true"
"L9156","12","0","73","0","50","2","1300","false"
"L9157","14","0","82","0","20","2","1843","false"
"L9158","1","0","25","0","8","2","1843","false"
"L9159","47","0","279","0","30","2","1843","false"
"L9160","17","0","162","1","37","2","1843","false"
"L9617","1","0","74","0","22","2","1300","false"
"L9618","22","0","110","0","11","2","1843","false"
"L9619","24","0","98","0","19","2","1300","false"
"L9620","3","0","22","0","7","2","1843","false"
"L9621","58","0","372","2","47","2","1843","false"
"L9622","65","0","565","0","86","2","1300","false"
"L9623","12","0","40","0","8","2","1300","false"
"L10122","30","0","262","0","52","2","1300","false"
"L10123","1","0","67","0","22","2","1843","false"
"L10124","17","0","202","0","81","2","1300","false"
"L10125","1","0","37","0","23","1","1843","false"
"L10126","10","0","61","0","44","2","1300","false"
"L10127","4","0","69","0","31","2","1300","false"
"L10128","28","0","114","1","11","2","1300","false"
"L10129","1","0","4","0","19","1","1843","false"
"L10130","42","0","362","1","72","2","1300","false"
"L10131","1","0","58","0","47","2","1843","false"
"L10132","18","0","97","0","25","2","1300","false"
"L10133","40","0","292","0","70","2","1300","false"
"L10134","25","0","226","1","72","2","1300","false"
"L10135","1","0","8","0","4","1","1843","false"
"L12833","23","0","90","0","10","1","1843","false"
"L12834","3","0","19","0","9","2","1843","false"
"L12835","11","0","58","0","11","2","1300","false"
"L12836","2","0","20","0","14","2","1300","false"
"L12837","2","0","30","0","6","2","1843","false"
"L12838","18","0","94","0","40","2","1843","false"
"L13091","1","0","10","0","16","2","1300","false"
"L13092","4","0","43","0","22","2","1843","false"
"L13093","1","0","3","0","5","1","1843","false"
"L13094","59","0","204","0","20","2","1300","false"
"L13095","10","0","98","0","24","2","1300","true"
"L13096","1","0","22","0","4","2","1300","false"
"L13097","4","0","43","0","16","2","1300","false"
"L13098","1","0","9","0","3","1","1843","false"
"L13099","1","0","11","0","10","2","1843","false"
"L13325","3","0","65","0","15","2","1300","false"
"L13326","35","0","195","0","51","2","1300","false"
"L13327","74","0","414","0","95","2","1843","true"
"L13328","1","0","33","0","14","2","1300","false"
"L13329","8","0","84","0","16","2","1300","true"
"L13330","32","0","144","0","67","2","1843","false"
"L13331","43","0","207","1","53","2","1843","true"
"L13332","5","0","130","0","26","2","1300","true"
"L13333","7","0","75","0","22","2","1300","false"
"L14485","25","0","92","0","33","2","1300","true"
"L14486","6","0","75","0","8","2","1300","false"
"L14487","1","0","6","0","5","1","1843","false"
"L14488","2","0","23","0","15","2","1300","false"
"L14489","4","0","52","0","21","2","1300","false"
"L14490","1","0","10","0","15","1","1843","false"
"L14491","21","0","144","0","13","3","1300","true"
"L14492","4","0","32","0","9","2","1300","false"
"L14493","64","0","278","0","52","2","1843","false"
"L14494","24","0","230","0","59","2","1300","false"
"L14495","1","0","13","0","9","1","1843","false"
"L14496","1","0","113","3","125","2","1300","true"
"L14497","96","0","625","0","166","2","1843","true"
"L14498","2","0","19","0","7","1","1843","false"
"L14499","2","0","26","0","6","2","1843","false"
"L14500","42","0","269","1","62","2","1300","false"
"L14501","8","0","36","0","12","2","1843","false"
"L14502","1","0","13","0","6","1","1843","false"
"L14503","1","0","10","0","8","2","1300","false"
"L14504","18","0","72","0","18","2","1843","false"
"L14505","2","0","28","0","15","1","1843","false"
"L14506","48","0","246","0","82","2","1300","true"
"L14507","1","0","12","0","5","1","1843","false"
"L10868","3","0","44","0","21","2","1300","false"
"L10869","1","0","12","0","7","1","1843","false"
"L10870","1","0","14","0","9","1","1843","false"
"L10871","1","0","10","0","6","2","1843","false"
"L10872","1","0","7","0","8","2","1843","false"
"L10873","1","0","7","0","8","2","1843","false"
"L10874","1","0","9","0","4","1","1843","false"
"L10875","1","0","9","0","4","1","1843","false"
"L10876","3","0","48","0","25","2","1300","false"
"L10877","1","0","8","0","7","2","1843","false"
"L10878","2","0","12","0","10","2","1300","false"
"L10879","1","0","3","0","3","1","1843","false"
"L10880","1","0","7","0","8","2","1843","false"
"L10881","1","0","15","0","4","2","1843","false"
