"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L8662","CeylonLaunchDelegate.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/launching/CeylonLaunchDelegate.java","L8661","13","0","96","19","0","3","4843","0"
"L8663","ICeylonLaunchConfigurationConstants.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/launching/ICeylonLaunchConfigurationConstants.java","L8661","1","0","7","1","0","1","1328","0"
"L8678","CeylonPerspectiveFactory.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPerspectiveFactory.java","L8677","1","0","7","1","0","1","4843","0"
"L8679","CeylonPlugin.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPlugin.java","L8677","22","0","252","64","0","2","4843","0"
"L8680","ICeylonResources.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/ICeylonResources.java","L8677","1","0","36","23","0","2","4843","0"
"L8681","WelcomeAction.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/WelcomeAction.java","L8677","3","0","27","2","0","1","4843","0"
"L8768","EclipseLogger.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/EclipseLogger.java","L8767","1","0","24","1","0","1","224","0"
"L8769","ErrorCollectionVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorCollectionVisitor.java","L8767","4","0","46","1","0","1","4843","0"
"L8770","ErrorVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorVisitor.java","L8767","12","0","92","9","0","1","4843","0"
"L8771","FindAssignmentsVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindAssignmentsVisitor.java","L8767","22","0","129","4","0","1","4843","0"
"L8772","FindContainerVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindContainerVisitor.java","L8767","3","0","58","1","0","1","4843","0"
"L8773","FindDeclarationVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindDeclarationVisitor.java","L8767","5","0","37","4","0","1","4843","0"
"L8774","FindReferenceVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindReferenceVisitor.java","L8767","25","0","147","10","0","1","4843","0"
"L8775","FindRefinementsVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindRefinementsVisitor.java","L8767","5","0","29","2","0","1","4843","0"
"L8776","FindStatementVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindStatementVisitor.java","L8767","7","0","47","4","0","1","4843","0"
"L8777","FindSubtypesVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindSubtypesVisitor.java","L8767","4","0","33","2","0","1","4843","0"
"L8778","SearchVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/SearchVisitor.java","L8767","10","0","43","2","0","1","4843","0"
"L8975","IFileVirtualFile.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/vfs/IFileVirtualFile.java","L8974","2","0","42","6","0","2","1328","0"
"L8976","IFolderVirtualFile.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/vfs/IFolderVirtualFile.java","L8974","3","0","46","2","0","2","1328","0"
"L8977","ResourceVirtualFile.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/vfs/ResourceVirtualFile.java","L8974","4","0","59","3","0","1","4843","0"
"L8978","SourceCodeVirtualFile.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/vfs/SourceCodeVirtualFile.java","L8974","2","0","58","4","0","1","4843","0"
"L8979","TemporaryFile.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/vfs/TemporaryFile.java","L8974","1","0","27","1","0","1","4843","0"
