"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L18022","CeylonPerspectiveFactory.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPerspectiveFactory.java","L18021","1","0","7","3","0","2","20","0"
"L18023","CeylonPlugin.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPlugin.java","L18021","17","0","252","100","0","5","4843","0"
"L18024","CeylonResources.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonResources.java","L18021","1","0","59","6","0","3","4843","0"
"L18025","CeylonStartup.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonStartup.java","L18021","4","0","59","2","0","2","20","0"
"L18026","WelcomeAction.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/WelcomeAction.java","L18021","3","0","27","2","0","1","4843","0"
"L18336","AnnotationUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/AnnotationUtils.java","L18335","40","0","248","18","0","2","4843","0"
"L18337","CarUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/CarUtils.java","L18335","3","0","37","1","0","1","1328","0"
"L18338","EclipseLogger.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/EclipseLogger.java","L18335","1","0","24","1","0","1","224","0"
"L18339","ErrorCollectionVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorCollectionVisitor.java","L18335","8","0","80","4","0","2","4843","0"
"L18340","ErrorVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorVisitor.java","L18335","16","0","98","18","0","2","4843","0"
"L18341","FindAssignmentsVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindAssignmentsVisitor.java","L18335","22","0","129","6","0","2","4843","0"
"L18342","FindContainerVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindContainerVisitor.java","L18335","3","0","58","3","0","2","152","0"
"L18343","FindDeclarationNodeVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindDeclarationNodeVisitor.java","L18335","5","0","37","1","0","1","4843","0"
"L18344","FindDeclarationVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindDeclarationVisitor.java","L18335","3","0","37","5","0","1","4843","0"
"L18345","FindDocumentableVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindDocumentableVisitor.java","L18335","13","0","56","1","0","1","4843","0"
"L18346","FindReferenceVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindReferenceVisitor.java","L18335","33","0","152","19","0","2","4843","0"
"L18347","FindRefinementsVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindRefinementsVisitor.java","L18335","5","0","29","2","0","1","4843","0"
"L18348","FindStatementVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindStatementVisitor.java","L18335","9","0","49","5","0","1","4843","0"
"L18349","FindSubtypesVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindSubtypesVisitor.java","L18335","4","0","33","2","0","1","4843","0"
"L18350","MarkerUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/MarkerUtils.java","L18335","11","0","42","2","0","2","20","0"
"L18351","SearchVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/SearchVisitor.java","L18335","10","0","43","2","0","1","4843","0"
"L119","AdditionalAnnotationCreator.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/AdditionalAnnotationCreator.java","L118","21","0","128","4","0","3","152","0"
"L120","AnnotationCreator.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/AnnotationCreator.java","L118","18","0","127","15","0","2","4843","0"
"L121","CeylonAnnotation.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonAnnotation.java","L118","1","0","46","6","0","2","4843","0"
"L122","CeylonAutoEditStrategy.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonAutoEditStrategy.java","L118","192","0","695","38","0","4","224","0"
"L123","CeylonBreakIterator.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonBreakIterator.java","L118","32","0","251","1","0","1","4843","0"
"L124","CeylonEditor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonEditor.java","L118","122","0","1038","52","0","2","4843","0"
"L125","CeylonFoldingUpdater.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonFoldingUpdater.java","L118","10","0","74","3","0","2","20","0"
"L126","CeylonOccurrenceMarker.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonOccurrenceMarker.java","L118","5","0","42","7","0","2","4843","0"
"L127","CeylonSelectAnnotationRulerAction.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonSelectAnnotationRulerAction.java","L118","5","0","54","4","0","1","4843","0"
"L128","CeylonSourceViewer.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonSourceViewer.java","L118","63","0","266","8","0","2","4843","0"
"L129","CeylonSourceViewerConfiguration.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonSourceViewerConfiguration.java","L118","5","0","255","37","0","3","224","0"
"L130","CeylonTaskUtil.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonTaskUtil.java","L118","15","0","102","1","0","1","152","0"
"L131","CeylonWordIterator.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CeylonWordIterator.java","L118","23","0","122","1","0","1","4843","0"
"L132","CodePopup.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/CodePopup.java","L118","11","0","208","12","0","1","4843","0"
"L133","DocumentCharacterIterator.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/DocumentCharacterIterator.java","L118","20","0","113","1","0","1","4843","0"
"L134","DoubleClickStrategy.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/DoubleClickStrategy.java","L118","42","0","200","4","0","2","4843","0"
"L135","DynamicMenuItem.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/DynamicMenuItem.java","L118","4","0","41","1","0","1","4843","0"
