@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","49","0","280","4","0","2","4843","false"
"L120","1","0","32","1","0","1","1328","false"
"L33518","27","0","221","8","0","3","1328","false"
"L33519","1","0","7","4","0","2","4843","false"
"L33520","20","0","358","159","0","7","1328","true"
"L33521","1","0","157","40","0","3","4843","false"
"L33522","9","0","94","8","0","4","4843","false"
"L33523","3","0","27","2","0","1","4843","false"
"L34564","26","0","160","39","0","3","4843","false"
"L34565","15","0","71","6","0","1","1328","false"
"L34566","6","0","55","4","0","3","12","false"
"L34567","11","0","72","4","0","1","4843","false"
"L34568","1","0","24","2","0","1","224","false"
"L34569","69","0","423","3","0","2","1328","false"
"L34570","8","0","80","4","0","2","4843","false"
"L34571","14","0","91","23","0","2","4843","false"
"L34572","13","0","70","5","0","1","4843","false"
"L34573","3","0","34","2","0","1","4843","false"
"L34574","42","0","227","12","0","2","4843","false"
"L34575","3","0","66","2","0","1","4843","false"
"L34576","3","0","66","6","0","2","4843","false"
"L34577","7","0","55","3","0","1","4843","false"
"L34578","3","0","34","6","0","1","4843","false"
"L34579","12","0","55","2","0","1","4843","false"
"L34580","41","0","208","1","0","1","4843","false"
"L34581","53","0","241","3","0","1","4843","true"
"L34582","7","0","39","4","0","1","4843","true"
"L34583","17","0","107","1","0","1","4843","false"
"L34584","9","0","57","8","0","1","4843","false"
"L34585","4","0","33","2","0","1","4843","false"
"L34586","60","0","332","10","0","1","4843","false"
"L34587","13","0","64","4","0","1","4843","false"
"L34588","20","0","150","12","0","1","4843","true"
"L34589","7","0","91","2","0","1","4843","false"
"L34590","11","0","42","2","0","2","20","false"
"L34591","15","0","49","5","0","3","75","false"
"L34592","150","0","688","21","0","2","4843","true"
"L34593","36","0","271","11","0","1","4843","false"
