@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","17","0","84","0","4735","1","5","false"
"L114","1","0","9","0","4735","1","1","false"
"L115","1","0","16","1","4735","1","2","false"
"L116","1","0","12","0","4735","1","1","false"
"L117","1","0","9","0","4735","1","2","false"
"L118","1","0","12","0","4735","1","1","false"
"L119","1","0","9","0","4735","1","1","false"
"L120","1","0","9","0","4735","1","1","false"
"L121","1","0","4","0","4735","1","1","false"
"L122","13","0","61","0","4735","1","9","false"
"L123","2","0","46","0","4735","1","5","true"
"L1943","1","0","6","0","4735","1","2","false"
"L1944","1","0","12","0","4735","1","5","false"
"L1945","1","0","5","0","4735","1","2","false"
"L1946","1","0","7","0","4735","1","4","false"
"L1947","3","0","30","0","4735","1","4","false"
"L1948","1","0","4","0","4735","1","4","false"
"L1949","2","0","10","0","4735","1","5","false"
"L1950","1","0","12","0","4735","1","1","false"
"L1951","1","0","5","0","4735","1","1","false"
"L1952","1","0","11","0","4735","1","2","false"
"L1953","1","0","6","0","4735","1","1","false"
"L1954","1","0","7","0","4735","1","1","false"
"L1955","1","0","22","0","4735","1","1","false"
"L1956","1","0","8","0","4735","1","5","false"
"L1957","15","0","70","0","4735","1","1","false"
"L1958","1","0","118","0","4735","1","32","false"
"L1959","1","0","59","0","4735","1","21","false"
"L1960","2","0","14","0","4735","1","1","false"
"L1961","9","0","39","0","4735","1","1","false"
"L14967","26","0","191","0","4735","1","25","false"
"L14968","1","0","6","0","4735","1","1","false"
"L15118","1","0","27","1","4735","1","6","false"
"L15119","1","0","14","0","4735","1","5","false"
"L15207","1","0","5","0","4735","1","2","false"
"L15208","1","0","76","0","4735","1","17","false"
"L15209","1","0","60","0","4735","1","9","false"
"L15210","1","0","119","0","4735","1","18","false"
"L15211","1","0","1","0","4735","1","1","false"
"L15212","1","0","154","0","4735","3","33","false"
"L20287","18","0","95","1","4735","1","6","false"
"L20288","1","0","41","0","319","2","20","true"
"L20289","7","0","46","0","4735","1","5","false"
"L20290","1","0","12","0","4735","1","4","false"
"L20291","1","0","18","1","4735","1","10","false"
"L20292","2","0","179","0","4735","1","17","false"
"L20293","1","0","4","0","4735","1","2","false"
"L20294","1","0","4","0","4735","1","2","false"
"L20295","1","0","4","0","4735","1","1","false"
"L20296","1","0","7","0","4735","1","3","false"
"L24866","124","0","942","0","4735","1","2","false"
"L24867","22","0","33","0","4735","1","2","false"
"L24868","37","0","209","0","4735","2","4","false"
"L24869","5","0","77","0","4735","1","1","false"
"L24870","2","0","27","0","4735","1","1","false"
"L24871","48","0","341","1","4735","1","10","false"
"L24872","9","0","39","0","4735","1","1","false"
"L24873","3","0","156","0","4735","1","2","false"
"L24874","6","0","49","0","4735","1","1","false"
"L24875","10","0","59","0","4735","1","1","false"
"L24876","1","0","7","0","4735","1","1","false"
"L24877","1","0","54","0","4735","1","2","false"
"L24878","27","0","167","0","4735","1","1","false"
"L24879","1","0","26","0","4735","1","1","false"
"L24880","25","0","98","0","4735","1","1","false"
"L24881","1","0","7","0","4735","1","1","false"
"L24882","11","0","134","0","4735","1","1","false"
"L24883","183","0","798","0","4735","1","6","false"
"L24884","14","0","129","0","4735","1","1","false"
"L24885","15","0","126","0","4735","1","2","false"
"L47314","1","0","14","0","4735","1","8","false"
"L47316","2","0","27","0","4735","1","9","false"
"L47317","4","0","67","0","4735","1","11","false"
"L47319","1","0","7","0","4735","1","1","false"
"L48956","15","0","118","0","4735","1","8","false"
"L48957","1","0","11","0","4735","1","3","false"
"L48959","13","0","91","2","4735","1","12","false"
"L48960","1","0","9","0","4735","1","1","false"
"L49052","1","0","14","0","4735","1","7","false"
"L49054","1","0","20","0","4735","1","4","false"
"L49055","50","0","227","1","4735","1","55","false"
"L50056","1","0","4","0","4735","1","1","false"
"L50058","1","0","41","0","4735","1","1","false"
"L50059","1","0","4","0","4735","1","3","false"
"L50060","1","0","4","0","4735","1","2","false"
"L50061","16","0","166","1","4735","1","19","false"
"L50063","1","0","20","0","4735","1","5","false"
"L50064","1","0","8","0","4735","1","1","false"
"L50065","1","0","38","0","4735","1","1","false"
"L50601","1","0","35","0","4735","1","4","false"
"L50602","1","0","5","0","4735","1","1","false"
"L50603","3","0","45","0","4735","1","6","false"
"L50604","1","0","4","0","4735","1","1","false"
"L50605","3","0","18","0","4735","1","2","false"
"L50606","1","0","10","0","4735","1","4","false"
"L50607","1","0","11","0","4735","1","2","false"
"L50608","1","0","29","0","4735","1","5","false"
"L50611","1","0","13","0","4735","1","2","false"
"L50612","1","0","11","0","4735","1","2","false"
"L50613","8","0","40","0","4735","1","1","false"
"L73384","1","0","11","0","319","1","1","false"
"L73385","1","0","12","0","4735","1","2","false"
"L73386","1","0","12","0","4735","1","1","false"
"L73387","1","0","16","0","4735","1","2","false"
"L73388","1","0","16","0","4735","1","2","false"
"L73389","1","0","30","0","4735","1","4","false"
"L73390","1","0","33","0","4735","1","13","false"
"L73391","1","0","20","0","4735","1","8","false"
"L73392","10","0","67","0","4735","1","6","false"
"L73393","16","0","255","0","4735","2","48","false"
"L73394","1","0","12","0","4735","1","2","false"
"L73395","1","0","12","0","4735","1","1","false"
"L73396","1","0","16","0","4735","1","2","false"
"L73397","1","0","11","0","4735","1","2","false"
"L73398","1","0","86","0","4735","1","5","false"
"L73399","1","0","15","0","4735","1","3","false"
"L74687","7","0","68","0","4735","1","3","false"
"L74690","2","0","43","0","4735","1","3","false"
"L74692","27","0","175","0","4735","1","10","false"
"L74697","91","0","454","0","4735","1","4","false"
"L75223","10","0","93","0","4735","1","8","false"
"L75224","1","0","47","0","4735","1","5","false"
"L76903","1","0","11","0","4735","1","3","false"
"L76904","1","0","50","0","4735","1","4","false"
"L76905","1","0","13","0","4735","1","1","false"
"L76906","1","0","1","0","4735","1","2","false"
"L77082","1","0","33","0","4735","2","11","false"
"L77083","2","0","31","0","4735","1","1","false"
"L77084","1","0","18","0","4735","2","11","false"
"L77085","42","0","240","1","4735","1","13","false"
"L77086","2","0","32","0","4735","1","5","false"
"L77087","32","0","203","0","4735","2","17","false"
"L77088","2","0","31","0","4735","1","5","false"
"L77303","1","0","15","0","4735","1","1","false"
"L77304","1","0","11","0","4735","1","1","false"
"L77305","1","0","25","0","4735","1","1","false"
"L77306","1","0","4","0","4735","1","1","false"
"L77307","16","0","88","1","4735","1","12","false"
"L77308","1","0","4","0","4735","1","1","false"
"L77309","1","0","20","0","4735","1","5","false"
"L77310","1","0","32","2","4735","1","18","false"
"L77311","1","0","13","0","4735","1","3","false"
"L77312","1","0","64","0","4735","1","2","false"
"L77313","1","0","21","0","4735","1","5","false"
"L77314","5","0","55","0","4735","1","4","false"
"L77315","6","0","85","0","4735","1","7","false"
"L77316","10","0","52","0","4735","1","3","false"
"L78954","1","0","19","0","4735","1","1","false"
"L78955","1","0","5","0","4735","1","1","false"
"L78956","1","0","4","0","4735","1","1","false"
"L78957","2","0","18","0","4735","1","1","false"
"L78958","1","0","20","0","2","2","2","false"
"L78959","6","0","56","0","4735","1","2","false"
"L78960","10","0","35","0","4735","1","1","false"
"L78961","1","0","11","0","4735","1","1","false"
"L78962","1","0","17","0","4735","1","1","false"
"L78963","1","0","33","0","4735","1","1","false"
"L78964","1","0","27","0","4735","1","2","false"
"L78965","1","0","19","0","4735","1","1","false"
"L78966","20","0","181","2","4735","1","5","false"
"L78967","1","0","12","0","4735","1","1","false"
"L80255","1","0","13","0","4735","1","2","false"
"L80256","1","0","8","0","4735","1","1","false"
"L80257","1","0","13","0","4735","1","2","false"
"L80258","1","0","13","0","4735","1","2","false"
"L80259","1","0","51","0","4735","1","3","false"
"L80260","1","0","15","0","4735","1","2","false"
"L80261","1","0","8","0","4735","1","5","false"
"L80262","2","0","47","0","4735","1","1","false"
"L80263","1","0","6","0","4735","1","2","false"
"L80264","1","0","14","0","4735","1","8","false"
"L80265","1","0","10","0","4735","1","1","false"
"L80266","6","0","51","0","4735","1","3","false"
"L80267","20","0","164","1","4735","1","11","false"
"L80268","1","0","14","0","4735","1","4","false"
"L81563","3","0","36","0","4735","1","4","false"
"L81564","3","0","22","0","4735","1","4","true"
"L81565","1","0","12","0","4735","1","2","false"
"L81566","1","0","16","0","4735","1","1","false"
"L81567","1","0","37","0","4735","1","15","false"
"L81568","1","0","11","0","4735","1","4","false"
"L81569","1","0","12","0","4735","1","6","false"
"L81570","1","0","34","0","4735","1","6","false"
"L81571","1","0","6","0","4735","1","3","false"
"L81572","1","0","14","0","4735","1","3","false"
"L81573","1","0","9","1","4735","1","1","false"
"L81574","1","0","7","0","4735","1","2","false"
"L81575","54","0","478","1","4735","3","48","false"
"L81576","15","0","87","0","4735","1","7","false"
"L81577","1","0","13","0","4735","1","1","false"
"L92165","19","0","227","1","4735","1","20","true"
"L92166","1","0","12","0","4735","1","7","false"
"L92261","1","0","11","0","4735","1","1","false"
"L92262","5","0","41","0","4735","1","2","false"
"L92263","1","0","5","0","4735","1","1","false"
"L92264","1","0","4","0","4735","1","2","false"
"L92265","1","0","4","0","4735","1","2","false"
"L92267","1","0","21","0","4735","1","5","false"
"L92269","1","0","12","0","4735","1","3","false"
"L92270","1","0","10","0","4735","1","2","false"
"L92271","1","0","10","0","4735","1","1","false"
"L92273","8","0","60","0","4735","1","6","false"
"L92274","1","0","7","0","4735","1","4","false"
"L92275","1","0","14","0","4735","1","3","false"
"L92276","1","0","9","0","4735","1","2","false"
"L92278","3","0","8","0","4735","1","8","false"
"L92279","1","0","19","0","4735","1","12","false"
"L92280","1","0","9","0","4735","1","2","false"
"L92281","1","0","6","0","4735","1","1","false"
"L92282","1","0","10","0","4735","1","1","false"
"L92283","1","0","8","0","4735","1","1","false"
"L92284","1","0","41","0","4735","1","3","false"
"L92285","2","0","28","0","4735","1","3","false"
"L92286","1","0","7","0","4735","1","2","false"
"L92287","1","0","52","0","2","2","6","false"
"L92288","1","0","8","0","4735","1","4","false"
"L92289","1","0","15","0","4735","1","3","false"
"L92291","19","0","279","0","4735","1","36","false"
"L92292","1","0","8","0","4735","1","3","false"
"L92294","1","0","38","0","4735","1","7","false"
"L92295","1","0","21","0","4735","1","3","false"
"L2088","1","0","1","0","4735","1","1","false"
