"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L2545","ElasticSearchException","org.elasticsearch.ElasticSearchException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchException.java","29","1","163","2","0","0","0","0","0","0","0","0","3","3","3","24","3","224","129","1","9","1","0.374046","49","49","9","0","0.374046","49","0","0","46","135","0","82","135","0","3","0","3","8","0","8","0","8","45","0","8","0","82","135","0","3","0","3","8","0","8","0","8","45","0","8","0","0","0","9","0","3","0","0","0","0","0","0","1","0","0","0","0","0","3","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5147","ElasticSearchGenerationException","org.elasticsearch.ElasticSearchGenerationException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchGenerationException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","16","42","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3311","ElasticSearchIllegalArgumentException","org.elasticsearch.ElasticSearchIllegalArgumentException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchIllegalArgumentException.java","27","1","45","2","0","0","0","0","0","0","0","0","1","0","0","4","2","105","120","2","6","0.2","0.166667","3","3","1","4","0.166667","3","1","1","0","0","1","15","19","0","3","0","0","4","0","4","0","12","4","0","12","0","15","19","0","3","0","0","4","0","4","0","12","4","0","12","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1852","ElasticSearchIllegalStateException","org.elasticsearch.ElasticSearchIllegalStateException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchIllegalStateException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","47","60","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","1","1","1","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17677","ElasticSearchInterruptedException","org.elasticsearch.ElasticSearchInterruptedException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchInterruptedException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","6","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44535","ElasticSearchNullPointerException","org.elasticsearch.ElasticSearchNullPointerException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchNullPointerException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","6","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13460","ElasticSearchParseException","org.elasticsearch.ElasticSearchParseException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchParseException.java","27","1","41","2","0","0","0","0","0","0","0","0","1","0","0","3","2","15","17","2","5","0.25","0.2","3","3","1","3","0.2","3","1","1","0","0","1","12","15","0","3","0","0","3","0","3","0","11","3","0","11","0","12","15","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17705","ElasticSearchTimeoutException","org.elasticsearch.ElasticSearchTimeoutException","L2459","L103","src\main\java\org\elasticsearch\ElasticSearchTimeoutException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50338","ExceptionsHelper","org.elasticsearch.ExceptionsHelper","L2459","L103","src\main\java\org\elasticsearch\ExceptionsHelper.java","28","1","90","2","0","0","0","0","0","0","0","0","2","5","5","15","3","31","35","2","5","0.25","0.0645161","4","3","1","3","0.0645161","4","0","0","0","0","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","0","0","12","0","5","0","0","0","0","0","0","1","0","2","0","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"L25292","Version","org.elasticsearch.Version","L2459","L103","src\main\java\org\elasticsearch\Version.java","32","1","168","2","0.109091","2","26","4","0.182482","0.214286","25","24","2","2","1","27","4","12","8","4","14","0.2","0.157895","21","8","2","8","0.157895","21","0","0","0","0","0","112","137","33","0","33","0","10","33","9","0","10","39","33","9","0","112","137","33","0","33","0","10","33","9","0","10","39","33","9","0","0","0","44","1","12","0","0","0","0","11","0","1","0","1","2","0","0","8","23","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","8","0","0","0","0","0","0"
"L2496","Action<Request extends ActionRequest, Response extends ActionResponse, RequestBuilder extends ActionRequestBuilder<Request, Response>>","org.elasticsearch.action.Action","L2472","L103","src\main\java\org\elasticsearch\action\Action.java","27","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","5","18","14","1","3","0.5","0.3","3","3","1","1","0.3","3","1","1","13","13","1","7","9","1","0","0","0","2","0","1","0","8","1","0","6","0","7","9","1","0","0","0","2","0","1","0","8","1","0","6","0","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"L2586","ActionModule","org.elasticsearch.action.ActionModule","L2472","L103","src\main\java\org\elasticsearch\action\ActionModule.java","114","1","238","2","0","0","0","0","0","0","0","0","1","3","3","7","108","2","2","9","12","0.666667","0.156863","16","12","2","1","0.142857","16","2","2","0","0","1","86","112","3","4","2","0","3","0","2","0","25","54","0","3","0","96","125","6","4","5","0","4","3","2","0","26","57","3","3","0","0","0","20","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0"
"L2939","ActionRequestValidationException","org.elasticsearch.action.ActionRequestValidationException","L2472","L103","src\main\java\org\elasticsearch\action\ActionRequestValidationException.java","30","1","62","2","0","0","0","0","0","0","0","0","1","1","1","7","1","46","3","1","6","0.166667","0.1","3","3","1","5","0.1","3","1","1","0","0","1","27","33","1","4","1","1","5","0","5","0","13","11","0","13","0","27","33","1","4","1","1","5","0","5","0","13","11","0","13","0","0","0","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
