"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L2461","ElasticSearchException.java","src/main/java/org/elasticsearch/ElasticSearchException.java","L2460","17","0","84","0","4735","1","2","0"
"L2462","ElasticSearchGenerationException.java","src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L2460","1","0","9","0","4735","1","2","0"
"L2463","ElasticSearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L2460","1","0","17","0","4735","1","2","0"
"L2464","ElasticSearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticSearchIllegalStateException.java","L2460","1","0","12","0","4735","1","2","0"
"L2465","ElasticSearchInterruptedException.java","src/main/java/org/elasticsearch/ElasticSearchInterruptedException.java","L2460","1","0","9","0","4735","1","2","0"
"L2466","ElasticSearchNullPointerException.java","src/main/java/org/elasticsearch/ElasticSearchNullPointerException.java","L2460","1","0","12","0","4735","1","2","0"
"L2467","ElasticSearchParseException.java","src/main/java/org/elasticsearch/ElasticSearchParseException.java","L2460","1","0","14","0","4735","1","3","0"
"L2468","ElasticSearchTimeoutException.java","src/main/java/org/elasticsearch/ElasticSearchTimeoutException.java","L2460","1","0","9","0","4735","1","2","0"
"L2469","ElasticSearchWrapperException.java","src/main/java/org/elasticsearch/ElasticSearchWrapperException.java","L2460","1","0","4","0","4735","1","2","0"
"L2470","ExceptionsHelper.java","src/main/java/org/elasticsearch/ExceptionsHelper.java","L2460","13","0","61","0","4735","1","2","1"
"L2471","Version.java","src/main/java/org/elasticsearch/Version.java","L2460","18","0","119","0","4735","2","14","0"
"L2474","Action.java","src/main/java/org/elasticsearch/action/Action.java","L2473","1","0","9","0","11","2","5","0"
"L2475","ActionFuture.java","src/main/java/org/elasticsearch/action/ActionFuture.java","L2473","1","0","15","0","4735","1","2","0"
"L2476","ActionListener.java","src/main/java/org/elasticsearch/action/ActionListener.java","L2473","1","0","5","0","4735","1","2","0"
"L2477","ActionModule.java","src/main/java/org/elasticsearch/action/ActionModule.java","L2473","5","0","184","0","4735","2","3","0"
"L2478","ActionRequest.java","src/main/java/org/elasticsearch/action/ActionRequest.java","L2473","1","0","7","0","4735","1","2","0"
"L2479","ActionRequestBuilder.java","src/main/java/org/elasticsearch/action/ActionRequestBuilder.java","L2473","1","0","6","0","11","2","2","0"
"L2480","ActionRequestValidationException.java","src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L2473","3","0","31","0","4735","1","2","0"
"L2481","ActionResponse.java","src/main/java/org/elasticsearch/action/ActionResponse.java","L2473","1","0","4","0","4735","1","2","0"
"L2482","FailedNodeException.java","src/main/java/org/elasticsearch/action/FailedNodeException.java","L2473","1","0","12","0","4735","1","2","0"
"L2483","GenericAction.java","src/main/java/org/elasticsearch/action/GenericAction.java","L2473","1","0","23","0","11","2","2","0"
"L2484","ListenableActionFuture.java","src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L2473","1","0","5","0","4735","1","2","0"
"L2485","NoShardAvailableActionException.java","src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L2473","1","0","11","0","4735","1","2","0"
"L2486","NoSuchNodeException.java","src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L2473","1","0","6","0","4735","1","2","0"
"L2487","PrimaryMissingActionException.java","src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L2473","1","0","7","0","4735","1","2","0"
"L2488","RoutingMissingException.java","src/main/java/org/elasticsearch/action/RoutingMissingException.java","L2473","1","0","22","0","4735","1","2","0"
