@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L118","0.104678","6","63","11","0.0647392","0.0974678","206","204","6","13","9","415","13","15","27","20","73","1","0.388496","824","775","30","0","0.33281","1059","0","0","0","0","0","1297","2240","24","1","24","1","53","0","29","1","53","950","0","29","1","2123","3182","56","9","56","5","139","0","83","4","218","1475","0","135","4","0","17","405","23","536","0","12","278","0","72","0","7","0","59","84","7","0","155","225","10","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","2","35","22","3","1","11","0","false"
"L1227","0","0","0","0","0","0","0","0","3","3","3","25","3","0","0","5","18","1","0.508571","89","89","11","0","0.508571","89","1","1","0","0","1","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","0","0","7","2","13","0","0","4","0","0","0","1","0","0","3","0","0","3","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L1307","0","0","0","0","0","0","0","0","2","4","4","30","3","0","0","5","18","1","0.494118","84","84","11","0","0.494118","84","1","1","0","0","1","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","0","0","7","2","14","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L202","0","0","0","0","0","0","0","0","3","3","3","27","3","7","40","5","20","1","0.526012","91","91","13","0","0.526012","91","1","1","0","0","1","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","0","0","5","2","13","0","0","4","0","0","0","1","0","0","3","0","0","3","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L2087","0","0","0","0","0","0","0","0","1","1","1","21","3","0","0","12","27","1","0.655844","101","101","16","0","0.639241","101","0","0","0","0","0","53","160","3","0","3","0","15","0","15","0","15","26","0","15","0","57","164","3","0","3","0","16","0","16","0","16","27","0","16","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L2164","0","0","0","0","0","0","0","0","3","4","4","30","3","0","0","5","18","1","0.49375","79","79","11","0","0.49375","79","1","1","0","0","1","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","0","0","7","2","14","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L1553","0","0","0","0","0","0","0","0","2","0","0","21","1","4","56","10","30","1","0.895075","418","418","19","0","0.745675","431","0","0","0","0","0","49","402","3","5","3","5","20","0","18","0","20","21","0","18","0","147","531","6","8","6","8","35","0","24","0","35","71","0","24","0","0","0","35","1","24","0","0","4","0","0","0","2","0","0","11","0","0","8","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","false"
"L1229","0.158537","1","3","1","0.0613497","0.117647","20","20","1","11","7","38","3","4","12","2","9","1","0.363636","76","62","1","0","0.476923","155","0","0","4","4","0","133","285","8","1","8","1","7","0","0","0","7","79","0","0","0","170","326","27","1","27","1","12","0","2","0","12","87","0","2","0","0","1","48","7","55","0","0","13","0","20","0","0","0","5","17","0","0","19","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","7","5","0","1","0","0","false"
"L2452","0.50906","10","101","19","0.273504","0.471111","384","318","3","7","6","220","3","3","5","6","64","0.714286","0.523577","644","531","25","10","0.494465","670","0","0","0","0","0","586","1263","9","3","9","3","58","0","34","0","58","384","0","34","0","685","1404","19","3","19","3","77","0","38","0","87","423","0","44","0","0","4","253","11","168","0","4","82","0","138","0","3","0","20","36","0","0","42","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","10","6","0","3","5","0","false"
"L2776","0.291771","1","3","1","0.083682","0.196078","20","20","2","3","3","29","1","0","0","2","20","1","0.782511","349","348","12","0","0.773836","349","1","1","0","0","1","97","234","19","11","5","4","18","0","11","2","72","39","0","43","5","102","239","19","11","5","4","19","0","12","2","73","42","0","44","5","0","0","29","8","19","0","0","5","0","21","0","1","0","0","5","0","0","13","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","1","0","0","false"
"L2869","0.0314883","2","11","3","0.0151954","0.0310881","42","42","3","8","8","347","11","8","10","30","87","1","0.546981","1205","1070","32","0","0.527758","1521","0","0","0","0","0","998","2243","55","11","55","11","57","1","31","0","57","673","1","31","0","1361","2764","109","19","95","12","96","1","46","1","150","885","1","76","4","0","7","155","10","437","0","1","159","0","31","0","3","0","36","92","2","0","179","55","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","28","14","1","1","0","0","false"
