@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","584","0","2225","0","4735","1","4","false"
"L110","1","0","14","0","4735","1","1","false"
"L111","1049","0","4244","0","4735","1","5","false"
"L112","28","0","158","0","4735","1","3","false"
"L113","13","0","88","0","4735","1","2","false"
"L114","18","0","88","0","4735","1","2","false"
"L115","524","0","1705","0","4735","1","4","false"
"L116","160","0","723","0","4735","1","3","false"
"L117","4","0","38","0","4735","1","2","false"
"L118","13","0","85","0","4735","1","2","false"
"L119","7","0","62","0","4735","1","2","false"
"L120","18","0","83","0","4735","1","2","false"
"L121","1","0","11","0","4735","1","1","false"
"L122","1","0","16","0","4735","1","2","false"
"L123","306","0","810","0","4735","1","4","false"
"L124","35","0","174","0","4735","1","2","false"
"L7160","171","0","695","0","4735","1","2","false"
"L7161","27","0","157","0","4735","1","3","false"
"L7162","571","0","1755","0","4735","1","3","false"
"L7163","149","0","694","0","4735","1","3","false"
"L7164","4","0","38","0","4735","1","2","false"
"L7165","165","0","575","0","4735","1","2","false"
"L7166","1","0","1","0","4735","1","4","false"
"L7167","112","0","490","0","4735","1","2","false"
"L7168","1","0","11","0","4735","1","2","false"
"L7169","1","0","16","0","4735","1","3","false"
"L7170","10","0","67","0","4735","1","2","false"
"L7171","1","0","10","0","4735","1","1","false"
"L4602","11","0","114","0","4735","1","4","false"
"L4603","19","0","152","0","4735","1","4","false"
"L4604","254","0","1346","0","4735","1","2","false"
"L4605","20","0","158","0","4735","1","2","false"
"L11553","1","0","60","1","1466","2","3","false"
"L11554","16","0","78","1","1466","1","2","false"
"L11555","1","0","9","1","1466","1","2","false"
"L11556","1","0","17","1","1466","1","2","false"
"L11557","1","0","12","1","1466","1","2","false"
"L11558","1","0","12","1","1466","1","2","false"
"L11559","1","0","14","1","1466","1","2","false"
"L11560","1","0","9","1","1466","1","2","false"
"L11561","1","0","4","1","1466","1","2","false"
"L11562","16","0","81","3","1466","3","7","true"
"L11563","66","0","336","1","1466","8","83","true"
"L11569","1","0","9","1","1466","3","7","false"
"L11570","1","0","15","1","31","3","6","false"
"L11571","1","0","5","1","1466","2","3","false"
"L11572","5","0","257","1","762","9","27","false"
"L11573","1","0","31","1","1466","3","6","false"
"L11574","1","0","44","1","1466","4","8","false"
"L11575","3","0","31","1","1466","2","4","false"
"L11576","1","0","15","1","1466","2","4","false"
"L11577","1","0","12","1","1466","2","4","false"
"L11578","1","0","24","1","1466","3","4","false"
"L11579","1","0","5","1","1466","2","3","false"
"L11580","1","0","19","2","1466","2","4","false"
"L11581","1","0","6","1","1466","2","3","false"
