@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","1049","0","4244","0","12","4","11","false"
"L110","28","0","158","0","12","3","8","false"
"L111","13","0","88","0","4735","1","2","false"
"L112","18","0","88","0","4735","1","2","false"
"L113","524","0","1704","0","12","4","10","false"
"L114","160","0","723","0","12","4","9","false"
"L115","4","0","38","0","12","3","7","false"
"L116","13","0","85","0","4735","1","2","false"
"L117","18","0","83","0","4735","1","2","false"
"L118","35","0","174","0","4735","1","2","false"
"L119","10","0","67","0","12","2","4","false"
"L8640","1","0","60","1","1466","2","3","false"
"L8641","16","0","78","1","1466","1","2","false"
"L8642","1","0","9","1","1466","1","2","false"
"L8643","1","0","17","1","1466","1","2","false"
"L8644","1","0","12","1","1466","1","2","false"
"L8645","1","0","12","1","1466","1","2","false"
"L8646","1","0","14","1","1466","1","2","false"
"L8647","1","0","9","1","1466","1","2","false"
"L8648","1","0","4","1","1466","1","2","false"
"L8649","28","0","135","4","12","5","11","true"
"L8650","93","0","450","4","12","12","103","false"
"L8656","1","0","9","1","12","5","11","false"
"L8657","1","0","15","1","31","3","6","true"
"L8658","1","0","5","1","1466","2","3","false"
"L8659","6","0","285","1","474","14","41","false"
"L8660","1","0","31","1","1466","3","6","false"
"L8661","1","0","50","1","12","5","11","false"
"L8662","3","0","31","1","1466","2","5","false"
"L8663","1","0","15","1","12","4","6","false"
"L8664","2","0","15","1","12","2","2","false"
"L8665","1","0","8","0","12","3","4","false"
"L8666","1","0","5","0","12","2","2","false"
"L8667","1","0","12","1","1466","2","4","false"
"L8668","1","0","24","1","1466","3","4","false"
"L8669","1","0","6","0","12","2","2","false"
"L8670","1","0","5","1","1466","2","3","false"
"L8671","1","0","19","2","1466","2","4","false"
"L8672","1","0","6","1","1466","2","3","false"
"L8673","1","0","7","1","1466","2","4","false"
"L8674","1","0","27","1","1466","3","5","false"
"L8675","1","0","10","1","1466","3","4","false"
"L8676","15","0","70","1","1466","2","4","false"
"L8677","1","0","12","1","1466","2","4","true"
"L8678","3","0","50","2","12","6","11","false"
"L8679","2","0","20","1","1466","3","6","false"
"L8680","2","0","10","1","1466","3","3","false"
"L8681","9","0","39","1","1466","2","4","false"
"L41290","26","0","206","2","1466","6","14","true"
"L41291","1","0","9","0","1466","1","1","false"
"L41292","1","0","10","0","1466","1","2","false"
"L42198","1","0","136","1","12","14","24","false"
"L42199","1","0","128","1","1466","6","12","false"
"L42200","1","0","9","0","1466","1","1","false"
"L42201","1","0","92","0","1466","1","1","false"
"L42202","1","0","180","0","1466","10","27","false"
"L42204","1","0","193","0","21","9","15","false"
"L45621","1","0","38","0","474","2","3","true"
"L45622","20","0","112","1","762","3","6","false"
"L45623","1","0","17","0","230","1","1","false"
"L45624","1","0","5","0","230","1","1","false"
"L45625","1","0","48","1","474","3","8","false"
"L45626","7","0","51","0","1466","1","1","false"
"L45628","1","0","27","0","4735","4","7","true"
"L45629","55","0","473","2","1466","8","22","true"
"L45631","20","0","215","0","479","1","1","false"
"L45632","1","0","5","0","4735","1","1","true"
"L45633","3","0","31","0","230","1","1","true"
"L45634","1","0","21","0","1466","2","2","false"
"L45635","42","0","250","0","230","2","6","false"
"L45636","1","0","6","0","1466","1","2","false"
"L45637","1","0","4","0","4735","1","1","true"
"L45639","1","0","5","0","4735","1","4","true"
"L55560","128","0","950","0","244","3","5","true"
"L55561","51","0","61","0","479","2","2","false"
"L55562","14","0","80","0","319","2","2","false"
"L55563","1","0","15","0","34","2","2","false"
"L55564","6","0","37","1","4735","3","5","true"
"L55566","1","0","72","0","4735","1","2","false"
"L55567","10","0","59","0","246","3","4","false"
"L55568","27","0","167","0","1466","1","1","false"
"L55569","19","0","77","0","89","3","5","false"
"L55570","11","0","136","0","1466","1","2","false"
"L55571","196","0","879","0","38","10","19","false"
"L55572","19","0","139","1","1466","4","14","false"
"L84045","2","0","32","0","1466","2","2","false"
"L84046","1","0","23","0","1466","2","2","false"
"L84047","1","0","8","0","1466","2","2","false"
"L84048","1","0","24","0","474","2","6","true"
"L84049","1","0","10","0","1466","1","1","false"
"L84050","2","0","31","0","1466","2","2","false"
"L84051","7","0","88","0","4735","3","4","true"
"L84052","3","0","31","0","474","1","2","true"
"L84054","1","0","15","0","1466","2","3","false"
"L86024","16","0","130","0","4735","2","5","true"
"L86027","45","0","212","2","374","4","11","true"
"L86028","2","0","20","0","4735","1","1","false"
"L86178","1","0","14","0","4735","1","1","false"
"L86181","37","0","219","0","479","4","17","true"
"L87287","1","0","8","0","4735","1","1","false"
"L87289","1","0","64","0","474","2","3","false"
"L87290","1","0","4","0","4735","1","1","false"
"L87291","19","0","183","0","244","4","13","true"
"L87294","1","0","9","0","4735","1","1","false"
"L87295","1","0","52","0","811","2","2","false"
"L87904","1","0","30","0","4735","1","1","false"
"L87906","1","0","5","0","4735","1","1","false"
"L87907","3","0","48","0","1466","2","3","false"
"L87910","1","0","15","0","4735","1","2","false"
"L87913","1","0","13","0","4735","1","1","false"
"L87916","44","0","216","1","479","2","5","false"
"L123231","1","0","16","0","4735","1","1","false"
