"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L110","DoubleAdder.java","core/src/main/java/jsr166e/DoubleAdder.java","L109","13","0","88","0","1466","1","1","0"
"L111","DoubleMaxUpdater.java","core/src/main/java/jsr166e/DoubleMaxUpdater.java","L109","18","0","88","0","1466","1","1","0"
"L112","LongAdder.java","core/src/main/java/jsr166e/LongAdder.java","L109","13","0","85","0","1466","1","1","0"
"L113","LongMaxUpdater.java","core/src/main/java/jsr166e/LongMaxUpdater.java","L109","18","0","83","0","1466","1","1","0"
"L114","Striped64.java","core/src/main/java/jsr166e/Striped64.java","L109","35","0","174","0","1466","1","1","0"
"L2517","Build.java","core/src/main/java/org/elasticsearch/Build.java","L2516","1","0","64","0","1466","1","1","0"
"L2518","ElasticsearchCorruptionException.java","core/src/main/java/org/elasticsearch/ElasticsearchCorruptionException.java","L2516","4","0","19","0","1466","1","1","0"
"L2519","ElasticsearchException.java","core/src/main/java/org/elasticsearch/ElasticsearchException.java","L2516","25","0","185","0","1466","1","1","0"
"L2520","ElasticsearchGenerationException.java","core/src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L2516","1","0","9","0","1466","1","1","0"
"L2521","ElasticsearchNullPointerException.java","core/src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java","L2516","1","0","12","0","1466","1","1","0"
"L2522","ElasticsearchParseException.java","core/src/main/java/org/elasticsearch/ElasticsearchParseException.java","L2516","1","0","14","0","1466","1","1","0"
"L2523","ElasticsearchTimeoutException.java","core/src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java","L2516","1","0","9","0","1466","1","1","0"
"L2524","ElasticsearchWrapperException.java","core/src/main/java/org/elasticsearch/ElasticsearchWrapperException.java","L2516","1","0","4","0","1466","1","1","0"
"L2525","ExceptionsHelper.java","core/src/main/java/org/elasticsearch/ExceptionsHelper.java","L2516","46","0","210","0","1466","1","1","0"
"L2526","Version.java","core/src/main/java/org/elasticsearch/Version.java","L2516","115","0","545","0","1466","1","1","0"
"L2533","Action.java","core/src/main/java/org/elasticsearch/action/Action.java","L2532","1","0","9","0","1466","1","1","0"
"L2534","ActionFuture.java","core/src/main/java/org/elasticsearch/action/ActionFuture.java","L2532","1","0","15","0","1466","1","1","0"
"L2535","ActionListener.java","core/src/main/java/org/elasticsearch/action/ActionListener.java","L2532","1","0","5","0","1466","1","1","0"
"L2536","ActionListenerResponseHandler.java","core/src/main/java/org/elasticsearch/action/ActionListenerResponseHandler.java","L2532","1","0","23","0","1466","1","1","0"
"L2537","ActionModule.java","core/src/main/java/org/elasticsearch/action/ActionModule.java","L2532","6","0","279","0","1466","1","1","0"
"L2538","ActionRequest.java","core/src/main/java/org/elasticsearch/action/ActionRequest.java","L2532","1","0","22","0","1466","1","1","0"
"L2539","ActionRequestBuilder.java","core/src/main/java/org/elasticsearch/action/ActionRequestBuilder.java","L2532","1","0","47","0","1466","1","1","0"
"L2540","ActionRequestValidationException.java","core/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L2532","3","0","31","0","1466","1","1","0"
"L2541","ActionResponse.java","core/src/main/java/org/elasticsearch/action/ActionResponse.java","L2532","1","0","15","0","1466","1","1","0"
"L2542","ActionRunnable.java","core/src/main/java/org/elasticsearch/action/ActionRunnable.java","L2532","1","0","12","0","1466","1","1","0"
"L2543","ActionWriteResponse.java","core/src/main/java/org/elasticsearch/action/ActionWriteResponse.java","L2532","9","0","210","0","1466","1","1","0"
"L2544","AliasesRequest.java","core/src/main/java/org/elasticsearch/action/AliasesRequest.java","L2532","1","0","6","0","1466","1","1","0"
"L2545","CompositeIndicesRequest.java","core/src/main/java/org/elasticsearch/action/CompositeIndicesRequest.java","L2532","1","0","5","0","1466","1","1","0"
"L2546","DocumentRequest.java","core/src/main/java/org/elasticsearch/action/DocumentRequest.java","L2532","1","0","10","0","1466","1","1","0"
"L2547","FailedNodeException.java","core/src/main/java/org/elasticsearch/action/FailedNodeException.java","L2532","1","0","12","0","1466","1","1","0"
"L2548","GenericAction.java","core/src/main/java/org/elasticsearch/action/GenericAction.java","L2532","1","0","24","0","1466","1","1","0"
"L2549","IndicesRequest.java","core/src/main/java/org/elasticsearch/action/IndicesRequest.java","L2532","1","0","9","0","1466","1","1","0"
"L2550","LatchedActionListener.java","core/src/main/java/org/elasticsearch/action/LatchedActionListener.java","L2532","1","0","26","0","1466","1","1","0"
"L2551","ListenableActionFuture.java","core/src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L2532","1","0","4","0","1466","1","1","0"
"L2552","NoShardAvailableActionException.java","core/src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L2532","1","0","19","0","1466","1","1","0"
"L2553","NoSuchNodeException.java","core/src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L2532","1","0","6","0","1466","1","1","0"
"L2554","OriginalIndices.java","core/src/main/java/org/elasticsearch/action/OriginalIndices.java","L2532","1","0","32","0","1466","1","1","0"
"L2555","PrimaryMissingActionException.java","core/src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L2532","1","0","7","0","1466","1","1","0"
"L2556","RoutingMissingException.java","core/src/main/java/org/elasticsearch/action/RoutingMissingException.java","L2532","1","0","27","0","1466","1","1","0"
"L2557","ShardOperationFailedException.java","core/src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L2532","1","0","18","0","1466","1","1","0"
"L2558","ThreadingModel.java","core/src/main/java/org/elasticsearch/action/ThreadingModel.java","L2532","15","0","69","0","1466","1","1","0"
"L2559","TimestampParsingException.java","core/src/main/java/org/elasticsearch/action/TimestampParsingException.java","L2532","1","0","16","0","1466","1","1","0"
"L2560","TransportActionNodeProxy.java","core/src/main/java/org/elasticsearch/action/TransportActionNodeProxy.java","L2532","2","0","31","0","1466","1","1","0"
"L2561","UnavailableShardsException.java","core/src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L2532","2","0","20","0","1466","1","1","0"
"L2562","ValidateActions.java","core/src/main/java/org/elasticsearch/action/ValidateActions.java","L2532","2","0","10","0","1466","1","1","0"
"L2563","WriteConsistencyLevel.java","core/src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L2532","9","0","38","0","1466","1","1","0"
"L82436","NodeEnvironment.java","core/src/main/java/org/elasticsearch/env/NodeEnvironment.java","L82431","66","0","532","0","231","1","2","2"
"L82955","GatewayAllocator.java","core/src/main/java/org/elasticsearch/gateway/GatewayAllocator.java","L82950","86","0","432","1","479","1","1","0"
"L121560","IndicesService.java","core/src/main/java/org/elasticsearch/indices/IndicesService.java","L121549","68","0","572","0","474","1","1","0"
"L141412","SearchService.java","core/src/main/java/org/elasticsearch/search/SearchService.java","L141397","119","0","954","0","185","1","1","0"
"L176291","ResourceWatcherService.java","core/src/main/java/org/elasticsearch/watcher/ResourceWatcherService.java","L176285","11","0","125","0","244","1","1","0"
"L520","PrefixAnalyzer.java","core/src/main/java/org/apache/lucene/analysis/PrefixAnalyzer.java","L519","5","0","67","0","1466","1","1","0"
"L655","TrackingConcurrentMergeScheduler.java","core/src/main/java/org/apache/lucene/index/TrackingConcurrentMergeScheduler.java","L654","6","0","114","0","1466","1","1","0"
"L779","BlendedTermQuery.java","core/src/main/java/org/apache/lucene/queries/BlendedTermQuery.java","L778","49","0","268","0","1466","1","1","0"
"L780","ExtendedCommonTermsQuery.java","core/src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java","L778","4","0","56","0","1466","1","1","0"
"L1482","XFilteredDocIdSetIterator.java","core/src/main/java/org/apache/lucene/search/XFilteredDocIdSetIterator.java","L1481","10","0","59","0","1466","1","1","0"
"L2266","RateLimitedFSDirectory.java","core/src/main/java/org/apache/lucene/store/RateLimitedFSDirectory.java","L2265","7","0","68","0","1466","1","1","0"
"L2267","StoreRateLimiting.java","core/src/main/java/org/apache/lucene/store/StoreRateLimiting.java","L2265","6","0","56","0","1466","1","1","0"
