@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","13","0","74","1118","4","0","1","false"
"L115","1","0","62","86","3","0","2","false"
"L116","1","0","10","86","1","0","1","false"
"L117","10","0","70","1118","19","0","3","false"
"L118","1","0","5","575","2","0","1","false"
"L119","1","0","65","575","7","0","2","false"
"L120","7","0","81","86","3","0","1","false"
"L121","5","0","32","1118","6","0","2","false"
"L122","4","0","28","575","2","0","1","false"
"L123","6","0","53","1118","2","0","2","false"
"L124","1","0","16","86","1","0","1","false"
"L125","7","0","77","575","22","0","3","false"
"L126","1","0","76","575","15","0","3","false"
"L127","3","0","71","1118","20","0","3","false"
"L128","33","0","237","1118","41","0","3","false"
"L129","1","0","23","1118","4","0","2","false"
"L130","4","0","56","575","10","0","2","false"
"L131","1","0","8","1118","5","0","2","false"
"L132","27","0","188","575","12","0","2","false"
"L133","22","0","289","1118","71","0","3","false"
"L134","1","0","27","86","5","0","3","false"
"L135","15","0","77","1118","37","0","3","false"
"L136","12","0","75","1118","22","0","3","false"
"L137","1","0","9","575","1","0","1","false"
"L138","4","0","95","1118","3","0","2","false"
"L139","1","0","22","1118","7","0","2","false"
"L140","1","0","23","575","1","0","1","false"
"L141","1","0","34","1118","5","0","2","false"
"L142","1","0","22","1118","4","0","2","false"
"L143","3","0","72","86","10","0","3","false"
"L144","3","0","57","575","8","0","2","false"
"L145","11","0","298","1118","53","0","3","false"
"L146","5","0","68","1118","6","0","2","false"
"L147","4","0","67","575","1","0","1","false"
"L148","5","0","168","86","15","0","3","false"
"L149","8","0","34","575","5","0","2","false"
"L150","1","0","9","86","4","0","3","false"
"L151","51","0","264","1118","55","0","3","false"
"L152","21","0","211","1118","28","0","3","false"
"L153","1","0","11","86","5","0","3","false"
"L154","3","0","22","1118","12","0","3","false"
