"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L114","AsyncClientCall.java","hazelcast-client/src/main/java/com/hazelcast/client/AsyncClientCall.java","L113","14","0","74","1118","5","0","1","0"
"L115","AtomicNumberClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/AtomicNumberClientProxy.java","L113","1","0","60","2899","7","0","3","0"
"L116","AuthenticationException.java","hazelcast-client/src/main/java/com/hazelcast/client/AuthenticationException.java","L113","1","0","10","86","1","0","1","0"
"L117","Call.java","hazelcast-client/src/main/java/com/hazelcast/client/Call.java","L113","10","0","74","575","22","0","3","0"
"L118","ClientBinder.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientBinder.java","L113","1","0","6","2899","3","0","2","0"
"L119","ClientMapEntry.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientMapEntry.java","L113","1","0","65","575","7","0","2","0"
"L120","ClientProperties.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientProperties.java","L113","7","0","82","2899","6","0","3","0"
"L121","ClientRunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientRunnable.java","L113","6","0","40","2053","7","0","3","0"
"L122","ClientSerializer.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientSerializer.java","L113","4","0","28","1118","3","0","2","0"
"L123","ClientThreadContext.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientThreadContext.java","L113","5","0","48","1118","3","0","2","0"
"L124","ClusterClientException.java","hazelcast-client/src/main/java/com/hazelcast/client/ClusterClientException.java","L113","1","0","16","86","1","0","1","0"
"L125","ClusterClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ClusterClientProxy.java","L113","7","0","77","575","22","0","3","0"
"L126","CollectionClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/CollectionClientProxy.java","L113","1","0","77","575","16","0","3","0"
"L127","Connection.java","hazelcast-client/src/main/java/com/hazelcast/client/Connection.java","L113","3","0","70","2899","21","0","4","0"
"L128","ConnectionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/ConnectionManager.java","L113","41","0","278","2899","50","0","4","0"
"L129","Constants.java","hazelcast-client/src/main/java/com/hazelcast/client/Constants.java","L113","1","0","23","1118","4","0","2","0"
"L130","CountDownLatchClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/CountDownLatchClientProxy.java","L113","6","0","64","2899","3","0","1","0"
"L131","DefaultClientBinder.java","hazelcast-client/src/main/java/com/hazelcast/client/DefaultClientBinder.java","L113","4","0","54","2899","11","0","3","0"
"L132","EntryHolder.java","hazelcast-client/src/main/java/com/hazelcast/client/EntryHolder.java","L113","1","0","8","1118","5","0","2","0"
"L133","ExecutorServiceClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ExecutorServiceClientProxy.java","L113","27","0","189","575","13","0","2","0"
"L134","HazelcastClient.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClient.java","L113","24","0","315","2899","85","0","4","0"
"L135","IdGeneratorClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/IdGeneratorClientProxy.java","L113","1","0","27","86","5","0","3","0"
"L136","InRunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/InRunnable.java","L113","14","0","79","2899","39","0","4","0"
"L137","IORunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/IORunnable.java","L113","12","0","75","1118","23","0","3","0"
"L138","IOUtil.java","hazelcast-client/src/main/java/com/hazelcast/client/IOUtil.java","L113","1","0","9","575","1","0","1","0"
"L139","LifecycleServiceClientImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/LifecycleServiceClientImpl.java","L113","4","0","95","1118","3","0","2","0"
"L140","LightEntrySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightEntrySet.java","L113","1","0","22","1118","7","0","2","0"
"L141","LightEntrySetSet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightEntrySetSet.java","L113","1","0","23","575","1","0","1","0"
"L142","LightKeySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightKeySet.java","L113","1","0","34","1118","5","0","2","0"
"L143","LightMultiMapEntrySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightMultiMapEntrySet.java","L113","1","0","22","1118","4","0","2","0"
"L144","ListClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ListClientProxy.java","L113","4","0","102","1118","12","0","3","0"
"L145","LockClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/LockClientProxy.java","L113","4","0","70","2899","11","0","3","0"
"L146","MapClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/MapClientProxy.java","L113","12","0","300","1118","55","0","3","0"
"L147","MapEntryIterator.java","hazelcast-client/src/main/java/com/hazelcast/client/MapEntryIterator.java","L113","5","0","68","1118","6","0","2","0"
"L148","MapEntrySetIterator.java","hazelcast-client/src/main/java/com/hazelcast/client/MapEntrySetIterator.java","L113","4","0","67","575","1","0","1","0"
"L149","MultiMapClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/MultiMapClientProxy.java","L113","5","0","168","1118","16","0","3","0"
"L150","MultiMapEntryIterator.java","hazelcast-client/src/main/java/com/hazelcast/client/MultiMapEntryIterator.java","L113","8","0","34","575","5","0","2","0"
"L151","NoMemberAvailableException.java","hazelcast-client/src/main/java/com/hazelcast/client/NoMemberAvailableException.java","L113","1","0","9","86","4","0","3","0"
"L152","OutRunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/OutRunnable.java","L113","41","0","202","2899","63","0","4","0"
"L153","Packet.java","hazelcast-client/src/main/java/com/hazelcast/client/Packet.java","L113","21","0","237","1118","30","0","3","0"
"L154","PacketHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/PacketHandler.java","L113","1","0","11","86","5","0","3","0"
"L155","PacketReader.java","hazelcast-client/src/main/java/com/hazelcast/client/PacketReader.java","L113","3","0","22","1118","12","0","3","0"
"L156","PacketWriter.java","hazelcast-client/src/main/java/com/hazelcast/client/PacketWriter.java","L113","4","0","27","1118","12","0","3","0"
"L157","PartitionClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/PartitionClientProxy.java","L113","1","0","28","575","4","0","2","0"
"L158","ProxyHelper.java","hazelcast-client/src/main/java/com/hazelcast/client/ProxyHelper.java","L113","23","0","188","2899","35","0","4","0"
"L159","QueueClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/QueueClientProxy.java","L113","15","0","157","2899","17","0","4","0"
"L160","QueueItemIterator.java","hazelcast-client/src/main/java/com/hazelcast/client/QueueItemIterator.java","L113","4","0","36","575","1","0","1","0"
"L161","SemaphoreClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/SemaphoreClientProxy.java","L113","5","0","136","2899","4","0","3","0"
"L162","SetClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/SetClientProxy.java","L113","3","0","47","1118","12","0","3","0"
"L163","TopicClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/TopicClientProxy.java","L113","4","0","73","575","15","0","4","0"
"L164","TransactionClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/TransactionClientProxy.java","L113","1","0","25","575","9","0","2","0"
"L165","ValueCollection.java","hazelcast-client/src/main/java/com/hazelcast/client/ValueCollection.java","L113","10","0","82","1118","10","0","3","0"
"L166","ValueIterator.java","hazelcast-client/src/main/java/com/hazelcast/client/ValueIterator.java","L113","2","0","22","1118","8","0","2","0"
"L815","Bind.java","hazelcast-client/src/main/java/com/hazelcast/client/cluster/Bind.java","L814","1","0","25","1118","7","0","2","0"
"L1564","SimpleMapTest.java","hazelcast-client/src/main/java/com/hazelcast/client/examples/SimpleMapTest.java","L1563","15","0","102","1118","4","0","2","0"
"L1565","TestClientApp.java","hazelcast-client/src/main/java/com/hazelcast/client/examples/TestClientApp.java","L1563","10","0","73","2899","6","0","3","0"
"L2379","CollectionWrapper.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/CollectionWrapper.java","L2378","3","0","44","1118","7","0","3","0"
"L2380","EntryListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/EntryListenerManager.java","L2378","41","0","159","2899","9","0","3","0"
"L2381","InstanceListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/InstanceListenerManager.java","L2378","5","0","56","575","5","0","2","0"
"L2382","ItemListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/ItemListenerManager.java","L2378","1","0","45","575","6","0","2","0"
"L2383","ListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/ListenerManager.java","L2378","11","0","102","575","31","0","3","0"
"L2384","MembershipListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/MembershipListenerManager.java","L2378","5","0","41","575","5","0","2","0"
"L2385","MessageListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/MessageListenerManager.java","L2378","8","0","60","575","4","0","2","0"
"L2386","QueueItemListenerManager.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/QueueItemListenerManager.java","L2378","9","0","69","575","2","0","1","0"
"L2387","Values.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/Values.java","L2378","9","0","102","1118","7","0","2","0"
"L172","CallTest.java","hazelcast-client/src/test/java/com/hazelcast/client/CallTest.java","L171","2","0","63","575","1","0","1","0"
"L173","ClientRunnableTest.java","hazelcast-client/src/test/java/com/hazelcast/client/ClientRunnableTest.java","L171","3","0","62","2053","8","0","4","0"
"L174","CollectionClientProxyTest.java","hazelcast-client/src/test/java/com/hazelcast/client/CollectionClientProxyTest.java","L171","1","0","60","575","6","0","2","0"
"L175","ConnectionManagerTest.java","hazelcast-client/src/test/java/com/hazelcast/client/ConnectionManagerTest.java","L171","1","0","218","2899","8","0","4","0"
"L176","CountDownItemListener.java","hazelcast-client/src/test/java/com/hazelcast/client/CountDownItemListener.java","L171","1","0","17","1118","5","0","2","0"
"L177","CountDownLatchEntryListener.java","hazelcast-client/src/test/java/com/hazelcast/client/CountDownLatchEntryListener.java","L171","1","0","26","575","8","0","2","0"
"L178","HazelcastClientAtomicNumberTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientAtomicNumberTest.java","L171","1","0","71","86","2","0","1","0"
"L179","HazelcastClientClusterTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientClusterTest.java","L171","9","0","293","1118","17","0","3","0"
"L180","HazelcastClientCountDownLatchTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientCountDownLatchTest.java","L171","10","0","160","0","2","0","0","0"
"L181","HazelcastClientExecutorServiceTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientExecutorServiceTest.java","L171","8","0","190","575","27","0","2","0"
"L182","HazelcastClientIdGeneratorTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientIdGeneratorTest.java","L171","3","0","31","1118","8","0","2","0"
"L183","HazelcastClientListTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientListTest.java","L171","17","0","232","575","16","0","2","0"
"L184","HazelcastClientLockTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientLockTest.java","L171","2","0","59","1118","11","0","2","0"
"L185","HazelcastClientMapTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientMapTest.java","L171","43","0","906","1118","43","0","4","0"
"L186","HazelcastClientMultiMapTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientMultiMapTest.java","L171","21","0","380","1118","16","0","2","0"
"L187","HazelcastClientQueueTest.java","hazelcast-client/src/test/java/com/hazelcast/client/HazelcastClientQueueTest.java","L171","11","0","238","575","15","0","2","0"
