"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L114","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/impl/PlaceHolder.java","L113","1","0","5","1118","1","0","1","0"
"L122","TcpIpJoinerOverAWS.java","hazelcast-cloud/src/main/java/com/hazelcast/impl/TcpIpJoinerOverAWS.java","L121","4","0","34","2899","15","0","3","0"
"L30721","AWSClient.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/AWSClient.java","L30720","1","0","19","575","3","0","1","0"
"L30740","Constants.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/Constants.java","L30739","1","0","9","1118","2","0","2","0"
"L30741","DescribeInstances.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/DescribeInstances.java","L30739","1","0","59","1118","6","0","3","0"
"L30808","EC2RequestSigner.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/EC2RequestSigner.java","L30807","4","0","56","1118","5","0","3","0"
"L30809","RFC2104HMAC.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/RFC2104HMAC.java","L30807","2","0","25","1118","6","0","3","0"
"L30872","AwsURLEncoder.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/AwsURLEncoder.java","L30871","2","0","14","1118","2","0","2","0"
"L30873","CloudyUtility.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/CloudyUtility.java","L30871","35","0","154","1118","11","0","3","0"
"L128","TcpIpJoinerOverAWSTest.java","hazelcast-cloud/src/test/java/com/hazelcast/impl/TcpIpJoinerOverAWSTest.java","L127","1","0","32","1118","10","0","3","0"
"L30876","CloudyUtilityTest.java","hazelcast-cloud/src/test/java/com/hazelcast/aws/utility/CloudyUtilityTest.java","L30875","1","0","187","1118","2","0","2","0"
"L136","AbstractJoiner.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractJoiner.java","L135","29","0","165","831","15","1","5","0"
"L137","AbstractRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractRecord.java","L135","67","0","362","831","20","2","4","7"
"L138","AbstractSimpleRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractSimpleRecord.java","L135","4","0","223","2899","9","1","2","0"
"L139","AddressPicker.java","hazelcast/src/main/java/com/hazelcast/impl/AddressPicker.java","L135","24","0","128","2899","37","0","5","1"
"L140","AsyncCall.java","hazelcast/src/main/java/com/hazelcast/impl/AsyncCall.java","L135","8","0","56","1118","6","0","1","0"
"L141","AtomicNumberProxy.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxy.java","L135","1","0","11","2899","3","0","1","0"
"L142","AtomicNumberProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxyImpl.java","L135","8","0","185","1118","2","0","2","0"
"L143","BaseManager.java","hazelcast/src/main/java/com/hazelcast/impl/BaseManager.java","L135","158","0","1192","831","205","1","6","3"
"L144","BlockingQueueManager.java","hazelcast/src/main/java/com/hazelcast/impl/BlockingQueueManager.java","L135","146","0","1038","831","87","2","6","3"
"L145","CallContext.java","hazelcast/src/main/java/com/hazelcast/impl/CallContext.java","L135","2","0","47","1118","12","0","3","0"
"L146","ClientDistributedTask.java","hazelcast/src/main/java/com/hazelcast/impl/ClientDistributedTask.java","L135","1","0","43","575","5","0","2","0"
"L147","ClientEndpoint.java","hazelcast/src/main/java/com/hazelcast/impl/ClientEndpoint.java","L135","46","0","317","575","28","0","3","2"
"L148","ClientHandlerService.java","hazelcast/src/main/java/com/hazelcast/impl/ClientHandlerService.java","L135","131","0","1475","831","8","0","4","2"
"L149","ClientRequestHandler.java","hazelcast/src/main/java/com/hazelcast/impl/ClientRequestHandler.java","L135","6","0","61","2899","34","0","3","0"
"L150","ClientServiceException.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceException.java","L135","4","0","42","2899","4","0","3","0"
"L151","ClientServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceImpl.java","L135","4","0","48","2899","2","0","2","0"
"L152","ClusterOperation.java","hazelcast/src/main/java/com/hazelcast/impl/ClusterOperation.java","L135","1","0","141","1118","62","0","3","1"
