@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","5","1118","12","0","6","false"
"L122","4","0","34","1118","24","0","5","false"
"L33022","1","0","20","1118","21","0","6","true"
"L33041","1","0","8","1118","17","0","6","false"
"L33042","1","0","59","1118","17","0","6","true"
"L33109","4","0","56","1118","16","0","7","true"
"L33110","2","0","25","1118","17","0","6","false"
"L33171","2","0","14","1118","13","0","6","true"
"L33172","35","0","154","575","30","0","6","false"
"L128","1","0","32","1733","27","0","6","false"
"L33175","1","0","187","1118","13","0","6","false"
"L136","27","0","182","2899","35","1","5","false"
"L137","71","0","384","1733","56","10","8","false"
"L138","4","0","226","753","22","1","5","false"
"L139","64","0","317","831","73","2","7","false"
"L140","7","0","53","753","13","0","5","false"
"L141","1","0","11","1118","6","0","2","false"
"L142","8","0","185","1118","5","0","2","false"
"L143","186","0","1292","2899","257","7","7","true"
"L144","144","0","1034","753","125","8","7","true"
"L145","2","0","47","1118","12","0","3","false"
"L146","2","0","22","753","8","0","4","false"
"L147","1","0","43","1118","6","0","2","false"
"L148","48","0","326","831","63","7","7","false"
"L149","127","0","1490","831","69","5","7","true"
"L150","6","0","61","831","48","0","6","true"
"L151","4","0","42","1118","9","0","3","false"
"L152","4","0","48","1118","5","0","3","false"
"L153","1","0","147","831","79","1","4","false"
"L154","407","0","1737","2899","321","18","8","false"
"L155","639","0","3896","2899","484","27","10","true"
"L156","3","0","77","753","22","0","5","false"
"L157","1","0","17","1118","8","0","2","false"
"L158","11","0","176","1118","8","0","2","false"
"L159","7","0","50","831","14","0","5","false"
"L160","1","0","20","831","12","0","4","false"
"L161","1","0","18","831","9","0","3","false"
"L162","3","0","39","2899","3","0","2","false"
"L163","1","0","62","1118","8","0","2","false"
"L164","15","0","96","1733","38","2","7","true"
"L165","3","0","58","2899","6","0","3","false"
"L166","1","0","6","575","7","0","4","false"
"L167","30","0","176","831","19","2","3","false"
"L168","1","0","46","2899","7","0","2","false"
"L169","1","0","6","1118","4","0","2","false"
"L170","1","0","8","1118","8","0","3","false"
"L171","73","0","636","831","108","6","7","false"
"L172","12","0","96","1118","25","0","3","false"
"L173","7","0","64","831","18","0","4","false"
"L174","115","0","815","831","267","3","8","true"
"L175","2","0","10","2899","11","0","4","false"
"L176","5","0","291","2899","114","3","6","false"
"L177","1","0","5","1118","3","0","1","false"
"L178","1","0","4","1118","5","0","2","false"
"L179","9","0","103","1118","6","0","3","false"
"L180","1","0","4","1733","4","0","3","false"
"L181","1","0","20","2899","10","0","2","false"
"L182","1","0","4","2899","3","0","2","false"
"L183","1","0","10","2899","14","1","3","false"
"L184","6","0","52","831","15","0","5","false"
"L185","9","0","128","575","33","0","5","false"
"L186","86","0","416","831","96","0","6","false"
"L187","1","0","4","1118","4","0","2","false"
"L188","4","0","121","1118","16","0","4","false"
"L189","1","0","4","753","2","0","2","false"
"L190","1","0","7","1118","5","0","2","false"
"L191","10","0","181","575","18","0","5","true"
"L192","4","0","36","1118","6","0","1","false"
"L193","1","0","6","831","6","1","3","false"
"L194","16","0","167","1118","31","1","4","false"
"L195","4","0","46","1118","9","0","2","false"
"L196","1","0","19","2899","15","1","4","false"
"L197","51","0","879","2899","76","5","7","false"
"L198","34","0","170","2899","41","4","5","false"
"L199","1","0","4","1118","1","0","1","false"
"L200","21","0","149","575","36","0","4","false"
"L201","1","0","6","1118","7","0","3","false"
"L202","7","0","283","575","14","1","4","false"
"L203","1","0","27","1118","8","0","2","false"
"L204","42","0","236","753","21","1","5","false"
"L205","1","0","10","2899","3","0","2","false"
"L206","56","0","521","2899","241","3","7","false"
"L207","1","0","24","2899","27","0","4","false"
"L208","23","0","74","2899","16","1","5","false"
"L209","5","0","28","1118","3","0","1","false"
"L210","18","0","97","575","5","0","2","false"
"L211","197","0","964","2899","189","9","5","false"
"L212","27","0","174","575","42","0","4","false"
"L213","1","0","4","1118","5","0","2","false"
"L214","1","0","19","1118","7","0","2","false"
"L215","1","0","7","1118","10","0","3","false"
"L216","25","0","306","1118","14","0","3","false"
"L217","1","0","100","1733","89","1","7","false"
"L218","7","0","249","2899","65","4","5","false"
"L219","1","0","11","1118","8","0","2","false"
"L220","1","0","14","1118","6","0","2","false"
"L221","24","0","389","575","9","0","4","false"
"L222","1","0","5","1118","10","2","3","false"
"L223","7","0","178","1118","12","2","4","false"
"L224","1","0","37","2899","12","0","3","false"
"L225","7","0","47","2899","29","1","5","false"
"L226","1","0","4","1118","3","0","1","false"
"L227","79","0","395","2899","68","5","5","false"
"L228","41","0","565","2899","31","2","3","false"
"L229","17","0","191","753","63","0","4","false"
"L230","11","0","119","2899","33","2","5","false"
"L231","1","0","8","1118","9","0","3","false"
"L232","7","0","128","1118","13","0","3","false"
"L233","84","0","405","575","78","9","4","true"
"L234","1","0","15","2899","8","0","2","false"
"L235","17","0","109","575","19","0","4","false"
"L236","6","0","32","2899","11","0","2","false"
"L30804","1","0","18","575","17","0","6","false"
"L30805","1","0","6","2899","2","0","2","false"
"L30806","1","0","6","1118","4","0","3","false"
"L30807","1","0","7","2899","2","0","2","false"
"L30808","1","0","5","575","1","0","1","false"
"L30809","1","0","9","1733","12","0","6","false"
"L30810","33","0","264","575","42","0","7","false"
"L30811","1","0","9","2899","5","0","2","false"
"L30812","1","0","11","1118","3","0","2","false"
"L30813","1","0","59","831","30","0","7","false"
"L30814","3","0","22","1118","5","0","1","false"
"L30815","1","0","8","1118","8","0","1","false"
"L30816","1","0","5","575","9","0","4","false"
"L30817","9","0","185","1733","74","1","7","false"
"L30818","1","0","15","2899","2","0","1","false"
"L30819","1","0","34","1733","77","0","7","false"
"L30820","1","0","4","1118","4","0","1","false"
"L30821","1","0","23","1118","20","0","5","false"
"L30822","1","0","7","831","15","0","5","false"
"L30823","1","0","12","575","17","0","5","false"
"L30824","1","0","5","1733","14","0","5","false"
"L30825","1","0","4","831","8","0","4","false"
"L30826","1","0","9","575","30","0","6","false"
"L30827","1","0","62","575","113","0","6","false"
"L30828","12","0","78","831","23","0","6","false"
"L30829","1","0","30","831","8","0","5","false"
"L30830","1","0","30","831","7","0","3","false"
"L30831","1","0","6","1118","5","0","1","false"
"L30832","1","0","6","2899","20","1","5","false"
"L30833","1","0","36","831","17","0","6","false"
"L30834","1","0","4","831","10","0","5","false"
"L30835","1","0","33","2899","9","0","5","false"
"L30836","3","0","20","1118","2","0","1","false"
"L30837","1","0","6","1118","6","0","1","false"
"L30838","1","0","9","831","14","0","6","false"
"L30839","5","0","43","831","13","0","5","false"
"L30840","1","0","5","1118","4","0","2","false"
"L30841","1","0","11","831","6","0","3","false"
"L30842","1","0","4","575","9","0","4","false"
"L30843","1","0","13","753","10","0","5","false"
"L30844","1","0","9","1118","9","0","1","false"
"L30845","1","0","6","1118","3","0","1","false"
"L30846","1","0","9","1118","8","0","1","false"
"L30847","1","0","5","1118","2","0","2","false"
"L30848","1","0","16","1733","23","0","5","false"
"L30849","1","0","28","575","21","0","5","false"
"L30850","2","0","28","831","12","0","4","false"
"L30851","1","0","6","1118","7","0","1","false"
"L30852","1","0","12","831","6","0","5","false"
"L30853","1","0","5","1118","8","0","2","false"
"L30854","1","0","35","575","35","0","6","false"
"L30855","1","0","25","575","10","0","4","false"
"L30856","1","0","8","2899","3","0","1","false"
"L30857","1","0","14","575","8","0","3","false"
"L30858","1","0","17","575","6","0","2","false"
"L30859","1","0","4","1118","3","0","1","false"
"L30860","1","0","28","831","26","2","6","true"
"L30861","1","0","8","2899","8","0","3","false"
"L30862","1","0","4","575","8","0","4","false"
"L30863","1","0","16","575","18","0","5","false"
"L36893","1","0","12","2899","14","0","2","false"
"L36894","1","0","21","1118","8","0","2","false"
"L36895","1","0","18","1118","10","0","2","false"
"L36896","1","0","34","1118","16","0","2","false"
"L36897","3","0","33","2899","8","0","2","false"
"L36898","3","0","47","2899","18","1","2","false"
"L36899","18","0","129","2899","52","1","4","false"
"L36900","174","0","949","2899","161","8","6","false"
"L36901","35","0","270","831","154","2","8","false"
"L36902","4","0","14","2899","15","0","2","false"
"L36903","1","0","7","2899","15","0","2","false"
"L36904","2","0","73","1733","25","0","6","false"
"L36905","6","0","98","575","49","0","7","false"
"L36906","1","0","36","2899","17","0","2","false"
"L36907","10","0","74","1733","17","0","5","false"
"L36908","4","0","31","831","18","0","3","false"
"L36909","10","0","80","575","26","2","4","false"
"L36910","1","0","6","1118","10","0","4","false"
"L36911","1","0","7","1118","8","0","2","false"
"L36912","1","0","30","575","20","0","3","false"
"L37759","19","0","130","1118","8","0","4","true"
"L37760","3","0","99","831","10","0","4","false"
"L37761","1","0","72","1118","11","0","3","false"
"L37762","2","0","22","575","8","0","4","false"
"L37763","83","0","709","575","110","0","8","true"
"L37764","1","0","4","1733","9","0","4","false"
"L37765","10","0","55","1733","5","0","4","false"
"L37766","61","0","359","2899","80","2","7","true"
"L37767","1","0","43","2899","7","0","2","false"
"L37768","1","0","49","2899","8","0","2","false"
"L37769","4","0","85","1733","33","0","7","false"
"L37770","1","0","22","575","8","0","4","false"
"L37771","11","0","73","831","9","0","4","false"
"L37772","3","0","20","575","8","0","4","false"
"L37773","6","0","68","831","16","0","4","false"
"L37774","1","0","38","2899","8","0","2","false"
"L37775","1","0","45","831","14","0","5","false"
"L37776","1","0","42","1118","8","0","3","false"
"L37777","2","0","53","2899","7","0","2","false"
"L37778","1","0","43","831","4","0","2","false"
"L37779","58","0","421","753","101","0","8","false"
"L37780","1","0","38","1733","6","0","4","false"
"L37781","1","0","77","1118","12","0","3","false"
"L37782","2","0","46","575","12","0","6","false"
"L37783","1","0","24","1118","3","0","2","false"
"L37784","1","0","42","1118","2","0","1","false"
"L37785","1","0","88","831","15","0","4","false"
"L37786","2","0","70","1733","22","0","6","false"
"L37787","3","0","78","575","10","0","4","true"
"L37788","7","0","175","1733","24","0","7","false"
"L37789","1","0","60","2899","7","0","2","false"
"L37790","5","0","86","2899","9","0","2","false"
"L37791","1","0","43","2899","8","0","2","false"
"L37792","8","0","83","1733","44","0","7","true"
"L37793","1","0","73","2899","7","0","2","false"
"L37794","3","0","86","575","9","0","5","false"
"L37795","1","0","54","2899","7","0","2","false"
"L37796","1","0","51","2899","3","0","2","false"
"L37797","6","0","97","831","10","0","4","false"
"L37798","15","0","124","831","18","0","4","false"
"L37799","8","0","74","1733","18","0","6","false"
"L37800","1","0","22","575","8","0","4","false"
"L37801","2","0","36","2899","9","0","2","false"
"L37802","1","0","26","575","9","0","5","false"
"L37803","2","0","62","2899","9","0","2","false"
"L37804","253","0","997","1733","159","0","8","true"
"L39900","33","0","525","575","26","1","7","false"
"L39901","13","0","92","1118","9","0","2","false"
"L39902","1","0","35","1118","4","0","1","false"
"L39903","1","0","4","575","1","0","1","false"
"L39904","20","0","209","1733","20","1","7","false"
"L39905","30","0","273","1118","7","1","3","false"
"L39906","19","0","133","1118","9","0","3","false"
"L39907","22","0","140","753","87","0","7","false"
"L39908","19","0","116","2899","8","0","4","false"
"L39909","7","0","68","1733","13","0","5","false"
"L39910","1","0","7","1118","4","0","2","false"
"L39911","224","0","1125","575","82","1","6","false"
"L41005","52","0","312","1733","10","0","3","false"
"L41006","1","0","67","1733","5","0","3","false"
"L41007","11","0","167","1733","18","0","5","false"
"L41008","1","0","44","1733","7","0","3","true"
"L41009","27","0","179","1733","23","0","6","false"
"L41010","1","0","10","1733","5","0","2","false"
"L41011","1","0","10","1733","5","0","2","false"
"L41012","1","0","10","1733","5","0","2","false"
"L41013","10","0","109","1733","10","0","3","true"
"L41014","2","0","26","753","10","0","5","true"
"L41015","18","0","173","575","51","0","8","true"
"L41016","6","0","101","1733","14","0","5","false"
"L41017","19","0","138","1733","13","0","4","true"
"L41018","2","0","35","1733","10","0","5","false"
"L41019","1","0","28","1733","8","0","3","true"
"L41020","15","0","76","1733","14","0","5","false"
"L41021","8","0","114","1733","11","0","4","true"
"L41022","1","0","42","1733","2","0","1","true"
"L41023","10","0","109","1733","10","0","3","true"
"L41024","1","0","12","1733","5","0","2","false"
"L41025","6","0","79","1733","10","0","4","true"
"L41902","1","0","9","1118","1","0","1","false"
"L41903","18","0","85","2899","4","0","2","false"
"L41904","1","0","27","1118","1","0","1","false"
"L41905","14","0","53","1118","10","0","3","false"
"L41906","1","0","4","1118","1","0","1","false"
"L41907","3","0","18","575","4","0","3","false"
"L41908","1","0","7","575","6","0","4","false"
"L41909","18","0","125","575","21","0","5","false"
"L41910","1","0","4","1118","1","0","1","false"
"L41911","1","0","22","1118","1","0","1","false"
"L41912","15","0","72","2899","2","0","2","false"
"L41913","1","0","35","2899","4","0","2","false"
"L42189","3","0","11","753","6","0","4","false"
"L42190","4","0","16","831","10","0","4","false"
"L42191","4","0","16","831","10","0","4","false"
"L42192","1","0","6","1118","3","0","1","false"
"L42193","2","0","14","753","6","0","5","false"
"L42216","1","0","43","575","7","0","4","false"
"L42217","3","0","63","575","12","1","6","false"
