"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L112","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java","L111","1","0","3","2053","7","0","6","0"
"L129","HazelcastClient.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClient.java","L128","18","0","337","831","315","10","11","1"
"L130","HazelcastClientManagedContext.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClientManagedContext.java","L128","3","0","23","831","4","0","3","0"
"L131","HazelcastClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClientProxy.java","L128","4","0","127","831","36","0","6","0"
"L132","LifecycleServiceImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/LifecycleServiceImpl.java","L128","6","0","71","831","32","1","7","0"
"L133","LoadBalancer.java","hazelcast-client/src/main/java/com/hazelcast/client/LoadBalancer.java","L128","1","0","8","831","12","0","4","0"
"L199","ClientConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientConfig.java","L198","8","0","217","831","72","1","10","0"
"L200","ProxyFactoryConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ProxyFactoryConfig.java","L198","1","0","23","1733","16","1","6","0"
"L201","SocketOptions.java","hazelcast-client/src/main/java/com/hazelcast/client/config/SocketOptions.java","L198","1","0","60","1733","20","1","6","0"
"L202","XmlClientConfigBuilder.java","hazelcast-client/src/main/java/com/hazelcast/client/config/XmlClientConfigBuilder.java","L198","66","0","288","753","39","1","8","0"
"L796","Authenticator.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Authenticator.java","L795","1","0","6","2053","8","0","3","0"
"L797","ClientConnectionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/ClientConnectionManager.java","L795","1","0","11","2053","21","0","6","1"
"L798","Connection.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Connection.java","L795","1","0","15","831","18","0","6","0"
"L799","ConnectionImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/ConnectionImpl.java","L795","6","0","111","831","26","1","5","1"
