@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","1","0","3","2053","7","0","6","false"
"L129","18","0","337","831","315","10","11","true"
"L130","3","0","23","831","4","0","3","false"
"L131","4","0","127","831","36","0","6","false"
"L132","6","0","71","831","32","1","7","false"
"L133","1","0","8","831","12","0","4","false"
"L199","8","0","217","831","72","1","10","false"
"L200","1","0","23","1733","16","1","6","false"
"L201","1","0","60","1733","20","1","6","false"
"L202","66","0","288","753","39","1","8","false"
"L796","1","0","6","2053","8","0","3","false"
"L797","1","0","11","2053","21","0","6","true"
"L798","1","0","15","831","18","0","6","false"
"L799","6","0","111","831","26","1","5","true"
"L800","1","0","8","1733","6","0","4","false"
"L801","2","0","23","831","13","0","6","true"
"L802","4","0","46","2899","18","0","6","false"
"L803","2","0","14","2053","11","0","5","false"
"L804","25","0","208","831","45","1","7","true"
"L805","1","0","6","1733","6","0","4","false"
"L806","7","0","45","1733","12","0","4","false"
"L2044","27","0","169","831","21","0","5","true"
"L2229","10","0","149","753","9","0","4","true"
"L2230","3","0","65","753","15","0","6","true"
"L2231","2","0","37","2053","5","0","3","false"
"L2232","4","0","53","753","17","0","6","true"
"L2233","31","0","369","753","25","5","6","true"
"L2234","5","0","53","831","11","0","5","true"
"L2235","3","0","74","831","20","0","5","true"
"L2236","5","0","95","753","23","4","6","true"
"L2237","31","0","492","831","63","2","7","true"
"L2238","16","0","238","753","26","0","6","true"
"L2239","14","0","207","753","25","0","5","true"
"L2240","5","0","92","753","16","0","6","true"
"L2241","1","0","7","831","20","0","5","true"
"L2242","3","0","59","753","15","0","6","true"
"L2243","2","0","42","2053","19","0","6","false"
"L4450","1","0","12","2053","9","0","3","false"
"L4451","1","0","44","831","14","0","5","false"
"L4452","1","0","13","2053","8","0","3","false"
"L4453","1","0","10","2053","10","0","4","false"
"L4454","1","0","11","2053","8","0","3","false"
"L4455","4","0","70","753","30","0","5","true"
"L4456","1","0","4","831","11","0","4","false"
"L4457","1","0","4","575","4","0","3","false"
"L4458","15","0","87","831","16","0","5","false"
"L4459","16","0","200","753","68","7","7","true"
"L4460","1","0","4","2053","5","0","4","false"
"L4461","1","0","6","2053","9","0","4","false"
"L5458","17","0","124","831","28","0","5","false"
"L5459","14","0","115","753","22","0","5","false"
"L6359","2","0","37","2053","9","0","6","false"
"L6360","10","0","48","1118","18","1","7","false"
"L6361","1","0","4","2053","8","0","5","false"
"L6362","3","0","19","2053","11","0","5","false"
"L6363","1","0","4","1733","2","0","2","false"
"L6364","1","0","7","1733","6","0","4","false"
"L6365","7","0","47","1733","3","0","2","false"
"L6366","3","0","16","831","5","0","2","false"
"L6367","3","0","16","791","8","0","5","false"
"L6368","1","0","18","831","5","0","2","false"
"L4607","81","0","532","831","116","2","7","true"
"L4608","2","0","57","753","20","1","7","false"
"L4609","3","0","46","2053","10","0","4","true"
"L4610","14","0","143","1733","23","0","5","false"
"L4611","2","0","29","2053","8","0","4","false"
"L5474","2","0","17","753","6","0","4","false"
"L5475","1","0","35","831","19","3","6","false"
"L5476","7","0","122","2053","31","4","6","false"
"L5477","5","0","76","753","21","3","6","true"
"L5478","2","0","44","753","17","0","5","false"
"L5479","4","0","66","753","25","3","6","false"
"L5480","1","0","35","831","19","3","6","false"
"L139","1","0","24","2053","17","0","5","false"
"L140","4","0","82","1733","16","3","7","false"
"L141","8","0","146","831","49","14","8","false"
"L142","2","0","78","2053","13","3","7","false"
"L143","15","0","109","753","10","0","3","false"
"L5461","1","0","48","831","12","0","5","false"
"L5462","1","0","87","2053","18","0","5","false"
"L5463","3","0","76","831","12","0","5","false"
"L5464","3","0","93","753","12","0","5","false"
"L5465","1","0","48","831","12","0","5","false"
"L5466","2","0","56","2053","11","0","5","false"
"L6541","1","0","55","2053","14","0","5","false"
"L6695","2","0","167","831","4","0","3","false"
"L6696","2","0","135","831","4","0","3","false"
"L6812","3","0","57","2053","15","0","5","false"
"L6841","1","0","23","753","14","2","7","false"
"L6842","9","0","120","753","24","2","7","false"
"L6843","1","0","17","2053","3","0","3","false"
"L6844","1","0","21","2899","6","1","3","false"
"L7008","1","0","39","2053","15","0","5","false"
"L7028","3","0","80","1733","5","0","2","false"
"L7029","3","0","51","1733","6","0","3","false"
"L7093","9","0","149","2053","17","0","6","false"
"L7152","2","0","49","831","5","0","3","false"
"L7153","20","0","512","831","42","4","6","false"
"L7154","1","0","11","2053","8","1","4","false"
"L7412","9","0","224","831","3","0","3","false"
"L7525","3","0","20","2053","5","0","2","false"
"L7526","2","0","16","2053","5","0","2","false"
"L7539","11","0","101","2053","11","0","6","false"
"L7540","12","0","255","2053","22","0","5","false"
"L7681","4","0","82","21","20","0","6","false"
"L7777","2","0","50","2053","14","0","5","false"
"L151","1","0","14","2053","6","0","5","false"
"L152","1","0","10","2053","7","0","3","false"
"L153","15","0","132","791","31","4","6","true"
"L154","2","0","15","2899","13","0","5","false"
"L155","1","0","41","753","3","0","3","false"
"L156","1","0","15","2053","9","0","6","false"
"L157","1","0","41","753","3","0","3","false"
"L158","3","0","44","831","19","0","6","true"
"L159","16","0","148","831","69","0","7","true"
"L160","1","0","32","753","28","3","6","false"
"L161","42","0","351","831","65","4","6","true"
"L162","1","0","4","2053","7","0","3","false"
"L163","2","0","12","2053","7","0","3","false"
"L164","2","0","51","2053","6","0","5","false"
"L165","9","0","26","753","15","3","6","false"
"L166","1","0","26","753","17","3","7","false"
"L167","10","0","62","2053","6","0","5","false"
"L168","2","0","44","831","11","0","5","true"
"L169","1","0","26","753","10","1","5","false"
"L170","1","0","20","2053","10","0","6","false"
"L171","1","0","8","2053","7","0","3","false"
"L172","10","0","54","831","14","3","6","false"
"L173","2","0","44","753","3","0","3","false"
"L174","1","0","10","2053","7","0","3","false"
"L175","1","0","55","791","12","3","6","false"
"L176","2","0","36","831","9","3","5","false"
"L177","1","0","4","831","10","0","4","false"
"L178","1","0","16","2053","7","0","4","false"
"L179","1","0","6","2053","7","0","3","false"
"L180","2","0","15","1733","9","0","5","false"
"L181","1","0","16","2053","6","0","5","false"
"L182","5","0","62","2053","6","0","5","true"
"L183","1","0","29","2053","6","0","5","false"
"L184","1","0","27","2053","8","0","5","true"
"L185","1","0","3","2053","7","0","5","false"
"L186","1","0","5","753","4","0","3","false"
"L187","1","0","27","2053","6","0","5","false"
"L9550","1","0","11","2053","10","0","5","false"
"L9551","33","0","222","831","48","2","8","false"
"L9552","1","0","12","753","17","0","4","false"
"L9553","1","0","15","2899","11","0","3","false"
"L9554","3","0","43","575","11","0","5","false"
"L9555","3","0","50","1733","16","0","5","false"
"L9556","1","0","66","2053","17","0","5","false"
"L9557","1","0","24","2053","14","0","6","false"
"L9558","1","0","17","2053","157","2","8","false"
"L9559","171","0","880","831","100","2","8","true"
"L9560","15","0","89","2053","6","0","5","false"
"L9561","1","0","4","2053","7","0","3","false"
"L9562","14","0","86","2899","33","0","6","false"
"L9563","1","0","12","2053","21","0","6","false"
"L9564","6","0","48","2053","21","0","6","false"
"L9565","1","0","11","753","8","0","5","false"
"L9566","1","0","71","2053","9","0","6","false"
"L9567","1","0","3","2053","8","0","4","false"
"L9568","2","0","56","753","52","0","7","false"
"L9569","1","0","35","1733","5","0","3","false"
"L9570","4","0","27","2899","22","0","6","false"
"L9571","10","0","68","1733","17","0","5","false"
"L9572","8","0","74","1733","28","0","6","false"
"L9573","4","0","31","2899","26","0","7","false"
"L9574","3","0","41","2899","17","0","6","false"
"L9575","32","0","161","831","40","0","7","false"
"L9576","1","0","4","2899","1","0","1","false"
"L9577","20","0","155","831","28","0","7","false"
"L9578","24","0","83","831","14","0","6","false"
"L9579","14","0","70","2053","27","0","6","false"
"L9580","3","0","48","2899","5","0","3","false"
"L9581","1","0","32","2899","24","0","5","false"
"L9582","7","0","26","831","8","0","3","false"
"L9583","83","0","406","2899","55","0","7","false"
"L16987","1","0","40","2899","1","0","1","false"
"L16988","1","0","7","2899","1","0","1","false"
"L16989","1","0","5","2899","1","0","1","false"
"L16990","3","0","22","2053","7","0","2","false"
"L16991","1","0","12","2053","5","0","2","false"
"L16992","1","0","13","753","7","0","3","false"
