"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L112","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java","L111","1","0","3","1118","8","0","7","0"
"L129","ElementParser.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/ElementParser.java","L128","16","0","51","1118","7","1","4","0"
"L130","HazelcastManifestTransformer.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java","L128","46","0","294","1118","18","1","5","0"
"L131","package-info.java","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/package-info.java","L128","1","0","1","1118","7","1","4","0"
"L137","ExportPackageViewer.java","hazelcast-build-utils/src/test/java/com/hazelcast/buildutils/ExportPackageViewer.java","L136","4","0","34","1118","7","1","4","0"
"L529","ClientExtension.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientExtension.java","L528","1","0","12","407","7","0","4","0"
"L530","ClientOutOfMemoryHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientOutOfMemoryHandler.java","L528","9","0","56","407","31","0","10","0"
"L531","HazelcastClient.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClient.java","L528","8","0","85","2899","463","20","23","1"
"L532","LoadBalancer.java","hazelcast-client/src/main/java/com/hazelcast/client/LoadBalancer.java","L528","1","0","8","968","21","0","10","0"
"L533","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/package-info.java","L528","1","0","1","407","9","0","6","0"
"L2231","ClientAwsConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientAwsConfig.java","L2230","1","0","12","407","13","0","7","0"
"L2232","ClientConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientConfig.java","L2230","9","0","270","407","149","1","19","2"
"L2233","ClientNetworkConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientNetworkConfig.java","L2230","5","0","107","1118","50","2","15","0"
"L2234","ClientProperties.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientProperties.java","L2230","5","0","93","1147","51","1","16","3"
"L2235","ClientSecurityConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientSecurityConfig.java","L2230","1","0","20","1147","22","2","10","0"
"L2236","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/config/package-info.java","L2230","1","0","1","407","9","0","6","0"
"L2237","ProxyFactoryConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ProxyFactoryConfig.java","L2230","11","0","70","1147","48","4","14","0"
"L2238","SocketOptions.java","hazelcast-client/src/main/java/com/hazelcast/client/config/SocketOptions.java","L2230","1","0","46","407","45","1","15","0"
"L2239","XmlClientConfigBuilder.java","hazelcast-client/src/main/java/com/hazelcast/client/config/XmlClientConfigBuilder.java","L2230","75","0","319","407","113","3","17","5"
"L2240","XmlClientConfigLocator.java","hazelcast-client/src/main/java/com/hazelcast/client/config/XmlClientConfigLocator.java","L2230","16","0","105","407","11","0","10","0"
"L3293","AddressProvider.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/AddressProvider.java","L3292","1","0","6","407","12","0","7","0"
"L3294","AddressTranslator.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/AddressTranslator.java","L3292","1","0","6","407","14","0","7","0"
"L3295","Authenticator.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Authenticator.java","L3292","1","0","7","1147","28","0","11","1"
"L3296","ClientConnectionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/ClientConnectionManager.java","L3292","1","0","22","1147","68","4","14","5"
"L3297","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/package-info.java","L3292","1","0","1","407","9","0","6","0"
"L3298","Router.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Router.java","L3292","2","0","18","407","26","0","11","0"
"L4191","ClientConsoleApp.java","hazelcast-client/src/main/java/com/hazelcast/client/console/ClientConsoleApp.java","L4190","243","0","1392","1147","33","0","13","0"
"L4192","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/console/package-info.java","L4190","1","0","1","407","10","0","8","0"
"L5080","ClientImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/ClientImpl.java","L5079","1","0","24","407","6","0","5","0"
"L5081","DefaultClientExtension.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/DefaultClientExtension.java","L5079","5","0","67","407","5","0","4","0"
"L5082","HazelcastClientInstanceImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/HazelcastClientInstanceImpl.java","L5079","13","0","396","2899","10","0","6","3"
"L5083","HazelcastClientManagedContext.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/HazelcastClientManagedContext.java","L5079","3","0","25","407","6","0","5","0"
"L5084","HazelcastClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/HazelcastClientProxy.java","L5079","5","0","206","407","9","0","5","1"
"L5085","LifecycleServiceImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/LifecycleServiceImpl.java","L5079","7","0","82","2899","9","0","6","0"
"L5086","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/impl/package-info.java","L5079","1","0","1","407","6","0","5","0"
"L8799","ClientHeapNearCache.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/ClientHeapNearCache.java","L8798","33","0","238","1147","17","0","8","8"
"L8800","ClientNearCache.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/ClientNearCache.java","L8798","1","0","19","1147","141","8","19","1"
"L8801","ClientNearCacheType.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/ClientNearCacheType.java","L8798","1","0","5","407","18","0","11","0"
"L8802","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/package-info.java","L8798","1","0","1","407","9","0","6","0"
"L9027","AbstractClientCollectionProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/AbstractClientCollectionProxy.java","L9026","8","0","163","407","58","6","14","0"
"L9028","ClientAtomicLongProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientAtomicLongProxy.java","L9026","2","0","102","407","60","3","15","0"
"L9029","ClientAtomicReferenceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientAtomicReferenceProxy.java","L9026","2","0","91","407","46","3","13","0"
"L9030","ClientClusterProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientClusterProxy.java","L9026","2","0","37","407","19","0","10","0"
"L9031","ClientConditionProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientConditionProxy.java","L9026","2","0","86","407","28","2","13","1"
"L9032","ClientCountDownLatchProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientCountDownLatchProxy.java","L9026","4","0","54","407","60","3","16","0"
"L9033","ClientExecutorServiceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientExecutorServiceProxy.java","L9026","33","0","478","407","119","13","16","3"
"L9034","ClientIdGeneratorProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientIdGeneratorProxy.java","L9026","5","0","57","1118","48","3","15","0"
"L9035","ClientListProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientListProxy.java","L9026","3","0","84","407","44","3","13","0"
"L9036","ClientLockProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientLockProxy.java","L9026","4","0","97","429","77","13","17","3"
"L9037","ClientMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMapProxy.java","L9026","93","0","1034","1147","230","18","18","3"
"L9038","ClientMapReduceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMapReduceProxy.java","L9026","11","0","204","407","59","3","14","2"
"L9039","ClientMultiMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMultiMapProxy.java","L9026","11","0","322","407","139","9","18","0"
"L9040","ClientQueueProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientQueueProxy.java","L9026","13","0","240","407","101","12","15","0"
"L9041","ClientReplicatedMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientReplicatedMapProxy.java","L9026","12","0","214","1147","78","5","13","0"
"L9042","ClientSemaphoreProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientSemaphoreProxy.java","L9026","5","0","104","407","63","3","15","0"
"L9043","ClientSetProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientSetProxy.java","L9026","1","0","11","1147","37","3","10","0"
"L9044","ClientTopicProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientTopicProxy.java","L9026","2","0","76","407","68","4","16","0"
"L9045","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/package-info.java","L9026","1","0","1","407","17","0","10","0"
"L9046","PartitionServiceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/PartitionServiceProxy.java","L9026","2","0","60","407","29","0","11","0"
"L12091","ClientClusterService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientClusterService.java","L12090","1","0","17","1147","29","0","10","3"
"L12092","ClientContext.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientContext.java","L12090","1","0","52","407","53","3","16","3"
"L12093","ClientExecutionService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientExecutionService.java","L12090","1","0","15","1118","34","2","13","0"
"L12094","ClientInvocationService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientInvocationService.java","L12090","1","0","13","1147","27","0","9","3"
"L12095","ClientListenerService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientListenerService.java","L12090","1","0","9","1147","19","1","10","1"
"L12096","ClientPartitionService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientPartitionService.java","L12090","1","0","11","1118","9","0","4","0"
"L12097","ClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientProxy.java","L12090","14","0","158","1147","122","15","18","1"
"L12098","ClientProxyFactory.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientProxyFactory.java","L12090","1","0","4","1118","12","0","5","0"
"L12099","EventHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/EventHandler.java","L12090","1","0","6","407","17","1","8","0"
"L12100","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/package-info.java","L12090","1","0","1","407","9","0","6","0"
"L12101","ProxyManager.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ProxyManager.java","L12090","27","0","251","407","220","13","20","2"
"L12102","ResponseHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ResponseHandler.java","L12090","1","0","4","1118","6","0","5","0"
"L12103","ResponseStream.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ResponseStream.java","L12090","1","0","6","1118","10","0","5","0"
