@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","1","0","3","1118","8","0","7","false"
"L129","16","0","51","1118","7","1","4","false"
"L130","46","0","294","1118","18","1","5","false"
"L131","1","0","1","1118","7","1","4","false"
"L137","4","0","34","1118","7","1","4","false"
"L529","1","0","12","407","7","0","4","false"
"L530","9","0","56","407","31","0","10","false"
"L531","8","0","85","2899","463","20","23","true"
"L532","1","0","8","968","21","0","10","false"
"L533","1","0","1","407","9","0","6","false"
"L2231","1","0","12","407","13","0","7","false"
"L2232","9","0","270","407","149","1","19","true"
"L2233","5","0","107","1118","50","2","15","false"
"L2234","5","0","93","1147","51","1","16","true"
"L2235","1","0","20","1147","22","2","10","false"
"L2236","1","0","1","407","9","0","6","false"
"L2237","11","0","70","1147","48","4","14","false"
"L2238","1","0","46","407","45","1","15","false"
"L2239","75","0","319","407","113","3","17","true"
"L2240","16","0","105","407","11","0","10","false"
"L3293","1","0","6","407","12","0","7","false"
"L3294","1","0","6","407","14","0","7","false"
"L3295","1","0","7","1147","28","0","11","true"
"L3296","1","0","22","1147","68","4","14","true"
"L3297","1","0","1","407","9","0","6","false"
"L3298","2","0","18","407","26","0","11","false"
"L4191","243","0","1392","1147","33","0","13","false"
"L4192","1","0","1","407","10","0","8","false"
"L5080","1","0","24","407","6","0","5","false"
"L5081","5","0","67","407","5","0","4","false"
"L5082","13","0","396","2899","10","0","6","true"
"L5083","3","0","25","407","6","0","5","false"
"L5084","5","0","206","407","9","0","5","true"
"L5085","7","0","82","2899","9","0","6","false"
"L5086","1","0","1","407","6","0","5","false"
"L8799","33","0","238","1147","17","0","8","true"
"L8800","1","0","19","1147","141","8","19","true"
"L8801","1","0","5","407","18","0","11","false"
"L8802","1","0","1","407","9","0","6","false"
"L9027","8","0","163","407","58","6","14","false"
"L9028","2","0","102","407","60","3","15","false"
"L9029","2","0","91","407","46","3","13","false"
"L9030","2","0","37","407","19","0","10","false"
"L9031","2","0","86","407","28","2","13","true"
"L9032","4","0","54","407","60","3","16","false"
"L9033","33","0","478","407","119","13","16","true"
"L9034","5","0","57","1118","48","3","15","false"
"L9035","3","0","84","407","44","3","13","false"
"L9036","4","0","97","429","77","13","17","true"
"L9037","93","0","1034","1147","230","18","18","true"
"L9038","11","0","204","407","59","3","14","true"
"L9039","11","0","322","407","139","9","18","false"
"L9040","13","0","240","407","101","12","15","false"
"L9041","12","0","214","1147","78","5","13","false"
"L9042","5","0","104","407","63","3","15","false"
"L9043","1","0","11","1147","37","3","10","false"
"L9044","2","0","76","407","68","4","16","false"
"L9045","1","0","1","407","17","0","10","false"
"L9046","2","0","60","407","29","0","11","false"
"L12091","1","0","17","1147","29","0","10","true"
"L12092","1","0","52","407","53","3","16","true"
"L12093","1","0","15","1118","34","2","13","false"
"L12094","1","0","13","1147","27","0","9","true"
"L12095","1","0","9","1147","19","1","10","true"
"L12096","1","0","11","1118","9","0","4","false"
"L12097","14","0","158","1147","122","15","18","true"
"L12098","1","0","4","1118","12","0","5","false"
"L12099","1","0","6","407","17","1","8","false"
"L12100","1","0","1","407","9","0","6","false"
"L12101","27","0","251","407","220","13","20","true"
"L12102","1","0","4","1118","6","0","5","false"
"L12103","1","0","6","1118","10","0","5","false"
"L13465","2","0","42","1118","17","0","9","false"
"L13466","11","0","58","407","34","1","13","false"
"L13467","8","0","73","1147","25","0","11","true"
"L13468","1","0","1","407","9","0","6","false"
"L13469","3","0","15","1118","12","0","6","false"
"L13470","3","0","22","407","31","0","13","false"
"L13471","1","0","18","1118","10","0","6","false"
"L582","24","0","258","2899","10","1","4","true"
"L583","15","0","152","407","13","0","7","true"
"L584","57","0","396","2899","10","1","4","true"
"L585","1","0","12","407","18","0","9","false"
"L586","29","0","293","2899","33","1","9","true"
"L587","2","0","40","1147","16","0","7","true"
"L588","10","0","120","2899","41","2","9","true"
"L589","16","0","87","2899","23","1","8","true"
"L590","1","0","1","1118","7","0","5","false"
"L3374","7","0","61","1147","17","1","7","true"
"L3375","32","0","359","1147","139","7","20","true"
