@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","1","0","3","15","12","0","10","false"
"L129","16","0","51","15","11","1","7","false"
"L130","46","0","294","15","22","1","8","false"
"L131","1","0","1","15","11","1","7","false"
"L137","4","0","34","15","11","1","7","false"
"L529","1","0","16","15","6","0","5","false"
"L530","10","0","60","15","2","0","2","false"
"L531","11","0","102","15","2","0","2","false"
"L532","1","0","9","15","2","0","2","false"
"L533","1","0","8","15","2","0","2","false"
"L534","1","0","1","15","4","0","3","false"
"L3918","1","0","12","15","4","0","3","false"
"L3919","10","0","295","15","11","0","11","false"
"L3920","5","0","107","15","2","0","2","false"
"L3921","5","0","95","15","2","0","2","false"
"L3922","1","0","20","15","2","0","2","false"
"L3923","3","0","35","15","9","0","7","false"
"L3924","1","0","1","15","4","0","3","false"
"L3925","11","0","70","15","2","0","2","false"
"L3926","24","0","126","15","3","0","3","false"
"L3927","1","0","46","15","2","0","2","false"
"L3928","82","0","402","15","17","2","12","false"
"L3929","16","0","105","15","6","0","5","false"
"L6101","1","0","6","15","4","0","3","false"
"L6102","1","0","6","15","4","0","3","false"
"L6103","1","0","7","15","2","0","2","false"
"L6104","1","0","18","15","4","0","4","false"
"L6105","1","0","1","15","4","0","3","false"
"L6106","2","0","18","15","4","1","3","false"
"L7086","242","0","1331","15","2","0","2","false"
"L7087","1","0","1","15","2","0","2","false"
"L8274","1","0","24","15","2","0","2","false"
"L8275","3","0","53","15","8","2","5","true"
"L8276","6","0","83","15","6","0","5","false"
"L8277","18","0","471","1733","19","1","11","true"
"L8278","3","0","25","15","2","0","2","false"
"L8279","5","0","224","1733","11","1","7","false"
"L8280","7","0","82","15","2","0","2","false"
"L8281","1","0","1","15","4","0","3","false"
"L22328","29","0","200","15","2","0","2","false"
"L22329","1","0","19","15","4","0","3","false"
"L22330","1","0","5","15","2","0","2","false"
"L22331","1","0","1","15","4","0","3","false"
"L22634","2","0","113","15","9","0","7","true"
"L22635","2","0","115","15","7","0","6","true"
"L22636","2","0","37","15","4","1","3","false"
"L22637","2","0","86","15","8","0","6","true"
"L22638","4","0","56","15","4","0","4","true"
"L22639","29","0","482","15","11","1","6","true"
"L22640","5","0","57","15","2","0","2","false"
"L22641","10","0","269","15","8","0","6","true"
"L22642","4","0","109","15","9","1","6","true"
"L22643","94","0","1207","296","35","3","10","true"
"L22644","16","0","257","15","7","0","6","true"
"L22645","14","0","378","15","18","1","7","true"
"L22646","13","0","274","15","9","0","6","true"
"L22647","16","0","295","15","4","0","4","true"
"L22648","5","0","107","15","6","0","5","true"
"L22649","8","0","188","15","8","0","6","true"
"L22650","2","0","77","15","6","0","4","true"
"L22651","1","0","1","15","2","0","2","false"
"L22652","2","0","98","15","7","0","6","true"
"L27511","1","0","18","15","7","3","5","false"
"L27512","1","0","66","1733","6","1","4","false"
"L27513","1","0","15","15","2","0","2","false"
"L27514","1","0","19","15","6","0","4","false"
"L27515","1","0","8","15","6","0","5","false"
"L27516","1","0","11","15","2","0","2","false"
"L27517","14","0","154","15","11","0","6","true"
"L27518","1","0","4","15","2","0","2","false"
"L27519","1","0","8","1733","2","1","1","false"
"L27520","1","0","14","1733","3","1","1","false"
"L27521","1","0","6","15","2","0","2","false"
"L27522","1","0","1","15","4","0","3","false"
"L27523","27","0","262","1733","10","1","6","true"
"L27524","1","0","4","15","2","0","2","false"
"L27525","1","0","6","15","2","0","2","false"
"L30543","1","0","1","15","4","0","3","false"
"L30544","10","0","121","1733","4","1","3","false"
"L30545","13","0","123","1733","9","1","5","false"
"L32498","2","0","42","15","2","0","2","false"
"L32499","11","0","58","15","2","0","2","false"
"L32500","11","0","96","15","8","0","5","true"
"L32501","1","0","1","15","2","0","2","false"
"L32502","3","0","15","15","2","0","2","false"
"L32503","3","0","22","15","2","0","2","false"
"L32504","1","0","18","15","2","0","2","false"
"L628","24","0","266","15","9","1","6","true"
"L629","17","0","168","15","10","4","6","true"
"L630","61","0","516","15","19","2","8","true"
"L631","1","0","12","15","2","0","2","false"
"L632","30","0","298","15","9","1","6","true"
"L633","2","0","45","15","4","0","4","true"
"L634","12","0","168","15","17","5","9","true"
"L635","17","0","91","15","3","1","3","false"
"L636","1","0","1","15","2","0","2","false"
"L6179","7","0","61","15","2","0","2","true"
"L6180","12","0","205","15","9","4","6","false"
"L6181","34","0","303","15","9","0","6","true"
"L6182","3","0","20","15","4","0","3","false"
"L6183","8","0","67","15","14","0","6","false"
"L6184","14","0","97","15","2","0","2","false"
"L6185","1","0","1","15","4","0","3","false"
"L27753","4","0","42","15","4","0","3","false"
"L27754","8","0","57","15","4","0","3","false"
"L27755","22","0","191","15","6","3","4","false"
"L27756","6","0","127","15","2","0","2","false"
"L27757","28","0","221","15","13","0","6","true"
"L27758","26","0","201","15","17","0","7","true"
"L27759","31","0","324","15","31","1","10","true"
"L27760","10","0","132","15","13","0","8","true"
"L27761","26","0","206","15","10","3","4","true"
"L27762","4","0","44","15","8","2","5","false"
"L27763","19","0","169","15","9","2","7","true"
"L27764","6","0","67","15","6","1","4","false"
"L27765","11","0","109","1733","3","1","1","true"
"L27766","25","0","225","15","12","4","6","true"
"L27767","1","0","6","15","4","0","3","false"
"L27768","2","0","23","15","4","0","3","false"
"L27769","1","0","12","15","4","0","3","false"
"L27770","1","0","1","15","4","0","3","false"
"L30572","2","0","17","1733","4","1","3","false"
"L30573","1","0","42","1733","6","1","5","false"
"L30574","7","0","196","1733","12","1","8","false"
"L30575","3","0","84","1733","7","1","5","false"
"L30576","2","0","55","1733","6","1","5","false"
"L30577","4","0","90","1733","6","1","5","false"
"L30578","1","0","42","1733","6","1","5","false"
"L30579","1","0","1","15","4","0","3","false"
"L30800","1","0","1","1733","2","1","1","false"
"L30801","26","0","215","1733","3","1","1","true"
"L30802","10","0","126","1733","2","1","1","false"
"L30803","15","0","120","1733","2","1","1","true"
"L540","1","0","32","15","4","1","4","false"
"L541","1","0","39","15","4","1","4","false"
"L542","1","0","97","15","4","1","4","false"
"L543","4","0","82","15","2","0","2","false"
"L544","1","0","26","15","3","0","3","false"
"L545","2","0","125","15","4","0","4","false"
"L546","21","0","275","15","4","1","4","false"
"L547","1","0","55","15","4","0","4","false"
"L548","1","0","86","15","2","0","2","false"
"L549","27","0","626","15","2","0","2","false"
"L550","11","0","289","15","4","0","4","false"
"L551","6","0","118","15","5","0","5","false"
"L552","1","0","44","15","4","0","4","false"
"L553","1","0","51","15","7","0","4","false"
"L554","2","0","102","15","4","1","4","false"
"L555","3","0","53","15","4","0","4","false"
"L556","15","0","125","15","2","0","2","false"
"L616","5","0","177","15","4","2","4","false"
"L617","1","0","70","15","4","0","4","false"
"L618","7","0","157","15","2","0","2","false"
"L619","1","0","42","15","3","0","3","false"
"L3931","1","0","246","15","10","1","9","false"
"L3932","1","0","41","15","6","1","6","false"
"L3933","1","0","120","15","6","1","6","false"
"L3934","3","0","260","15","15","5","12","false"
"L3935","1","0","196","15","6","1","6","false"
"L8283","3","0","14","15","2","0","2","false"
"L22654","1","0","50","15","2","0","2","false"
"L22655","1","0","77","15","2","0","2","false"
"L27527","1","0","60","15","2","0","2","false"
"L27528","1","0","87","15","4","0","4","false"
"L30547","1","0","59","296","3","0","3","false"
"L30548","5","0","390","296","3","0","3","false"
