@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","3","0","52","0","0","0","1","false"
"L112","1","0","1","0","0","0","1","false"
"L113","4","0","28","0","0","0","1","false"
"L114","1","0","26","0","0","0","1","false"
"L115","1","0","24","0","0","0","1","false"
"L278","19","0","146","0","0","0","1","false"
"L279","1","0","9","0","0","0","1","false"
"L280","13","0","60","0","0","0","1","false"
"L281","1","0","22","0","0","0","1","false"
"L282","4","0","66","0","0","0","1","false"
"L283","7","0","67","0","0","0","1","false"
"L284","1","0","23","0","0","0","1","false"
"L285","1","0","1","0","0","0","1","false"
"L286","1","0","4","0","0","0","1","false"
"L287","1","0","5","0","0","0","1","false"
"L288","9","0","81","0","0","0","1","false"
"L289","1","0","36","0","0","0","1","false"
"L290","1","0","7","0","0","0","1","false"
"L291","9","0","100","0","0","0","1","false"
"L292","24","0","164","0","0","0","1","false"
"L1229","32","0","236","0","0","0","1","false"
"L1230","1","0","1","0","0","0","1","false"
"L1231","1","0","11","0","0","0","1","false"
"L1232","1","0","11","0","0","0","19","false"
"L1451","1","0","1","0","0","0","1","false"
"L1452","7","0","92","0","0","0","1","false"
"L1453","13","0","124","0","0","0","1","false"
"L2562","1","0","9","0","0","0","1","false"
"L2563","1","0","9","0","0","0","2","false"
"L2564","32","0","259","0","0","0","9","false"
"L2565","2","0","23","0","0","0","9","false"
"L2566","1","0","9","0","0","0","2","false"
"L2567","1","0","9","0","0","0","1","false"
"L2568","13","0","81","0","0","0","2","false"
"L2569","1","0","10","0","0","0","1","false"
"L2570","1","0","1","0","0","0","1","false"
"L2571","1","0","16","0","0","0","1","false"
"L2974","7","0","103","0","0","0","2","false"
"L3937","3","0","36","0","0","0","2","false"
"L3938","3","0","32","0","0","0","1","false"
"L3939","9","0","37","0","0","0","3","false"
"L3940","1","0","6","0","0","0","1","false"
"L3941","1","0","10","0","0","0","1","false"
"L3942","6","0","73","0","0","0","7","false"
"L4972","1","0","32","0","0","0","6","false"
"L4973","1","0","1","0","0","0","1","false"
"L5027","1","0","21","0","0","0","2","false"
"L5028","1","0","4","0","0","0","3","false"
"L5029","12","0","111","0","0","0","10","false"
"L5030","5","0","87","0","0","0","13","false"
"L5031","1","0","1","0","0","0","1","false"
"L5032","2","0","57","0","0","0","20","false"
"L5033","1","0","59","0","0","0","10","false"
"L5034","1","0","9","0","0","0","1","false"
"L5035","1","0","12","0","0","0","1","false"
"L5483","1","0","7","0","0","0","2","false"
"L5484","14","0","163","0","0","0","19","false"
"L5485","1","0","7","0","0","0","1","false"
"L5486","1","0","1","0","0","0","3","false"
"L5487","6","0","93","0","0","0","28","false"
"L5488","15","0","155","0","0","0","9","false"
"L5489","3","0","55","0","0","0","25","false"
"L2977","1","0","7","0","0","0","1","false"
"L2978","12","0","100","0","0","0","15","false"
"L2979","10","0","118","0","0","0","4","false"
"L3369","3","0","23","0","0","0","1","false"
"L3370","1","0","32","0","0","0","3","false"
"L3371","2","0","41","0","0","0","5","false"
"L3459","1","0","8","0","0","0","2","false"
"L3472","1","0","6","0","0","0","1","false"
"L3473","1","0","6","0","0","0","1","false"
"L3474","9","0","71","0","0","0","2","false"
"L3475","1","0","7","0","0","0","1","false"
"L3476","1","0","5","0","0","0","1","false"
"L3477","1","0","25","0","0","0","3","false"
"L3478","14","0","158","0","0","0","26","false"
"L3479","1","0","7","0","0","0","1","false"
"L3989","4","0","43","0","0","0","4","false"
"L3990","4","0","36","0","0","0","3","false"
"L3991","2","0","12","0","0","0","2","false"
"L3992","1","0","18","0","0","0","1","false"
"L3993","2","0","15","0","0","0","2","false"
"L3994","1","0","10","0","0","0","4","false"
"L3995","1","0","9","0","0","0","2","false"
"L3996","3","0","20","0","0","0","2","false"
"L4135","1","0","26","0","0","0","1","false"
"L4136","1","0","20","0","0","0","1","false"
"L4137","5","0","54","0","0","0","1","false"
"L4138","1","0","20","0","0","0","1","false"
"L4139","1","0","20","0","0","0","1","false"
"L4140","8","0","34","0","0","0","1","false"
"L4305","1","0","19","0","0","0","6","false"
"L4306","2","0","26","0","0","0","2","false"
"L4307","1","0","1","0","0","0","1","false"
"L4308","1","0","20","0","0","0","1","false"
"L4350","9","0","65","0","0","0","2","false"
"L4351","6","0","50","0","0","0","15","false"
"L4352","1","0","6","0","0","0","2","false"
"L4353","1","0","20","0","0","0","3","false"
"L4354","18","0","142","0","0","0","9","false"
"L4355","8","0","117","0","0","0","13","false"
"L4356","21","0","138","0","0","0","2","false"
"L4357","11","0","72","0","0","0","2","false"
"L4358","1","0","1","0","0","0","1","false"
"L4359","3","0","24","0","0","0","2","false"
"L4360","14","0","81","0","0","0","2","false"
"L4361","4","0","51","0","0","0","2","false"
"L5193","5","0","40","0","0","0","7","false"
"L5194","1","0","4","0","0","0","1","false"
"L5195","1","0","4","0","0","0","1","false"
