"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","0","0","0","1","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","28","0","0","0","1","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","0","0","0","1","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","0","0","0","1","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","19","0","146","0","0","0","1","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","1","0","9","0","0","0","1","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","60","0","0","0","1","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","0","0","0","1","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","66","0","0","0","1","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","67","0","0","0","1","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","0","0","0","1","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","0","0","0","1","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","0","0","0","1","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","81","0","0","0","1","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","36","0","0","0","1","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","0","0","0","1","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","100","0","0","0","1","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","24","0","164","1","4","0","4","0"
"L1231","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1230","32","0","235","0","0","0","2","0"
"L1232","package-info.java","src/main/java/junit/runner/package-info.java","L1230","1","0","1","0","0","0","1","0"
"L1233","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1230","1","0","11","0","0","0","1","0"
"L1234","Version.java","src/main/java/junit/runner/Version.java","L1230","1","0","11","1","4","0","44","0"
"L1453","package-info.java","src/main/java/junit/textui/package-info.java","L1452","1","0","1","0","0","0","1","0"
"L1454","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1452","7","0","92","0","0","0","1","0"
"L1455","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1452","13","0","124","0","0","0","2","0"
"L2572","After.java","src/main/java/org/junit/After.java","L2571","1","0","9","0","0","0","1","0"
"L2573","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2571","1","0","9","1","4","0","5","0"
"L2574","Assert.java","src/main/java/org/junit/Assert.java","L2571","21","0","223","0","0","0","20","0"
"L2575","Assume.java","src/main/java/org/junit/Assume.java","L2571","2","0","23","0","0","0","12","0"
"L2576","Before.java","src/main/java/org/junit/Before.java","L2571","1","0","9","0","0","0","2","0"
"L2577","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2571","1","0","9","0","0","0","1","0"
"L2578","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2571","13","0","81","0","0","0","2","0"
"L2579","Ignore.java","src/main/java/org/junit/Ignore.java","L2571","1","0","10","0","0","0","1","0"
"L2580","package-info.java","src/main/java/org/junit/package-info.java","L2571","1","0","1","0","0","0","1","0"
"L2581","Rule.java","src/main/java/org/junit/Rule.java","L2571","1","0","7","0","0","0","1","0"
"L2582","Test.java","src/main/java/org/junit/Test.java","L2571","1","0","16","0","0","0","1","0"
"L2972","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L2971","6","0","65","0","0","0","17","0"
"L3947","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L3946","3","0","36","0","0","0","2","0"
"L3948","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L3946","3","0","32","0","0","0","1","0"
"L3949","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L3946","12","0","47","0","0","0","7","0"
"L3950","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L3946","1","0","8","0","0","0","4","0"
"L3951","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L3946","2","0","15","0","0","0","5","0"
"L3952","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L3946","1","0","6","0","0","0","1","0"
"L3953","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L3946","1","0","10","0","0","0","1","0"
"L3954","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L3946","6","0","73","0","0","0","7","0"
"L5008","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L5007","1","0","32","0","0","0","23","0"
"L5009","package-info.java","src/main/java/org/junit/matchers/package-info.java","L5007","1","0","1","0","0","0","1","0"
"L5065","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L5064","2","0","33","0","0","0","1","0"
"L5066","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L5064","5","0","70","0","0","0","3","0"
"L5067","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L5064","1","0","23","0","0","0","1","0"
"L5068","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L5064","1","0","7","0","0","0","1","0"
"L5069","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L5064","3","0","43","0","0","0","1","0"
"L5070","TestName.java","src/main/java/org/junit/rules/TestName.java","L5064","1","0","12","0","0","0","1","0"
"L5071","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L5064","2","0","31","0","0","0","1","0"
"L5072","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L5064","1","0","13","0","0","0","1","0"
"L5073","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L5064","1","0","17","0","0","0","1","0"
"L5293","Computer.java","src/main/java/org/junit/runner/Computer.java","L5292","1","0","21","0","0","0","8","0"
"L5294","Describable.java","src/main/java/org/junit/runner/Describable.java","L5292","1","0","4","0","0","0","3","0"
"L5295","Description.java","src/main/java/org/junit/runner/Description.java","L5292","12","0","114","0","0","0","12","0"
"L5296","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L5292","5","0","87","0","0","0","15","0"
"L5297","package-info.java","src/main/java/org/junit/runner/package-info.java","L5292","1","0","1","0","0","0","1","0"
"L5298","Request.java","src/main/java/org/junit/runner/Request.java","L5292","2","0","56","0","0","0","24","0"
"L5299","Result.java","src/main/java/org/junit/runner/Result.java","L5292","1","0","59","0","0","0","10","0"
"L5300","Runner.java","src/main/java/org/junit/runner/Runner.java","L5292","1","0","9","0","0","0","1","0"
"L5301","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L5292","1","0","12","0","0","0","1","0"
"L5756","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L5755","1","0","7","0","0","0","2","0"
"L5757","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L5755","22","0","213","0","0","0","37","1"
"L5758","JUnit4.java","src/main/java/org/junit/runners/JUnit4.java","L5755","1","0","7","0","0","0","1","0"
"L5759","package-info.java","src/main/java/org/junit/runners/package-info.java","L5755","1","0","1","0","0","0","3","0"
"L5760","Parameterized.java","src/main/java/org/junit/runners/Parameterized.java","L5755","6","0","94","1","4","0","35","0"
"L5761","ParentRunner.java","src/main/java/org/junit/runners/ParentRunner.java","L5755","17","0","171","0","0","0","20","1"
"L5762","Suite.java","src/main/java/org/junit/runners/Suite.java","L5755","3","0","63","1","4","0","40","0"
"L2975","CouldNotReadCoreException.java","src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java","L2974","1","0","7","0","0","0","3","0"
"L2976","MaxCore.java","src/main/java/org/junit/experimental/max/MaxCore.java","L2974","12","0","100","0","0","0","35","0"
"L2977","MaxHistory.java","src/main/java/org/junit/experimental/max/MaxHistory.java","L2974","8","0","118","1","4","0","27","0"
"L3350","FailureList.java","src/main/java/org/junit/experimental/results/FailureList.java","L3349","3","0","23","0","0","0","3","0"
"L3351","PrintableResult.java","src/main/java/org/junit/experimental/results/PrintableResult.java","L3349","1","0","32","0","0","0","7","0"
"L3352","ResultMatchers.java","src/main/java/org/junit/experimental/results/ResultMatchers.java","L3349","2","0","41","0","0","0","10","0"
"L3449","Enclosed.java","src/main/java/org/junit/experimental/runners/Enclosed.java","L3448","1","0","8","0","0","0","2","0"
"L3462","DataPoint.java","src/main/java/org/junit/experimental/theories/DataPoint.java","L3461","1","0","6","0","0","0","1","0"
"L3463","DataPoints.java","src/main/java/org/junit/experimental/theories/DataPoints.java","L3461","1","0","6","0","0","0","1","0"
"L3464","ParameterSignature.java","src/main/java/org/junit/experimental/theories/ParameterSignature.java","L3461","9","0","71","0","0","0","2","0"
"L3465","ParametersSuppliedBy.java","src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java","L3461","1","0","7","0","0","0","1","0"
"L3466","ParameterSupplier.java","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","L3461","1","0","5","0","0","0","1","0"
"L3467","PotentialAssignment.java","src/main/java/org/junit/experimental/theories/PotentialAssignment.java","L3461","1","0","25","0","0","0","3","0"
"L3468","Theories.java","src/main/java/org/junit/experimental/theories/Theories.java","L3461","14","0","159","0","0","0","28","0"
"L3469","Theory.java","src/main/java/org/junit/experimental/theories/Theory.java","L3461","1","0","7","0","0","0","1","0"
"L4004","AllDefaultPossibilitiesBuilder.java","src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java","L4003","4","0","43","0","0","0","4","0"
"L4005","AnnotatedBuilder.java","src/main/java/org/junit/internal/builders/AnnotatedBuilder.java","L4003","4","0","36","0","0","0","3","0"
"L4006","IgnoredBuilder.java","src/main/java/org/junit/internal/builders/IgnoredBuilder.java","L4003","2","0","12","0","0","0","2","0"
"L4007","IgnoredClassRunner.java","src/main/java/org/junit/internal/builders/IgnoredClassRunner.java","L4003","1","0","18","0","0","0","1","0"
"L4008","JUnit3Builder.java","src/main/java/org/junit/internal/builders/JUnit3Builder.java","L4003","2","0","15","0","0","0","2","0"
"L4009","JUnit4Builder.java","src/main/java/org/junit/internal/builders/JUnit4Builder.java","L4003","1","0","10","0","0","0","4","0"
"L4010","NullBuilder.java","src/main/java/org/junit/internal/builders/NullBuilder.java","L4003","1","0","9","0","0","0","2","0"
"L4011","SuiteMethodBuilder.java","src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java","L4003","3","0","20","0","0","0","2","0"
"L4174","CombinableMatcher.java","src/main/java/org/junit/internal/matchers/CombinableMatcher.java","L4173","1","0","26","0","0","0","4","0"
"L4175","Each.java","src/main/java/org/junit/internal/matchers/Each.java","L4173","1","0","20","0","0","0","4","0"
"L4176","IsCollectionContaining.java","src/main/java/org/junit/internal/matchers/IsCollectionContaining.java","L4173","5","0","54","0","0","0","6","0"
"L4177","StringContains.java","src/main/java/org/junit/internal/matchers/StringContains.java","L4173","1","0","20","0","0","0","4","0"
"L4178","SubstringMatcher.java","src/main/java/org/junit/internal/matchers/SubstringMatcher.java","L4173","1","0","20","0","0","0","4","0"
"L4179","TypeSafeMatcher.java","src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java","L4173","8","0","34","0","0","0","4","0"
"L4344","ClassRequest.java","src/main/java/org/junit/internal/requests/ClassRequest.java","L4343","1","0","19","0","0","0","6","0"
"L4345","FilterRequest.java","src/main/java/org/junit/internal/requests/FilterRequest.java","L4343","2","0","26","0","0","0","3","0"
"L4346","package-info.java","src/main/java/org/junit/internal/requests/package-info.java","L4343","1","0","1","0","0","0","1","0"
"L4347","SortingRequest.java","src/main/java/org/junit/internal/requests/SortingRequest.java","L4343","1","0","20","0","0","0","1","0"
"L4388","ClassRoadie.java","src/main/java/org/junit/internal/runners/ClassRoadie.java","L4387","9","0","65","0","0","0","2","0"
"L4389","ErrorReportingRunner.java","src/main/java/org/junit/internal/runners/ErrorReportingRunner.java","L4387","6","0","50","0","0","0","15","0"
"L4390","FailedBefore.java","src/main/java/org/junit/internal/runners/FailedBefore.java","L4387","1","0","6","0","0","0","2","0"
"L4391","InitializationError.java","src/main/java/org/junit/internal/runners/InitializationError.java","L4387","1","0","20","0","0","0","3","0"
"L4392","JUnit38ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java","L4387","15","0","134","1","4","0","16","0"
"L4393","JUnit4ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java","L4387","8","0","117","0","0","0","13","0"
"L4394","MethodRoadie.java","src/main/java/org/junit/internal/runners/MethodRoadie.java","L4387","21","0","138","0","0","0","2","0"
"L4395","MethodValidator.java","src/main/java/org/junit/internal/runners/MethodValidator.java","L4387","11","0","72","0","0","0","2","0"
"L4396","package-info.java","src/main/java/org/junit/internal/runners/package-info.java","L4387","1","0","1","0","0","0","1","0"
"L4397","SuiteMethod.java","src/main/java/org/junit/internal/runners/SuiteMethod.java","L4387","3","0","24","0","0","0","2","0"
"L4398","TestClass.java","src/main/java/org/junit/internal/runners/TestClass.java","L4387","14","0","81","0","0","0","2","0"
"L4399","TestMethod.java","src/main/java/org/junit/internal/runners/TestMethod.java","L4387","4","0","51","0","0","0","2","0"
"L5466","Filter.java","src/main/java/org/junit/runner/manipulation/Filter.java","L5465","5","0","40","0","0","0","7","1"
"L5467","Filterable.java","src/main/java/org/junit/runner/manipulation/Filterable.java","L5465","1","0","4","0","0","0","1","0"
"L5468","NoTestsRemainException.java","src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java","L5465","1","0","4","0","0","0","1","0"
"L5469","package-info.java","src/main/java/org/junit/runner/manipulation/package-info.java","L5465","1","0","1","0","0","0","1","0"
"L5470","Sortable.java","src/main/java/org/junit/runner/manipulation/Sortable.java","L5465","1","0","4","0","0","0","1","0"
"L5471","Sorter.java","src/main/java/org/junit/runner/manipulation/Sorter.java","L5465","2","0","22","0","0","0","6","0"
"L5525","Failure.java","src/main/java/org/junit/runner/notification/Failure.java","L5524","1","0","37","0","0","0","3","0"
"L5526","package-info.java","src/main/java/org/junit/runner/notification/package-info.java","L5524","1","0","1","0","0","0","1","0"
"L5527","RunListener.java","src/main/java/org/junit/runner/notification/RunListener.java","L5524","1","0","20","0","0","0","7","0"
"L5528","RunNotifier.java","src/main/java/org/junit/runner/notification/RunNotifier.java","L5524","4","0","93","0","0","0","8","0"
"L5529","StoppedByUserException.java","src/main/java/org/junit/runner/notification/StoppedByUserException.java","L5524","1","0","4","0","0","0","1","0"
"L5947","FrameworkField.java","src/main/java/org/junit/runners/model/FrameworkField.java","L5946","1","0","24","0","0","0","8","0"
"L5948","FrameworkMember.java","src/main/java/org/junit/runners/model/FrameworkMember.java","L5946","3","0","13","0","0","0","4","0"
"L5949","FrameworkMethod.java","src/main/java/org/junit/runners/model/FrameworkMethod.java","L5946","13","0","80","0","0","0","11","0"
"L5950","InitializationError.java","src/main/java/org/junit/runners/model/InitializationError.java","L5946","1","0","16","0","0","0","2","0"
"L5951","RunnerBuilder.java","src/main/java/org/junit/runners/model/RunnerBuilder.java","L5946","5","0","44","0","0","0","2","0"
"L5952","RunnerScheduler.java","src/main/java/org/junit/runners/model/RunnerScheduler.java","L5946","1","0","5","0","0","0","2","0"
"L5953","Statement.java","src/main/java/org/junit/runners/model/Statement.java","L5946","1","0","4","0","0","0","2","0"
"L5954","TestClass.java","src/main/java/org/junit/runners/model/TestClass.java","L5946","14","0","85","0","0","0","13","1"
"L3474","AllMembersSupplier.java","src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java","L3473","17","0","99","0","0","0","14","1"
"L3475","Assignments.java","src/main/java/org/junit/experimental/theories/internal/Assignments.java","L3473","7","0","101","0","0","0","9","0"
"L3476","ParameterizedAssertionError.java","src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java","L3473","4","0","38","0","0","0","2","0"
"L3790","TestedOn.java","src/main/java/org/junit/experimental/theories/suppliers/TestedOn.java","L3789","1","0","9","0","0","0","1","0"
