"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","0","0","0","1","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","28","0","0","0","1","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","0","0","0","1","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","0","0","0","1","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","19","0","147","2","2","0","6","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","1","0","9","0","0","0","1","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","60","0","0","0","1","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","0","0","0","1","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","66","0","0","0","1","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","67","0","0","0","1","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","0","0","0","1","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","0","0","0","1","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","0","0","0","1","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","81","0","0","0","1","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","36","0","0","0","1","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","0","0","0","1","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","100","0","0","0","1","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","24","0","164","1","4","0","4","1"
"L1233","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1232","32","0","235","0","0","0","2","0"
"L1234","package-info.java","src/main/java/junit/runner/package-info.java","L1232","1","0","1","0","0","0","1","0"
"L1235","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1232","1","0","11","0","0","0","1","0"
"L1236","Version.java","src/main/java/junit/runner/Version.java","L1232","1","0","11","2","20","0","48","0"
"L1455","package-info.java","src/main/java/junit/textui/package-info.java","L1454","1","0","1","0","0","0","1","0"
"L1456","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1454","7","0","92","0","0","0","1","0"
"L1457","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1454","13","0","124","0","0","0","2","0"
"L2574","After.java","src/main/java/org/junit/After.java","L2573","1","0","9","0","0","0","1","0"
"L2575","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2573","1","0","9","1","4","0","5","0"
"L2576","Assert.java","src/main/java/org/junit/Assert.java","L2573","21","0","223","0","0","0","20","0"
"L2577","Assume.java","src/main/java/org/junit/Assume.java","L2573","2","0","23","0","0","0","12","0"
"L2578","Before.java","src/main/java/org/junit/Before.java","L2573","1","0","9","0","0","0","2","0"
"L2579","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2573","1","0","9","0","0","0","1","0"
"L2580","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2573","13","0","81","0","0","0","2","0"
"L2581","Ignore.java","src/main/java/org/junit/Ignore.java","L2573","1","0","10","0","0","0","1","0"
"L2582","package-info.java","src/main/java/org/junit/package-info.java","L2573","1","0","1","0","0","0","1","0"
"L2583","Rule.java","src/main/java/org/junit/Rule.java","L2573","1","0","7","0","0","0","1","0"
"L2584","Test.java","src/main/java/org/junit/Test.java","L2573","1","0","16","0","0","0","1","0"
"L2972","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L2971","6","0","65","0","0","0","17","0"
"L4008","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L4007","3","0","36","0","0","0","2","0"
"L4009","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L4007","3","0","32","0","0","0","1","0"
"L4010","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L4007","12","0","47","0","0","0","8","0"
"L4011","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L4007","1","0","8","0","0","0","4","0"
"L4012","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L4007","2","0","15","0","0","0","6","0"
"L4013","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L4007","1","0","6","0","0","0","1","0"
"L4014","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L4007","1","0","10","0","0","0","1","0"
"L4015","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L4007","6","0","73","0","0","0","7","0"
"L5065","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L5064","1","0","32","0","0","0","23","0"
"L5066","package-info.java","src/main/java/org/junit/matchers/package-info.java","L5064","1","0","1","0","0","0","1","0"
"L5122","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L5121","2","0","33","0","0","0","1","0"
"L5123","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L5121","5","0","70","0","0","0","3","0"
"L5124","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L5121","1","0","23","0","0","0","1","0"
"L5125","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L5121","1","0","7","0","0","0","1","0"
"L5126","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L5121","3","0","43","0","0","0","1","0"
"L5127","TestName.java","src/main/java/org/junit/rules/TestName.java","L5121","1","0","12","0","0","0","1","0"
"L5128","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L5121","2","0","31","0","0","0","1","0"
"L5129","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L5121","1","0","13","0","0","0","1","0"
"L5130","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L5121","1","0","17","0","0","0","1","0"
"L5350","Computer.java","src/main/java/org/junit/runner/Computer.java","L5349","1","0","21","0","0","0","8","0"
"L5351","Describable.java","src/main/java/org/junit/runner/Describable.java","L5349","1","0","4","0","0","0","3","0"
"L5352","Description.java","src/main/java/org/junit/runner/Description.java","L5349","12","0","114","0","0","0","12","0"
"L5353","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L5349","5","0","87","0","0","0","15","0"
"L5354","package-info.java","src/main/java/org/junit/runner/package-info.java","L5349","1","0","1","0","0","0","1","0"
"L5355","Request.java","src/main/java/org/junit/runner/Request.java","L5349","2","0","56","0","0","0","24","0"
"L5356","Result.java","src/main/java/org/junit/runner/Result.java","L5349","1","0","61","1","4","0","13","0"
"L5357","Runner.java","src/main/java/org/junit/runner/Runner.java","L5349","1","0","9","0","0","0","1","0"
"L5358","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L5349","1","0","12","0","0","0","4","0"
"L5820","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L5819","1","0","7","0","0","0","2","0"
"L5821","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L5819","22","0","213","2","20","0","44","1"
"L5822","JUnit4.java","src/main/java/org/junit/runners/JUnit4.java","L5819","1","0","7","0","0","0","1","0"
"L5823","package-info.java","src/main/java/org/junit/runners/package-info.java","L5819","1","0","1","0","0","0","3","0"
"L5824","Parameterized.java","src/main/java/org/junit/runners/Parameterized.java","L5819","6","0","94","1","4","0","35","1"
"L5825","ParentRunner.java","src/main/java/org/junit/runners/ParentRunner.java","L5819","17","0","171","1","20","0","24","1"
"L5826","Suite.java","src/main/java/org/junit/runners/Suite.java","L5819","3","0","63","1","4","0","45","0"
"L2975","Categories.java","src/main/java/org/junit/experimental/categories/Categories.java","L2974","13","0","74","1","20","0","5","0"
"L2976","Category.java","src/main/java/org/junit/experimental/categories/Category.java","L2974","1","0","7","1","20","0","6","0"
"L3045","CouldNotReadCoreException.java","src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java","L3044","1","0","7","0","0","0","3","0"
"L3046","MaxCore.java","src/main/java/org/junit/experimental/max/MaxCore.java","L3044","12","0","100","0","0","0","35","0"
"L3047","MaxHistory.java","src/main/java/org/junit/experimental/max/MaxHistory.java","L3044","8","0","118","1","4","0","27","0"
"L3411","FailureList.java","src/main/java/org/junit/experimental/results/FailureList.java","L3410","3","0","23","0","0","0","3","0"
"L3412","PrintableResult.java","src/main/java/org/junit/experimental/results/PrintableResult.java","L3410","1","0","32","0","0","0","7","0"
"L3413","ResultMatchers.java","src/main/java/org/junit/experimental/results/ResultMatchers.java","L3410","2","0","41","0","0","0","10","0"
"L3510","Enclosed.java","src/main/java/org/junit/experimental/runners/Enclosed.java","L3509","1","0","8","0","0","0","2","0"
"L3523","DataPoint.java","src/main/java/org/junit/experimental/theories/DataPoint.java","L3522","1","0","6","0","0","0","1","0"
"L3524","DataPoints.java","src/main/java/org/junit/experimental/theories/DataPoints.java","L3522","1","0","6","0","0","0","1","0"
"L3525","ParameterSignature.java","src/main/java/org/junit/experimental/theories/ParameterSignature.java","L3522","9","0","71","0","0","0","2","0"
"L3526","ParametersSuppliedBy.java","src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java","L3522","1","0","7","0","0","0","1","0"
"L3527","ParameterSupplier.java","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","L3522","1","0","5","0","0","0","1","0"
"L3528","PotentialAssignment.java","src/main/java/org/junit/experimental/theories/PotentialAssignment.java","L3522","1","0","25","0","0","0","3","0"
"L3529","Theories.java","src/main/java/org/junit/experimental/theories/Theories.java","L3522","14","0","159","0","0","0","28","0"
"L3530","Theory.java","src/main/java/org/junit/experimental/theories/Theory.java","L3522","1","0","7","0","0","0","1","0"
"L4065","AllDefaultPossibilitiesBuilder.java","src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java","L4064","4","0","43","0","0","0","4","0"
"L4066","AnnotatedBuilder.java","src/main/java/org/junit/internal/builders/AnnotatedBuilder.java","L4064","4","0","36","0","0","0","3","0"
"L4067","IgnoredBuilder.java","src/main/java/org/junit/internal/builders/IgnoredBuilder.java","L4064","2","0","12","0","0","0","2","0"
"L4068","IgnoredClassRunner.java","src/main/java/org/junit/internal/builders/IgnoredClassRunner.java","L4064","1","0","18","0","0","0","1","0"
"L4069","JUnit3Builder.java","src/main/java/org/junit/internal/builders/JUnit3Builder.java","L4064","2","0","15","0","0","0","2","0"
"L4070","JUnit4Builder.java","src/main/java/org/junit/internal/builders/JUnit4Builder.java","L4064","1","0","10","0","0","0","4","0"
"L4071","NullBuilder.java","src/main/java/org/junit/internal/builders/NullBuilder.java","L4064","1","0","9","0","0","0","2","0"
"L4072","SuiteMethodBuilder.java","src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java","L4064","3","0","20","0","0","0","2","0"
"L4231","CombinableMatcher.java","src/main/java/org/junit/internal/matchers/CombinableMatcher.java","L4230","1","0","26","0","0","0","4","0"
"L4232","Each.java","src/main/java/org/junit/internal/matchers/Each.java","L4230","1","0","20","0","0","0","4","0"
"L4233","IsCollectionContaining.java","src/main/java/org/junit/internal/matchers/IsCollectionContaining.java","L4230","5","0","54","0","0","0","6","0"
"L4234","StringContains.java","src/main/java/org/junit/internal/matchers/StringContains.java","L4230","1","0","20","0","0","0","4","0"
"L4235","SubstringMatcher.java","src/main/java/org/junit/internal/matchers/SubstringMatcher.java","L4230","1","0","20","0","0","0","4","0"
"L4236","TypeSafeMatcher.java","src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java","L4230","8","0","34","0","0","0","4","0"
"L4401","ClassRequest.java","src/main/java/org/junit/internal/requests/ClassRequest.java","L4400","1","0","19","0","0","0","6","0"
"L4402","FilterRequest.java","src/main/java/org/junit/internal/requests/FilterRequest.java","L4400","2","0","26","0","0","0","3","0"
"L4403","package-info.java","src/main/java/org/junit/internal/requests/package-info.java","L4400","1","0","1","0","0","0","1","0"
"L4404","SortingRequest.java","src/main/java/org/junit/internal/requests/SortingRequest.java","L4400","1","0","20","0","0","0","1","0"
"L4445","ClassRoadie.java","src/main/java/org/junit/internal/runners/ClassRoadie.java","L4444","9","0","65","0","0","0","2","0"
"L4446","ErrorReportingRunner.java","src/main/java/org/junit/internal/runners/ErrorReportingRunner.java","L4444","6","0","50","0","0","0","15","0"
"L4447","FailedBefore.java","src/main/java/org/junit/internal/runners/FailedBefore.java","L4444","1","0","6","0","0","0","2","0"
"L4448","InitializationError.java","src/main/java/org/junit/internal/runners/InitializationError.java","L4444","1","0","20","0","0","0","3","0"
"L4449","JUnit38ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java","L4444","15","0","134","1","4","0","16","0"
"L4450","JUnit4ClassRunner.java","src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java","L4444","8","0","117","0","0","0","13","0"
"L4451","MethodRoadie.java","src/main/java/org/junit/internal/runners/MethodRoadie.java","L4444","21","0","138","0","0","0","2","0"
"L4452","MethodValidator.java","src/main/java/org/junit/internal/runners/MethodValidator.java","L4444","11","0","72","0","0","0","2","0"
"L4453","package-info.java","src/main/java/org/junit/internal/runners/package-info.java","L4444","1","0","1","0","0","0","1","0"
"L4454","SuiteMethod.java","src/main/java/org/junit/internal/runners/SuiteMethod.java","L4444","3","0","24","0","0","0","2","0"
"L4455","TestClass.java","src/main/java/org/junit/internal/runners/TestClass.java","L4444","14","0","81","0","0","0","2","0"
"L4456","TestMethod.java","src/main/java/org/junit/internal/runners/TestMethod.java","L4444","4","0","51","0","0","0","2","0"
"L5523","Filter.java","src/main/java/org/junit/runner/manipulation/Filter.java","L5522","5","0","40","0","0","0","7","1"
"L5524","Filterable.java","src/main/java/org/junit/runner/manipulation/Filterable.java","L5522","1","0","4","0","0","0","1","0"
"L5525","NoTestsRemainException.java","src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java","L5522","1","0","4","0","0","0","1","0"
"L5526","package-info.java","src/main/java/org/junit/runner/manipulation/package-info.java","L5522","1","0","1","0","0","0","1","0"
"L5527","Sortable.java","src/main/java/org/junit/runner/manipulation/Sortable.java","L5522","1","0","4","0","0","0","1","0"
"L5528","Sorter.java","src/main/java/org/junit/runner/manipulation/Sorter.java","L5522","2","0","22","0","0","0","6","0"
"L5580","Failure.java","src/main/java/org/junit/runner/notification/Failure.java","L5579","1","0","37","0","0","0","3","0"
"L5581","package-info.java","src/main/java/org/junit/runner/notification/package-info.java","L5579","1","0","1","0","0","0","1","0"
"L5582","RunListener.java","src/main/java/org/junit/runner/notification/RunListener.java","L5579","1","0","20","0","0","0","7","0"
"L5583","RunNotifier.java","src/main/java/org/junit/runner/notification/RunNotifier.java","L5579","4","0","97","1","4","0","11","0"
"L5584","StoppedByUserException.java","src/main/java/org/junit/runner/notification/StoppedByUserException.java","L5579","1","0","4","0","0","0","1","0"
"L6011","FrameworkField.java","src/main/java/org/junit/runners/model/FrameworkField.java","L6010","1","0","24","1","20","0","10","0"
"L6012","FrameworkMember.java","src/main/java/org/junit/runners/model/FrameworkMember.java","L6010","3","0","13","0","0","0","4","0"
"L6013","FrameworkMethod.java","src/main/java/org/junit/runners/model/FrameworkMethod.java","L6010","13","0","80","0","0","0","11","0"
"L6014","InitializationError.java","src/main/java/org/junit/runners/model/InitializationError.java","L6010","1","0","19","1","20","0","5","0"
"L6015","RunnerBuilder.java","src/main/java/org/junit/runners/model/RunnerBuilder.java","L6010","5","0","44","0","0","0","2","0"
"L6016","RunnerScheduler.java","src/main/java/org/junit/runners/model/RunnerScheduler.java","L6010","1","0","5","0","0","0","2","0"
"L6017","Statement.java","src/main/java/org/junit/runners/model/Statement.java","L6010","1","0","4","0","0","0","2","0"
"L6018","TestClass.java","src/main/java/org/junit/runners/model/TestClass.java","L6010","14","0","85","0","0","0","13","1"
"L3535","AllMembersSupplier.java","src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java","L3534","17","0","99","0","0","0","14","1"
"L3536","Assignments.java","src/main/java/org/junit/experimental/theories/internal/Assignments.java","L3534","7","0","101","0","0","0","9","0"
