@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L111","3","0","52","0","0","0","1","false"
"L112","1","0","1","0","0","0","1","false"
"L113","4","0","28","0","0","0","1","false"
"L114","1","0","26","0","0","0","1","false"
"L115","1","0","24","0","0","0","1","false"
"L278","19","0","147","2","2","0","6","false"
"L279","1","0","9","0","0","0","1","false"
"L280","13","0","60","0","0","0","1","false"
"L281","1","0","22","0","0","0","1","false"
"L282","4","0","66","0","0","0","1","false"
"L283","7","0","67","0","0","0","1","false"
"L284","1","0","23","0","0","0","1","false"
"L285","1","0","1","0","0","0","1","false"
"L286","1","0","4","0","0","0","1","false"
"L287","1","0","5","0","0","0","1","false"
"L288","9","0","81","0","0","0","1","false"
"L289","1","0","36","0","0","0","1","false"
"L290","1","0","7","0","0","0","1","false"
"L291","9","0","100","0","0","0","1","false"
"L292","24","0","164","1","4","0","4","true"
"L1233","32","0","235","0","0","0","2","false"
"L1234","1","0","1","0","0","0","1","false"
"L1235","1","0","11","0","0","0","1","false"
"L1236","1","0","11","2","20","0","48","false"
"L1455","1","0","1","0","0","0","1","false"
"L1456","7","0","92","0","0","0","1","false"
"L1457","13","0","124","0","0","0","2","false"
"L2574","1","0","9","0","0","0","1","false"
"L2575","1","0","9","1","4","0","5","false"
"L2576","21","0","223","0","0","0","20","false"
"L2577","2","0","23","0","0","0","12","false"
"L2578","1","0","9","0","0","0","2","false"
"L2579","1","0","9","0","0","0","1","false"
"L2580","13","0","81","0","0","0","2","false"
"L2581","1","0","10","0","0","0","1","false"
"L2582","1","0","1","0","0","0","1","false"
"L2583","1","0","7","0","0","0","1","false"
"L2584","1","0","16","0","0","0","1","false"
"L2972","6","0","65","0","0","0","17","false"
"L4008","3","0","36","0","0","0","2","false"
"L4009","3","0","32","0","0","0","1","false"
"L4010","12","0","47","0","0","0","8","false"
"L4011","1","0","8","0","0","0","4","false"
"L4012","2","0","15","0","0","0","6","false"
"L4013","1","0","6","0","0","0","1","false"
"L4014","1","0","10","0","0","0","1","false"
"L4015","6","0","73","0","0","0","7","false"
"L5065","1","0","32","0","0","0","23","false"
"L5066","1","0","1","0","0","0","1","false"
"L5122","2","0","33","0","0","0","1","false"
"L5123","5","0","70","0","0","0","3","false"
"L5124","1","0","23","0","0","0","1","false"
"L5125","1","0","7","0","0","0","1","false"
"L5126","3","0","43","0","0","0","1","false"
"L5127","1","0","12","0","0","0","1","false"
"L5128","2","0","31","0","0","0","1","false"
"L5129","1","0","13","0","0","0","1","false"
"L5130","1","0","17","0","0","0","1","false"
"L5350","1","0","21","0","0","0","8","false"
"L5351","1","0","4","0","0","0","3","false"
"L5352","12","0","114","0","0","0","12","false"
"L5353","5","0","87","0","0","0","15","false"
"L5354","1","0","1","0","0","0","1","false"
"L5355","2","0","56","0","0","0","24","false"
"L5356","1","0","61","1","4","0","13","false"
"L5357","1","0","9","0","0","0","1","false"
"L5358","1","0","12","0","0","0","4","false"
"L5820","1","0","7","0","0","0","2","false"
"L5821","22","0","213","2","20","0","44","true"
"L5822","1","0","7","0","0","0","1","false"
"L5823","1","0","1","0","0","0","3","false"
"L5824","6","0","94","1","4","0","35","true"
"L5825","17","0","171","1","20","0","24","true"
"L5826","3","0","63","1","4","0","45","false"
"L2975","13","0","74","1","20","0","5","false"
"L2976","1","0","7","1","20","0","6","false"
"L3045","1","0","7","0","0","0","3","false"
"L3046","12","0","100","0","0","0","35","false"
"L3047","8","0","118","1","4","0","27","false"
"L3411","3","0","23","0","0","0","3","false"
"L3412","1","0","32","0","0","0","7","false"
"L3413","2","0","41","0","0","0","10","false"
"L3510","1","0","8","0","0","0","2","false"
"L3523","1","0","6","0","0","0","1","false"
"L3524","1","0","6","0","0","0","1","false"
"L3525","9","0","71","0","0","0","2","false"
"L3526","1","0","7","0","0","0","1","false"
"L3527","1","0","5","0","0","0","1","false"
"L3528","1","0","25","0","0","0","3","false"
"L3529","14","0","159","0","0","0","28","false"
"L3530","1","0","7","0","0","0","1","false"
"L4065","4","0","43","0","0","0","4","false"
"L4066","4","0","36","0","0","0","3","false"
"L4067","2","0","12","0","0","0","2","false"
"L4068","1","0","18","0","0","0","1","false"
"L4069","2","0","15","0","0","0","2","false"
"L4070","1","0","10","0","0","0","4","false"
"L4071","1","0","9","0","0","0","2","false"
"L4072","3","0","20","0","0","0","2","false"
"L4231","1","0","26","0","0","0","4","false"
"L4232","1","0","20","0","0","0","4","false"
"L4233","5","0","54","0","0","0","6","false"
"L4234","1","0","20","0","0","0","4","false"
"L4235","1","0","20","0","0","0","4","false"
"L4236","8","0","34","0","0","0","4","false"
"L4401","1","0","19","0","0","0","6","false"
"L4402","2","0","26","0","0","0","3","false"
"L4403","1","0","1","0","0","0","1","false"
"L4404","1","0","20","0","0","0","1","false"
"L4445","9","0","65","0","0","0","2","false"
